family	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_I_3	Toti_Illumina_V1_V2_EMU_EMUdb_I_4	Toti_Illumina_V1_V2_EMU_EMUdb_MN_1	Toti_Illumina_V1_V2_EMU_EMUdb_MN_2	Toti_Illumina_V1_V2_EMU_EMUdb_MN_3	Toti_Illumina_V1_V2_EMU_EMUdb_MN_4	Toti_Illumina_V1_V2_EMU_EMUdb_Z_1	Toti_Illumina_V1_V2_EMU_EMUdb_Z_2	Toti_Illumina_V1_V2_EMU_EMUdb_Z_3	Toti_Illumina_V1_V2_EMU_EMUdb_Z_4	Toti_Illumina_V1_V3_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_I_3	Toti_Illumina_V1_V3_EMU_EMUdb_I_4	Toti_Illumina_V1_V3_EMU_EMUdb_MN_1	Toti_Illumina_V1_V3_EMU_EMUdb_MN_2	Toti_Illumina_V1_V3_EMU_EMUdb_MN_3	Toti_Illumina_V1_V3_EMU_EMUdb_MN_4	Toti_Illumina_V1_V3_EMU_EMUdb_Q_1	Toti_Illumina_V1_V3_EMU_EMUdb_Q_2	Toti_Illumina_V1_V3_EMU_EMUdb_Q_3	Toti_Illumina_V1_V3_EMU_EMUdb_Q_4	Toti_Illumina_V1_V3_EMU_EMUdb_Z_1	Toti_Illumina_V1_V3_EMU_EMUdb_Z_2	Toti_Illumina_V1_V3_EMU_EMUdb_Z_3	Toti_Illumina_V1_V3_EMU_EMUdb_Z_4	Toti_Illumina_V3_V4_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_I_3	Toti_Illumina_V3_V4_EMU_EMUdb_I_4	Toti_Illumina_V3_V4_EMU_EMUdb_MN_1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_3	Toti_Illumina_V3_V4_EMU_EMUdb_MN_4	Toti_Illumina_V3_V4_EMU_EMUdb_Z_1	Toti_Illumina_V3_V4_EMU_EMUdb_Z_2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_3	Toti_Illumina_V3_V4_EMU_EMUdb_Z_4	Toti_ONT_V1_V9_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_I_3	Toti_ONT_V1_V9_EMU_EMUdb_I_4	Toti_ONT_V1_V9_EMU_EMUdb_MN_1	Toti_ONT_V1_V9_EMU_EMUdb_MN_2	Toti_ONT_V1_V9_EMU_EMUdb_MN_3	Toti_ONT_V1_V9_EMU_EMUdb_MN_4	Toti_ONT_V1_V9_EMU_EMUdb_Q_1	Toti_ONT_V1_V9_EMU_EMUdb_Q_2	Toti_ONT_V1_V9_EMU_EMUdb_Q_3	Toti_ONT_V1_V9_EMU_EMUdb_Q_4	Toti_ONT_V1_V9_EMU_EMUdb_Z_1	Toti_ONT_V1_V9_EMU_EMUdb_Z_2	Toti_ONT_V1_V9_EMU_EMUdb_Z_3	Toti_ONT_V1_V9_EMU_EMUdb_Z_4	Toti_PacBio_V1_V9_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_I_3	Toti_PacBio_V1_V9_EMU_EMUdb_I_4	Toti_PacBio_V1_V9_EMU_EMUdb_MN_1	Toti_PacBio_V1_V9_EMU_EMUdb_MN_2	Toti_PacBio_V1_V9_EMU_EMUdb_MN_3	Toti_PacBio_V1_V9_EMU_EMUdb_MN_4	Toti_PacBio_V1_V9_EMU_EMUdb_Z_1	Toti_PacBio_V1_V9_EMU_EMUdb_Z_2	Toti_PacBio_V1_V9_EMU_EMUdb_Z_3	Toti_PacBio_V1_V9_EMU_EMUdb_Z_4
Bacteroidaceae	4050	3592	4109	3462	2902	5156	6512	3304	7562	4965	9146	9009	7961	439	10864	12	7756	23068	8	22573	97913	149784	55483	32	11139	2599	27264	197	5393	5443	4087	4166	3269	10183	6404	3630	10820	8464	8921	9177	1109	10737	4886	3736	0	8567	3903	2417	0	5	2	0	86529	21908	41820	28952	197	411	218	586	66	450	530	1062	10171	2237	3095	2071
Bifidobacteriaceae	780	517	937	660	2085	925	1684	1520	887	1654	2231	1891	11	0	18	0	41	18	0	157	0	11	0	0	20	0	10	0	815	524	551	460	1857	1077	1104	1327	730	1553	1534	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	117	363	406	476	531	694	2196	546	621	764	379
Campylobacteraceae	70	95	60	65	32	57	45	16	150	74	107	317	78	0	83	0	37	115	0	74	460	698	302	0	55	14	86	0	17	72	12	14	0	58	0	0	116	56	82	175	63	1723	117	117	0	436	130	36	0	0	0	0	5218	1587	3661	4562	0	14	0	0	0	0	0	0	67	11	16	34
Clostridiaceae	195	82	182	217	407	302	566	360	328	506	359	558	2589	97	2878	10	5410	3692	4	9170	1137	1156	244	1	563	802	1465	12	222	53	124	99	441	714	371	372	266	530	116	376	2080	16472	4989	2375	21	11527	5396	4404	0	0	0	0	15735	25399	11894	11705	82	48	48	92	36	153	163	507	228	155	49	78
Coprobacillaceae	5243	2973	3011	4448	5258	2393	4775	3442	1116	647	2497	2162	20877	721	9436	69	25780	11708	8	30247	3829	2820	684	3	900	322	2995	46	4468	2413	1559	2718	3833	2748	2689	2028	840	588	1352	1303	6315	41328	5941	6654	56	6940	3499	3931	1	0	0	0	4799	3074	11986	4315	1671	1193	676	3046	416	469	885	2283	650	211	444	370
Coriobacteriaceae	2307	1450	2417	1747	3631	1403	2887	2306	1994	1838	3063	3036	22358	1440	24899	104	51306	16597	20	60146	2709	11783	5772	8	4020	2511	14535	322	4063	2912	2855	2877	5990	3649	3388	2932	3034	3735	3360	3689	1205	7421	10872	8708	0	1792	1872	4183	0	0	0	0	13817	6939	23315	15334	1447	1020	1588	2486	892	814	1295	5211	4479	1770	2183	1680
Erysipelotrichaceae	2779	1495	2559	2517	2822	1411	2251	1993	1134	622	1201	1981	8791	203	8387	17	11847	5443	2	17253	2039	3574	1489	0	766	275	2743	42	2887	1545	1704	1772	2465	1929	1496	1377	1033	749	888	1623	2640	17571	5007	2634	0	3687	1481	2003	0	0	0	0	5221	3240	6314	5475	779	542	475	1283	189	242	383	1155	721	217	146	394
Eubacteriaceae	156	68	132	112	148	59	187	65	66	57	112	167	1071	71	973	5	1195	586	0	2563	149	102	58	0	165	173	822	31	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacteriaceae	2700	3092	3316	3056	2516	3069	5064	2106	5515	5108	8455	7449	5766	588	8348	10	7531	9498	2	16109	144599	124203	23993	7	6151	4869	22633	186	3238	3654	2892	2706	2678	5028	4062	2040	6029	6853	6579	6470	1323	20765	12968	7988	0	6488	4342	3623	0	2	2	3	85881	50732	115445	72251	113	317	207	470	41	193	250	482	3201	1358	1911	915
Helicobacteraceae	0	0	0	0	0	21	0	0	22	0	24	147	0	0	0	0	0	38	0	0	0	0	0	0	0	0	47	0	46	50	0	0	0	117	0	0	172	61	143	597	26	1077	86	83	0	554	92	29	0	1	0	0	7175	2069	6186	10985	0	0	0	0	0	0	0	0	92	15	21	75
Lachnospiraceae	9924	6435	8713	9075	12240	7615	12722	9217	7450	8572	10596	16899	85955	8294	81544	809	161514	80867	102	250003	5644	5700	1644	1	11524	15517	47819	3747	15449	10343	8426	10861	15658	15101	12770	10363	8927	13927	10108	18700	232710	1662956	404284	266032	2731	393413	216689	204129	2	0	1	8	487732	988983	507411	665471	8838	7708	5988	14869	3707	6164	8982	23453	10019	10343	4848	8918
