order	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_I_3	Toti_Illumina_V1_V2_EMU_EMUdb_I_4	Toti_Illumina_V1_V2_EMU_EMUdb_MN_1	Toti_Illumina_V1_V2_EMU_EMUdb_MN_2	Toti_Illumina_V1_V2_EMU_EMUdb_MN_3	Toti_Illumina_V1_V2_EMU_EMUdb_MN_4	Toti_Illumina_V1_V2_EMU_EMUdb_Z_1	Toti_Illumina_V1_V2_EMU_EMUdb_Z_2	Toti_Illumina_V1_V2_EMU_EMUdb_Z_3	Toti_Illumina_V1_V2_EMU_EMUdb_Z_4	Toti_Illumina_V1_V3_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_I_3	Toti_Illumina_V1_V3_EMU_EMUdb_I_4	Toti_Illumina_V1_V3_EMU_EMUdb_MN_1	Toti_Illumina_V1_V3_EMU_EMUdb_MN_2	Toti_Illumina_V1_V3_EMU_EMUdb_MN_3	Toti_Illumina_V1_V3_EMU_EMUdb_MN_4	Toti_Illumina_V1_V3_EMU_EMUdb_Q_1	Toti_Illumina_V1_V3_EMU_EMUdb_Q_2	Toti_Illumina_V1_V3_EMU_EMUdb_Q_3	Toti_Illumina_V1_V3_EMU_EMUdb_Q_4	Toti_Illumina_V1_V3_EMU_EMUdb_Z_1	Toti_Illumina_V1_V3_EMU_EMUdb_Z_2	Toti_Illumina_V1_V3_EMU_EMUdb_Z_3	Toti_Illumina_V1_V3_EMU_EMUdb_Z_4	Toti_Illumina_V3_V4_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_I_3	Toti_Illumina_V3_V4_EMU_EMUdb_I_4	Toti_Illumina_V3_V4_EMU_EMUdb_MN_1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_3	Toti_Illumina_V3_V4_EMU_EMUdb_MN_4	Toti_Illumina_V3_V4_EMU_EMUdb_Z_1	Toti_Illumina_V3_V4_EMU_EMUdb_Z_2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_3	Toti_Illumina_V3_V4_EMU_EMUdb_Z_4	Toti_ONT_V1_V9_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_I_3	Toti_ONT_V1_V9_EMU_EMUdb_I_4	Toti_ONT_V1_V9_EMU_EMUdb_MN_1	Toti_ONT_V1_V9_EMU_EMUdb_MN_2	Toti_ONT_V1_V9_EMU_EMUdb_MN_3	Toti_ONT_V1_V9_EMU_EMUdb_MN_4	Toti_ONT_V1_V9_EMU_EMUdb_Q_1	Toti_ONT_V1_V9_EMU_EMUdb_Q_2	Toti_ONT_V1_V9_EMU_EMUdb_Q_3	Toti_ONT_V1_V9_EMU_EMUdb_Q_4	Toti_ONT_V1_V9_EMU_EMUdb_Z_1	Toti_ONT_V1_V9_EMU_EMUdb_Z_2	Toti_ONT_V1_V9_EMU_EMUdb_Z_3	Toti_ONT_V1_V9_EMU_EMUdb_Z_4	Toti_PacBio_V1_V9_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_I_3	Toti_PacBio_V1_V9_EMU_EMUdb_I_4	Toti_PacBio_V1_V9_EMU_EMUdb_MN_1	Toti_PacBio_V1_V9_EMU_EMUdb_MN_2	Toti_PacBio_V1_V9_EMU_EMUdb_MN_3	Toti_PacBio_V1_V9_EMU_EMUdb_MN_4	Toti_PacBio_V1_V9_EMU_EMUdb_Z_1	Toti_PacBio_V1_V9_EMU_EMUdb_Z_2	Toti_PacBio_V1_V9_EMU_EMUdb_Z_3	Toti_PacBio_V1_V9_EMU_EMUdb_Z_4
Acholeplasmatales	13	16	20	16	0	14	0	21	0	0	0	17	291	0	55	0	222	107	0	142	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerolineales	0	0	0	0	0	0	0	0	0	0	0	0	73	13	221	1	163	54	0	158	13	0	0	0	56	53	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillales	65	24	44	53	49	22	28	15	0	0	18	43	837	13	1604	3	1585	340	0	1526	140	127	112	0	62	98	640	0	0	0	0	0	0	0	0	0	0	0	0	0	1526	9869	2602	1828	0	2511	1336	1231	0	0	0	0	3690	5584	3875	4235	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidales	4050	3592	4109	3462	2902	5156	6512	3304	7562	4965	9146	9009	8402	439	10971	12	8006	23548	8	22758	99185	151601	57550	34	11139	2599	27925	197	5393	5443	4087	4166	3269	10183	6404	3630	10820	8464	8921	9177	1109	10737	4886	3736	0	8567	3903	2417	0	5	2	0	86529	21908	41820	28952	197	411	218	586	66	450	530	1062	10171	2237	3095	2071
Bifidobacteriales	780	517	937	660	2085	925	1684	1520	887	1654	2231	1891	11	0	18	0	41	18	0	157	0	11	0	0	20	0	10	0	815	524	551	460	1857	1077	1104	1327	730	1553	1534	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	117	363	406	476	531	694	2196	546	621	764	379
Burkholderiales	197	451	395	282	152	257	384	93	1210	598	1121	930	344	45	750	0	301	768	0	803	18326	16578	3583	2	983	309	1705	0	126	320	100	100	43	263	158	27	1023	583	714	555	62	1511	343	154	0	474	203	65	0	0	0	0	7503	2775	4092	2693	0	46	0	39	0	10	25	37	913	202	264	155
Campylobacterales	70	95	60	65	32	78	45	16	172	74	131	464	78	0	83	0	37	153	0	74	460	698	302	0	55	14	133	0	63	122	12	14	0	175	0	0	288	117	225	772	89	2800	203	200	0	990	222	65	0	1	0	0	12393	3656	9847	15547	0	14	0	0	0	0	0	0	159	26	37	109
Clostridiales	2637	1542	2242	2357	3531	2263	3488	2734	1873	1891	2037	3229	23598	1552	43623	276	65639	26348	31	102807	2300	2516	751	1	3072	2860	19012	820	8429	5310	4528	5908	8357	8987	7271	5935	3968	6636	4096	9681	44988	292760	80074	50166	498	93768	48572	45503	0	0	0	0	102438	152468	92549	99075	1558	1160	1111	2625	783	1526	1965	5590	2001	1454	748	1204
Coriobacteriales	2307	1450	2417	1747	3631	1403	2887	2306	1994	1838	3063	3036	22636	1440	25109	104	51634	16758	20	60490	2858	11944	5831	8	4020	2511	14728	322	4063	2912	2855	2877	5990	3649	3388	2932	3034	3735	3360	3689	1205	7421	10872	8708	0	1792	1872	4183	0	0	0	0	13817	6939	23315	15334	1447	1020	1588	2486	892	814	1295	5211	4479	1770	2183	1680
Eggerthellales	0	0	0	0	0	0	0	0	0	0	0	0	545	0	2236	3	2380	256	0	1101	214	236	235	0	0	0	1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacterales	14	0	20	11	0	13	18	0	49	59	55	107	39	0	0	0	18	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	27	0	35	745	134	77	0	82	39	17	0	0	0	0	1137	1436	1032	1093	0	0	0	0	0	0	0	0	16	0	0	0
Erysipelotrichales	8086	4492	5643	7015	8215	3949	7201	5578	2608	1766	3965	4770	29969	940	18070	86	38205	17793	10	48755	6275	7178	2465	3	1929	941	6119	100	7397	3958	3275	4490	6379	4838	4254	3468	2131	1793	2363	3336	9001	59173	11013	9326	56	10919	5065	5995	1	0	0	0	10520	7433	18537	10305	2466	1746	1151	4352	605	747	1287	3512	1474	532	603	807
Eubacteriales	20121	12220	16869	17971	22349	15467	25515	16744	10951	11988	16688	23642	171175	14631	131773	1674	250484	154453	190	392423	40081	29847	7105	10	16481	19304	56651	3682	23244	14548	12137	15749	21800	22983	18766	14431	11114	13981	13070	17799	414907	2702823	669828	472935	3857	633466	356160	302395	2	1	5	15	682177	1111792	716650	820772	17820	13875	10869	29763	5180	9928	14642	37124	14709	11877	7432	10979
