sample	alias	n_reads	pass_rate	total_bases	mean_len	median_len	n50_len	mean_q
TOTI_ZYMO_LSK114	barcode06	155445	0.763228151436199	156037046	1003.80871690952	568	1459	8.77966572995593
TOTI_ZYMO_LSK114	barcode05	93232	0.759299382186374	65591399	703.528820576626	463	803	8.82274811903638
TOTI_INVITRO_LSK114	unclassified	91032	0.168479216099833	89966316	988.293303453731	458	1966	5.83064034564769
TOTI_ZYMO_LSK114	unclassified	69071	0.565172069319975	58298919	844.043361179077	468	1185	7.84137384669398
TOTI_INVITRO_LSK114	barcode01	63976	0.619904339127173	74097702	1158.21092284607	581	2077	8.29577000520508
TOTI_INVITRO_LSK114	barcode04	56555	0.609495181681549	67632624	1195.87346830519	553	2375	8.2476806366369
TOTI_INVITRO_LSK114	barcode02	38582	0.634985226271318	44301065	1148.23142916386	550.5	2209	8.34925009027526
TOTI_INVITRO_LSK114	barcode03	27145	0.609172960029471	30749397	1132.78309080862	547	2105	8.25311355045128
TOTI_INVITRO_LSK114	barcode74	109	0.073394495412844	131975	1210.77981651376	508	2417	5.23074150458716
TOTI_INVITRO_LSK114	barcode68	104	0.182692307692308	84063	808.298076923077	417	1131	6.368757375
TOTI_ZYMO_LSK114	barcode46	92	0.184782608695652	81794	889.065217391304	536	1401	5.86757390217391
TOTI_INVITRO_LSK114	barcode18	59	0.0508474576271187	54772	928.338983050847	524	1459	5.2096576440678
TOTI_INVITRO_LSK114	barcode62	58	0.0172413793103448	63966	1102.86206896552	678.5	1894	5.38204720689655
TOTI_INVITRO_LSK114	barcode34	57	0.12280701754386	45167	792.40350877193	366	1551	6.24138692982456
TOTI_INVITRO_LSK114	barcode26	45	0.111111111111111	61571	1368.24444444444	694	2619	5.62218771111111
TOTI_INVITRO_LSK114	barcode46	38	0.0789473684210526	40916	1076.73684210526	511.5	1897	4.96460755263158
TOTI_INVITRO_LSK114	barcode71	30	0.0666666666666667	22766	758.866666666667	324	1700	6.081564
TOTI_INVITRO_LSK114	barcode48	28	0.107142857142857	20117	718.464285714286	438	1121	6.10732082142857
TOTI_INVITRO_LSK114	barcode38	27	0.0740740740740741	24218	896.962962962963	454	1874	5.31924914814815
TOTI_INVITRO_LSK114	barcode32	27	0	20362	754.148148148148	461	1749	5.21179425925926
TOTI_INVITRO_LSK114	barcode73	25	0.04	12774	510.96	298	824	4.96643524
TOTI_INVITRO_LSK114	barcode19	24	0.0833333333333333	19870	827.916666666667	335.5	1832	5.12502075
TOTI_ZYMO_LSK114	barcode76	23	0.217391304347826	13763	598.391304347826	411	544	6.06781317391304
TOTI_INVITRO_LSK114	barcode45	22	0.0454545454545455	21050	956.818181818182	326	2728	4.92886690909091
TOTI_INVITRO_LSK114	barcode39	21	0.0952380952380952	20440	973.333333333333	356	2477	5.23483261904762
TOTI_ZYMO_LSK114	barcode57	21	0.238095238095238	17465	831.666666666667	574	1112	6.792709
TOTI_INVITRO_LSK114	barcode56	20	0.1	15738	786.9	618	921	5.43160945
TOTI_INVITRO_LSK114	barcode54	20	0.15	23122	1156.1	541.5	2712	5.3384547
TOTI_INVITRO_LSK114	barcode55	19	0.263157894736842	13868	729.894736842105	475	830	6.58518473684211
TOTI_INVITRO_LSK114	barcode25	19	0.210526315789474	17036	896.631578947368	538	1956	5.25058042105263
TOTI_INVITRO_LSK114	barcode94	19	0.105263157894737	13829	727.842105263158	635	999	5.14798263157895
TOTI_INVITRO_LSK114	barcode31	19	0.0526315789473684	17220	906.315789473684	527	1344	5.52015131578947
TOTI_ZYMO_LSK114	barcode12	18	0.388888888888889	28726	1595.88888888889	574	3093	7.40064366666667
TOTI_INVITRO_LSK114	barcode67	17	0.117647058823529	11110	653.529411764706	487	874	5.49999564705882
TOTI_INVITRO_LSK114	barcode70	17	0.235294117647059	14581	857.705882352941	550	1184	6.58318805882353
TOTI_INVITRO_LSK114	barcode95	17	0.235294117647059	7626	448.588235294118	330	435	6.25051841176471
TOTI_INVITRO_LSK114	barcode42	17	0.0588235294117647	7704	453.176470588235	314	489	5.43914911764706
TOTI_INVITRO_LSK114	barcode12	16	0.1875	14537	908.5625	384	1450	5.8770865
TOTI_INVITRO_LSK114	barcode89	16	0.0625	21836	1364.75	1142	2280	5.0502315625
TOTI_INVITRO_LSK114	barcode96	16	0.0625	11464	716.5	472	727	5.4240266875
TOTI_INVITRO_LSK114	barcode24	16	0.125	52097	3256.0625	670.5	30736	5.38334275
TOTI_INVITRO_LSK114	barcode69	16	0	13220	826.25	542	1245	4.704513375
TOTI_ZYMO_LSK114	barcode15	16	0.1875	18934	1183.375	702.5	2935	5.977537
TOTI_INVITRO_LSK114	barcode21	15	0.2	15405	1027	404	10150	5.53329066666667
TOTI_INVITRO_LSK114	barcode65	15	0.0666666666666667	8106	540.4	382	611	4.8447764
TOTI_INVITRO_LSK114	barcode80	15	0.266666666666667	12651	843.4	372	1876	6.44740273333333
TOTI_INVITRO_LSK114	barcode05	15	0.133333333333333	13086	872.4	581	1217	6.0828884
TOTI_ZYMO_LSK114	barcode42	15	0	8397	559.8	392	628	5.420526
TOTI_ZYMO_LSK114	barcode84	15	0.133333333333333	6706	447.066666666667	292	349	5.56437146666667
TOTI_ZYMO_LSK114	barcode65	15	0.0666666666666667	13027	868.466666666667	623	1202	6.05366013333333
TOTI_INVITRO_LSK114	barcode92	14	0.428571428571429	21207	1514.78571428571	485	3593	6.60829778571429
