 48.25	120357	120357	U	0	unclassified
 51.75	129107	6	R	1	root
 51.75	129091	96	R1	131567	  cellular organisms
 51.61	128741	1128	D	2	    Bacteria
 36.29	90519	370	D1	1783272	      Terrabacteria group
 32.89	82045	884	P	1239	        Bacillota
 28.27	70518	27	C	186801	          Clostridia
 28.23	70420	1191	O	186802	            Eubacteriales
 15.16	37824	1517	F	186803	              Lachnospiraceae
  6.47	16128	56	G	2316020	                Mediterraneibacter
  6.08	15166	15160	S	33038	                  Mediterraneibacter gnavus
  0.00	6	6	S1	411470	                    Mediterraneibacter gnavus ATCC 29149
  0.28	698	437	S	33039	                  [Ruminococcus] torques
  0.10	261	261	S1	657313	                    [Ruminococcus] torques L2-14
  0.08	208	0	S	46228	                  [Ruminococcus] lactaris
  0.08	208	208	S1	471875	                    [Ruminococcus] lactaris ATCC 29176
  5.73	14296	1199	G	572511	                Blautia
  3.16	7888	0	S	1322	                  Blautia hansenii
  3.16	7888	7888	S1	537007	                    Blautia hansenii DSM 20583
  0.87	2178	2178	S	1912897	                  Blautia argi
  0.32	809	59	S	40520	                  Blautia obeum
  0.15	385	385	S1	411459	                    Blautia obeum ATCC 29174
  0.15	365	365	S1	657314	                    Blautia obeum A2-162
  0.21	516	516	S	2877527	                  Blautia parvula
  0.18	453	0	S	418240	                  Blautia wexlerae
  0.18	453	453	S1	1121115	                    Blautia wexlerae DSM 19850
  0.16	407	407	S	89014	                  Blautia luti
  0.12	291	291	S	1796616	                  Blautia pseudococcoides
  0.07	163	163	S	33035	                  Blautia producta
  0.06	150	0	S	53443	                  Blautia hydrogenotrophica
  0.06	150	150	S1	476272	                    Blautia hydrogenotrophica DSM 10507
  0.06	139	0	G1	2648079	                  unclassified Blautia
  0.06	139	139	S	2479767	                    Blautia sp. SC05B48
  0.03	69	69	S	2779518	                  Blautia liquoris
  0.01	32	32	S	1532	                  Blautia coccoides
  0.00	2	2	S	1737424	                  Blautia massiliensis (ex Durand et al. 2017)
  0.40	999	17	G	1506553	                Lachnoclostridium
  0.30	739	739	S	29347	                  [Clostridium] scindens
  0.05	129	111	S	89153	                  [Clostridium] hylemonae
  0.01	18	18	S1	553973	                    [Clostridium] hylemonae DSM 15053
  0.03	75	75	S	1871021	                  Lachnoclostridium phocaeense
  0.02	39	0	S	66219	                  Lachnoclostridium phytofermentans
  0.02	39	39	S1	357809	                    Lachnoclostridium phytofermentans ISDg
  0.26	654	69	G	841	                Roseburia
  0.11	267	186	S	166486	                  Roseburia intestinalis
  0.02	56	56	S1	718255	                    Roseburia intestinalis XB6B4
  0.01	25	25	S1	657315	                    Roseburia intestinalis M50/1
  0.09	221	221	S	301301	                  Roseburia hominis
  0.04	97	97	S	2763062	                  Roseburia rectibacter
  0.24	600	9	G	189330	                Dorea
  0.15	369	369	S	88431	                  Dorea longicatena
  0.09	222	222	S	39486	                  Dorea formicigenerans
  0.18	439	11	G	33042	                Coprococcus
  0.11	263	263	S	410072	                  Coprococcus comes
  0.04	108	108	S	116085	                  Coprococcus catus
  0.01	30	0	G1	2684943	                  unclassified Coprococcus
  0.01	30	30	S	751585	                    Coprococcus sp. ART55/1
  0.01	27	27	S	33043	                  Coprococcus eutactus
  0.16	392	0	G	3076670	                Claveliimonas
  0.16	392	392	S	3028070	                  Claveliimonas bilis
  0.11	271	39	G	2719313	                Enterocloster
  0.04	103	103	S	208479	                  Enterocloster bolteae
  0.04	89	89	S	1531	                  Enterocloster clostridioformis
  0.02	40	0	S	333367	                  Enterocloster asparagiformis
  0.02	40	40	S1	518636	                    [Clostridium] asparagiforme DSM 15981
  0.11	271	5	G	207244	                Anaerostipes
  0.05	114	99	S	649756	                  Anaerostipes hadrus
  0.01	15	15	S1	649757	                    Anaerostipes hadrus ATCC 29173 = JCM 17467
  0.04	100	85	S	105841	                  Anaerostipes caccae
  0.01	15	15	S1	411490	                    Anaerostipes caccae L1-92
  0.02	52	52	S	1229621	                  Anaerostipes rhamnosivorans
  0.11	267	17	G	1843210	                Anaerocolumna
  0.05	127	3	G1	2642604	                  unclassified Anaerocolumna
  0.02	49	49	S	3039116	                    Anaerocolumna sp. AGMB13025
  0.02	47	47	S	3081750	                    Anaerocolumna sp. AGMB13020
  0.01	28	28	S	3070997	                    Anaerocolumna sp. MB42-C2
  0.02	43	43	S	433286	                  Anaerocolumna cellulosilytica
  0.02	41	41	S	1727145	                  Anaerocolumna chitinilytica
  0.02	39	39	S	2696063	                  Anaerocolumna sedimenticola
  0.10	238	0	G	1766253	                Agathobacter
  0.10	238	208	S	39491	                  Agathobacter rectalis
  0.01	20	20	S1	657318	                    Agathobacter rectalis DSM 17629
  0.00	9	9	S1	657317	                    Agathobacter rectalis M104/1
  0.00	1	1	S1	515619	                    Agathobacter rectalis ATCC 33656
  0.07	181	0	G	1769710	                Sellimonas
  0.07	181	181	S	1653434	                  Sellimonas intestinalis
  0.07	178	13	G	2719231	                Lacrimispora
  0.02	57	57	S	84030	                  Lacrimispora saccharolytica
  0.02	55	0	S	29370	                  Lacrimispora sphenoides
  0.02	55	55	S1	1297793	                    [Clostridium] sphenoides JCM 1415
  0.02	53	53	S	29375	                  Lacrimispora xylanolytica
  0.07	169	0	G	2569097	                Anaerobutyricum
  0.07	169	169	S	39488	                  Anaerobutyricum hallii
  0.06	158	0	G	2944193	                Simiaoa
  0.06	158	158	S	2763672	                  Simiaoa sunii
  0.05	135	13	G	1164882	                Lachnoanaerobaculum
  0.04	95	95	S	2490855	                  Lachnoanaerobaculum gingivalis
  0.01	27	27	S	617123	                  Lachnoanaerobaculum umeaense
  0.05	135	0	G	2944198	                Wansuia
  0.05	135	135	S	2763667	                  Wansuia hejianensis
  0.05	127	0	G	248744	                Marvinbryantia
  0.05	127	0	S	168384	                  Marvinbryantia formatexigens
  0.05	127	127	S1	478749	                    Marvinbryantia formatexigens DSM 14469
  0.05	120	0	G	2888809	                Novisyntrophococcus
  0.05	120	120	S	2068655	                  Novisyntrophococcus fermenticellae
  0.05	117	4	G	830	                Butyrivibrio
  0.02	40	40	S	45851	                  Butyrivibrio crossotus
  0.01	30	0	S	43305	                  Butyrivibrio proteoclasticus
  0.01	30	30	S1	515622	                    Butyrivibrio proteoclasticus B316
  0.01	26	26	S	831	                  Butyrivibrio fibrisolvens
  0.01	17	17	S	185008	                  Butyrivibrio hungatei
  0.03	78	0	G	2163168	                Kineothrix
  0.03	78	0	G1	2625420	                  unclassified Kineothrix
  0.03	78	78	S	3070215	                    Kineothrix sp. MB12-C1
  0.02	50	0	G	2944195	                Qiania
  0.02	50	50	S	2763669	                  Qiania dongpingensis
  0.02	50	0	G	28050	                Lachnospira
  0.02	50	50	S	39485	                  Lachnospira eligens
  0.02	48	0	G	3024823	                Anaeromicropila
  0.02	48	48	S	2785025	                  Anaeromicropila herbilytica
  0.02	40	0	G	1663717	                Herbinix
  0.02	40	40	S	1679721	                  Herbinix luporum
  0.01	34	0	G	46205	                Pseudobutyrivibrio
  0.01	34	34	S	185007	                  Pseudobutyrivibrio xylanivorans
  0.01	32	0	G	2944152	                Wujia
  0.01	32	32	S	2763670	                  Wujia chipingensis
  0.01	29	0	G	2039240	                Anaerotignum
  0.01	15	0	S	28446	                  Anaerotignum propionicum
  0.01	15	15	S1	991789	                    Anaerotignum propionicum DSM 1682
  0.01	14	0	G1	2685769	                  unclassified Anaerotignum
  0.01	14	14	S	3070814	                    Anaerotignum sp. MB30-C6
  0.01	24	0	G	1506577	                Tyzzerella
  0.01	24	24	S	36835	                  [Clostridium] colinum
  0.01	18	0	G	3031933	                Chordicoccus
