species	WGS_kraken2_kraken2_standard_ONT_Z1	WGS_kraken2_kraken2_standard_NovaSeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Z4	WGS_kraken2_kraken2_standard_MySeq_Z3	WGS_kraken2_kraken2_standard_MySeq_Z2	WGS_kraken2_kraken2_standard_MySeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
[Clostridium]_scindens	20041	43618	2008	2285	2676	2636	71	84	43	72	3317	2880	5092	8520	3637	3778	9223	4590
[Ruminococcus]_torques	25064	39651	2385	2668	2983	2882	104	108	34	82	3622	3149	5363	9016	3827	4147	10013	4873
Amedibacterium_intestinale	74777	114140	1622	2825	2557	2470	8031	5597	1874	4462	5815	3797	7675	15796	3114	3605	8059	4272
Bifidobacterium_pseudolongum	148	779	8911	18359	22166	16002	18	19	31	41	20009	14347	23689	71267	7047	9996	22474	11452
Blautia_argi	37676	98186	10007	8756	9380	10033	60	109	48	87	11529	10654	17292	27024	13270	14001	34713	15937
Blautia_hansenii	251318	1817766	67588	84639	87181	38504	404	371	230	431	38327	33086	56919	112062	31149	35184	77864	40173
Blautia_obeum	36502	33352	2472	2910	2936	3334	72	75	32	57	4257	3820	6190	10540	3964	4331	10025	4702
Blautia_parvula	10107	35594	1682	1711	1848	2026	30	43	19	34	2559	2251	3809	6723	2619	2841	6754	3326
Blautia_wexlerae	15294	18644	1719	2000	2199	2133	87	87	33	67	2373	2178	3487	6002	2309	2600	5996	2938
Catenibacterium_sp._co_0103	160	464	3971	8539	3847	5299	8297	2827	1912	5928	19900	19043	30717	67074	42503	26538	86860	54423
Collinsella_aerofaciens	9317	70973	1425	2520	2819	3134	123	66	45	74	3390	2635	3897	12331	2633	3387	7914	3475
Collinsella_stercoris	51061	300842	6302	11008	12243	14301	513	250	148	288	15198	11414	16843	53651	11982	15080	35715	15025
Faecalibacterium_prausnitzii	3615	4635	6718	12963	11113	8654	14114	6154	2155	6329	4669	5269	13661	12300	3332	2634	10068	4639
Fusobacterium_mortiferum	8553	9694	503	1839	1564	1151	3258	6240	4658	5460	666	1103	2196	1443	1180	1609	4790	1174
Fusobacterium_ulcerans	9350	11379	614	2400	2114	1474	3955	7483	5719	6618	811	1358	2745	1886	1610	1916	6241	1529
Mediterraneibacter_gnavus	287305	416515	115224	170684	182123	168339	3219	3792	1467	3053	72794	59099	108635	226248	74446	81968	211292	101820
Megamonas_funiformis	1905	3220	864	1756	5585	1936	29947	76541	36986	43973	3586	4362	12229	5836	2177	3493	16154	2489
Peptacetobacter_hiranonis	407794	2222542	7145	10108	10275	11078	565	471	464	859	90175	92303	161671	231624	136796	134338	289952	173572
Phocaeicola_vulgatus	6264	6713	52150	122784	106469	213876	348555	556045	328079	368329	38113	55852	189537	68096	60202	74063	253825	76276
Thomasclavelia_spiroformis	257	559	1054	834	782	1014	85	146	41	131	2504	1935	3923	5776	4187	5174	9828	5588
