genus	WGS_kraken2_kraken2_standard_ONT_Z1	WGS_kraken2_kraken2_standard_NovaSeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Z4	WGS_kraken2_kraken2_standard_MySeq_Z3	WGS_kraken2_kraken2_standard_MySeq_Z2	WGS_kraken2_kraken2_standard_MySeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Agathobacter	3279	7129	772	929	1009	974	100	88	38	85	1067	961	1690	2676	1034	1097	2767	1372
Allocoprobacillus	1567	3430	200	264	278	222	33	28	16	26	464	379	691	1147	812	808	1886	977
Amedibacterium	74777	114140	1622	2825	2557	2470	8031	5597	1874	4462	5815	3797	7675	15796	3114	3605	8059	4272
Anaerobutyricum	4239	5723	469	527	560	574	27	35	14	30	830	715	1201	2168	806	837	1940	988
Anaerocolumna	6840	9036	865	905	970	1083	49	77	39	49	1241	1097	1924	3083	1235	1359	3244	1537
Anaerostipes	8376	10404	832	908	1016	1168	48	63	37	61	1207	1144	1906	3111	1246	1348	3099	1437
Bacillus	2754	2964	300	449	457	452	71	149	103	110	485	426	729	1156	570	569	1357	622
Bacteroides	7743	5381	1589	3764	2986	7336	15660	19643	14862	17929	1127	1855	4771	2148	1947	2466	8205	2189
Bifidobacterium	1100	5593	9311	19146	23069	16675	61	43	42	58	20807	14975	24677	74091	7471	10526	23698	12003
Blautia	384555	2053790	88610	105683	109108	62120	801	813	415	817	65745	57900	97692	178646	59927	66110	152636	75174
Butyrivibrio	2789	4541	493	528	627	646	36	61	31	38	645	582	997	1538	615	658	1632	762
Campylobacter	2035	10251	966	662	581	1158	2457	3353	2101	3503	197	363	1367	703	806	842	4232	925
Catenibacterium	271	756	4924	10002	4918	6181	9091	3121	2088	6534	22125	21105	34232	74852	46900	29276	95703	60091
Claveliimonas	8661	9319	1383	1707	1706	1757	69	69	41	53	1865	1616	2833	4656	1980	2071	5241	2425
Clostridioides	4864	10305	553	785	902	669	138	187	94	156	867	736	1340	2165	862	984	2254	1094
Clostridium	38096	108339	2329	2916	4757	3019	1105	1905	1183	1539	4534	4099	8510	9852	3787	4097	9654	4524
Collinsella	60497	373247	7738	13559	15097	17474	638	317	193	362	18636	14074	20790	66119	14639	18501	43742	18546
Coprococcus	18150	27360	1381	1642	1719	1692	275	166	63	146	2070	1881	3202	5407	2217	2329	5711	2748
Dorea	24544	29703	2071	2405	2623	2560	68	114	39	64	3170	2730	4645	7985	3218	3401	8188	3976
Enterocloster	8445	8788	1128	1721	2028	1642	372	223	94	234	995	965	1897	2595	819	895	2480	1081
Eubacterium	2563	5184	483	498	555	572	43	53	48	43	582	509	965	1402	621	620	1689	792
Faecalibacterium	7202	9445	11696	22591	19623	15504	24035	10491	3672	10837	8229	9100	23808	21409	5815	4644	17759	8128
Fusobacterium	26594	35161	1829	6858	5941	4276	12328	23172	17426	20800	2516	4121	8325	5596	4562	5925	18335	4591
Helicobacter	4796	2448	4794	2902	1706	3727	6599	3954	3930	6314	303	597	4308	907	1007	1288	7714	1486
Homo	23419	6517	372	502	570	513	998	1096	891	1286	935	983	1476	1957	1241	1469	3088	1327
Hungatella	6877	8620	859	1064	1250	1292	86	67	38	62	940	935	1611	2412	957	953	2424	1135
Lachnoanaerobaculum	1637	5218	423	417	432	440	20	42	28	39	466	521	891	1286	603	657	1718	863
