genus	Toti_ONT_ZMB1	Toti_NovaSeq_ZMB1	Toti_MySeq_ZHMW4	Toti_MySeq_ZHMW3	Toti_MySeq_ZHMW2	Toti_MySeq_ZHMW1	Toti_MySeq_Q4	Toti_MySeq_Q3	Toti_MySeq_Q2	Toti_MySeq_Q1	Toti_MySeq_MN4	Toti_MySeq_MN3	Toti_MySeq_MN2	Toti_MySeq_MN1	Toti_MySeq_I4	Toti_MySeq_I3	Toti_MySeq_I2	Toti_MySeq_I1
Ahphunavirus	1	0	0	3	3	3	0	0	0	0	0	2	1	2	0	0	2	0
Alphabaculovirus	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascovirus	11	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Asteriusvirus	14	23	0	0	0	0	0	0	0	0	3	2	2	4	2	4	4	2
Aurunvirus	85	109	5	15	16	12	11	2	1	2	13	9	20	26	7	11	22	11
Bequatrovirus	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bertelyvirus	7	25	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Biavirus	35	10	1	1	4	1	4	10	2	7	0	0	3	2	0	2	6	2
Birpovirus	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bixzunavirus	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bongovirus	0	0	3	2	6	1	0	0	0	0	7	2	7	12	0	2	2	5
Buchavirus	8	6	5	11	3	5	17	19	17	25	1	2	8	2	1	2	9	1
Busanvirus	4	0	2	1	6	7	17	13	19	17	2	3	10	1	1	0	14	2
Cavevirus	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysonvirus	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Citexvirus	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cohcovirus	5	0	0	6	6	8	11	24	10	13	1	1	8	0	2	6	9	2
Cotonvirus	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Culoivirus	0	0	0	1	0	1	2	2	3	1	0	0	1	0	1	0	1	0
Cyamitesvirus	1	5	1	2	3	1	0	0	0	4	9	4	6	11	6	6	14	8
Cytorhabdovirus	20	8	3	1	2	1	0	0	0	0	0	1	2	2	0	0	2	0
Cyvirus	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diorhovirus	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dragolirvirus	155	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drivevirus	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eastlansingvirus	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elpedvirus	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emcearvirus	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eneladusvirus	45	21	1	2	1	0	0	0	0	0	2	0	1	10	3	1	12	6
Erskinevirus	92	20	9	12	17	17	26	32	24	34	9	12	22	25	7	14	33	15
Fadolivirus	24	8	0	0	0	1	2	6	4	5	1	1	1	0	0	0	1	1
Faustvirus	157	78	4	7	9	11	1	2	0	0	18	11	17	39	10	11	34	18
Gilesvirus	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gualtarvirus	138	51	12	8	15	16	1	2	0	1	5	6	8	18	5	11	22	10
Gundelvirus	9	22	0	0	0	1	0	0	0	0	0	1	1	4	0	2	1	0
Hzauvirus	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Johnsonvirus	66	26	2	2	0	4	0	0	0	0	2	2	2	4	2	2	2	2
Jouyvirus	0	0	0	2	7	2	0	1	2	0	0	0	1	1	1	0	0	0
Justusliebigvirus	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kanagawavirus	30	5	0	0	0	0	0	0	0	0	1	0	1	4	1	2	1	1
Kayvirus	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kehruavirus	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingevirus	2111	1101	4	13	6	11	0	1	0	0	44	43	61	93	43	45	105	43
Kinglevirus	18	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Kirovvirus	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kratosvirus	42	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kumaovirus	0	0	1	1	2	3	0	0	0	0	2	0	2	5	1	0	2	2
Lacusarxvirus	83	94	10	7	15	16	1	2	1	1	4	4	11	22	4	7	8	9
Lahndsivirus	1221	1210	4	16	8	18	2	16	6	9	61	60	83	142	50	58	130	63
Leucotheavirus	6	0	0	0	0	0	0	0	0	0	1	0	3	4	3	2	1	2
Ludhianavirus	128	61	3	6	9	3	3	10	5	17	1	2	4	1	0	1	8	1
Lughvirus	16	19	16	29	23	23	24	10	5	14	9	8	26	26	5	7	22	7
Machinavirus	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapvirus	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marfavirus	83	56	0	1	0	0	0	0	0	0	9	4	6	12	6	2	10	5
Matervirus	173	132	14	14	12	15	0	2	0	0	19	9	17	27	18	9	42	16
