species	WGS_sourmash_NCBI_ONT_ZMB1	WGS_sourmash_NCBI_NovaSeq_ZMB1
[Ruminococcus] gnavus	122835000	50736999
Amedibacillus dolichus	25985000	15064999
Blautia caecimuris	30725000	6322999
Blautia hansenii	296612000	188570000
Blautia producta	45480000	7665000
Clostridium perfringens	23716000	11527999
Clostridium sp.	12610000	6099000
Clostridium sp. CAG:299	21298000	9186000
Collinsella intestinalis	94643999	177358000
Erysipelatoclostridium ramosum	9655000	6773000
Erysipelotrichaceae bacterium	41794000	10616000
Firmicutes bacterium	42826999	34229000
Fusobacterium sp.	27306999	10948999
Lachnospiraceae bacterium	161817000	116115000
Lachnospiraceae bacterium 6_1_63FAA	13960000	8767000
Lachnospiraceae bacterium 9_1_43BFAA	161892000	1784000
Peptacetobacter hiranonis	471804000	213024999
Peptostreptococcaceae bacterium	18230000	4792000
Romboutsia sp. 1001285H_161024_C4	14622000	4645000
Slackia faecicanis	26394000	22687000
uncultured Blautia sp.	148850000	109107999
uncultured Lachnospiraceae bacterium	21167999	9855000
uncultured Peptostreptococcaceae bacterium	17189000	7229000
uncultured Ruminococcus sp.	35140000	11979000
uncultured Tyzzerella sp.	16269000	10452000
