genus	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Abiotrophia	11	16	4	12	13	10	0	1	0	0	3	7	5	9	6	1	14	1
Abyssalbus	11	34	4	3	5	5	4	4	5	2	3	4	10	15	5	5	16	6
Abyssibius	15	111	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
Abyssicoccus	14	30	1	0	1	0	0	0	1	0	0	0	2	2	3	4	4	2
Acaryochloris	5	11	1	1	0	0	0	0	0	1	2	1	1	4	1	2	4	1
Aceticella	47	127	14	15	13	18	7	10	5	8	11	13	29	28	14	14	45	17
Acetivibrio	281	561	82	98	88	98	9	8	18	13	97	86	150	256	127	109	265	122
Acetoanaerobium	117	158	8	14	22	14	7	9	4	8	26	10	44	47	21	24	52	20
Acetobacter	12	30	5	10	8	4	2	4	4	4	4	14	11	14	4	5	15	10
Acetobacterium	530	716	54	67	68	67	9	12	5	7	67	79	124	230	76	87	199	103
Acetobacteroides	10	4	0	1	0	3	3	8	4	12	0	0	1	2	0	3	5	0
Acetohalobium	13	41	1	0	1	1	1	0	1	0	3	0	3	5	2	3	4	3
Acetomicrobium	4	4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Acholeplasma	15	94	8	14	6	10	0	3	1	0	14	7	21	25	19	24	53	25
Achromobacter	83	400	20	20	24	29	8	3	5	6	18	19	31	98	23	19	55	23
Acidaminococcus	101	189	14	15	18	29	4	5	1	4	19	20	32	48	22	28	50	19
Acidianus	21	33	0	3	0	0	2	3	4	6	2	3	9	5	6	5	12	3
Acidibrevibacterium	4	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Acididesulfobacillus	37	41	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	1
Acidihalobacter	14	82	4	5	9	9	3	2	4	2	7	2	6	36	4	4	21	11
Acidilutibacter	159	281	14	23	29	23	6	20	14	13	22	25	32	44	28	32	66	25
Acidiphilium	8	6	1	2	3	0	6	0	0	1	1	2	3	2	1	0	0	1
Acidipropionibacterium	76	325	5	2	1	0	0	0	0	0	0	2	0	1	1	0	2	1
Acidisoma	5	4	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0
Acidithiobacillus	13	48	0	4	0	1	0	0	0	0	1	3	3	5	2	0	3	2
Acidocella	2	1	1	3	2	1	2	1	1	0	1	0	2	4	0	0	4	1
Acidovorax	68	233	20	19	24	25	14	5	6	8	16	28	39	60	20	24	50	21
Acinetobacter	433	397	34	56	40	52	40	63	50	45	72	60	74	116	77	84	166	98
Actinacidiphila	5	16	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Actinoalloteichus	12	61	3	6	7	3	0	1	0	1	4	2	6	11	2	4	15	6
Actinobacillus	22	121	19	8	16	14	9	13	8	7	10	8	26	35	21	21	58	23
Actinobaculum	12	2	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1
Actinocatenispora	6	2	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0
Actinokineospora	17	52	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
Actinomadura	60	292	11	19	13	28	2	0	0	0	7	12	7	45	11	3	23	12
Actinomarinicola	3	33	17	10	9	11	1	0	1	0	8	6	10	26	9	11	25	8
Actinomyces	575	4303	63	70	83	91	24	17	10	9	102	76	155	425	85	71	193	83
Actinoplanes	79	436	32	19	25	33	8	7	3	7	22	90	35	88	24	19	45	32
Actinopolymorpha	7	2	8	3	4	3	6	0	2	2	3	4	8	4	1	0	1	4
Actinopolyspora	6	15	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Actinosynnema	1	5	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
Actinotalea	3	6	3	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0
Actinotignum	46	76	2	4	1	3	3	3	2	3	0	1	1	2	0	1	5	0
Acutalibacter	130	164	27	39	43	34	22	8	4	13	24	23	48	57	10	17	43	23
Acuticoccus	62	96	4	6	6	8	3	0	0	3	0	5	7	6	1	2	9	2
Adhaeribacter	14	19	1	3	0	0	5	5	2	1	4	1	9	4	3	0	8	3
Adlercreutzia	827	3608	38	48	70	96	6	4	0	3	91	60	107	306	66	61	220	93
Advenella	12	35	2	2	2	1	7	9	12	4	5	0	7	17	4	7	14	6
Aegicerativicinus	0	0	1	1	0	0	0	1	0	1	0	0	0	4	2	1	3	1
Aequorivita	12	5	1	1	2	4	4	3	3	11	7	2	5	11	11	9	20	9
Aeribacillus	21	25	0	1	0	4	1	0	3	2	0	3	5	11	1	3	2	5
Aerococcus	104	174	8	13	16	13	7	9	4	7	17	23	25	38	15	31	50	33
Aeromicrobium	52	290	16	7	18	16	1	2	1	0	16	20	19	47	11	19	30	11
Aeromonas	157	331	16	19	29	38	9	15	12	16	27	26	29	67	27	29	70	23
Aestuariibaculum	19	2	1	1	5	3	0	0	1	3	3	0	5	6	4	6	7	4
Aestuariispira	12	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Afipia	52	123	7	1	0	3	0	0	0	0	2	2	2	4	2	1	0	1
Agarilytica	6	3	0	0	0	0	0	1	2	1	0	0	1	1	1	2	0	3
Agarivorans	8	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0
Agathobacter	3279	7129	772	929	1009	974	100	88	38	85	1067	961	1690	2676	1034	1097	2767	1372
Agathobaculum	286	198	28	36	30	41	9	13	3	4	29	29	59	91	20	27	54	29
Aggregatibacter	48	114	7	4	5	9	0	1	1	1	8	14	17	37	12	13	18	9
Agreia	8	43	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Agrobacterium	121	344	20	21	21	27	3	2	0	10	18	12	29	40	15	20	49	18
Agrococcus	63	325	12	4	3	5	1	0	2	0	7	13	1	20	5	5	12	8
Agromyces	119	572	22	17	16	14	0	1	1	1	17	20	20	62	7	8	27	14
Ahniella	2	38	0	0	2	3	0	1	0	0	2	0	0	3	0	0	1	0
Akkermansia	188	184	36	68	95	97	5	9	4	11	53	53	100	121	72	52	145	73
Alcaligenes	7	2	4	4	4	7	9	9	2	9	4	4	7	3	1	1	6	3
Alcanivorax	9	84	4	5	8	10	3	2	2	4	11	8	20	27	16	6	32	15
Algibacter	35	14	1	0	6	0	0	4	2	4	1	1	0	2	1	2	2	2
Algoriphagus	46	96	4	6	2	9	3	2	2	2	6	3	13	26	4	6	14	9
Aliamphritea	22	109	15	14	12	7	4	3	2	0	4	6	12	22	9	9	32	16
Aliarcobacter	184	165	20	23	28	10	18	40	20	29	20	15	45	58	31	37	79	35
