genus	WGS_kraken2_kraken2_standard_ONT_Z1	WGS_kraken2_kraken2_standard_NovaSeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Z4	WGS_kraken2_kraken2_standard_MySeq_Z3	WGS_kraken2_kraken2_standard_MySeq_Z2	WGS_kraken2_kraken2_standard_MySeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Amedibacterium	74777	114140	1622	2825	2557	2470	8031	5597	1874	4462	5815	3797	7675	15796	3114	3605	8059	4272
Bacteroides	7743	5381	1589	3764	2986	7336	15660	19643	14862	17929	1127	1855	4771	2148	1947	2466	8205	2189
Bifidobacterium	1100	5593	9311	19146	23069	16675	61	43	42	58	20807	14975	24677	74091	7471	10526	23698	12003
Blautia	384555	2053790	88610	105683	109108	62120	801	813	415	817	65745	57900	97692	178646	59927	66110	152636	75174
Catenibacterium	271	756	4924	10002	4918	6181	9091	3121	2088	6534	22125	21105	34232	74852	46900	29276	95703	60091
Claveliimonas	8661	9319	1383	1707	1706	1757	69	69	41	53	1865	1616	2833	4656	1980	2071	5241	2425
Clostridium	38096	108339	2329	2916	4757	3019	1105	1905	1183	1539	4534	4099	8510	9852	3787	4097	9654	4524
Collinsella	60497	373247	7738	13559	15097	17474	638	317	193	362	18636	14074	20790	66119	14639	18501	43742	18546
Coprococcus	18150	27360	1381	1642	1719	1692	275	166	63	146	2070	1881	3202	5407	2217	2329	5711	2748
Dorea	24544	29703	2071	2405	2623	2560	68	114	39	64	3170	2730	4645	7985	3218	3401	8188	3976
Faecalibacterium	7202	9445	11696	22591	19623	15504	24035	10491	3672	10837	8229	9100	23808	21409	5815	4644	17759	8128
Fusobacterium	26594	35161	1829	6858	5941	4276	12328	23172	17426	20800	2516	4121	8325	5596	4562	5925	18335	4591
Helicobacter	4796	2448	4794	2902	1706	3727	6599	3954	3930	6314	303	597	4308	907	1007	1288	7714	1486
Lachnoclostridium	29255	53838	2790	3302	3724	3805	129	153	71	120	4409	3865	6855	11376	4733	4942	12088	6010
Mediterraneibacter	322817	467337	118553	174557	186322	172468	3358	3933	1520	3168	77672	63338	115808	238425	79607	87448	224696	108222
Megamonas	1969	3342	871	1766	5609	1950	30040	76773	37091	44113	3623	4391	12290	5888	2195	3514	16237	2510
Peptacetobacter	407794	2222542	7145	10108	10275	11078	565	471	464	859	90175	92303	161671	231624	136796	134338	289952	173572
Phocaeicola	8456	8210	52691	124090	107514	216163	352603	562347	331834	372626	38486	56427	191468	68819	60852	74797	256556	77067
Roseburia	12132	18464	2880	3739	3601	3914	485	329	138	274	2867	2567	4651	7127	3061	3138	8308	3902
Thomasclavelia	6883	59465	1549	1466	1481	1724	307	305	119	267	3123	2465	4926	7530	5188	6501	12359	6988
