species	WGS_sourmash_NCBI_ONT_ZMB1	WGS_sourmash_NCBI_NovaSeq_ZMB1
[Eubacterium] tenue	83000	0
[Ruminococcus] gnavus	122835000	50736999
[Ruminococcus] torques	870000	691000
Actinomyces bowdenii	60000	263000
Amedibacillus dolichus	25985000	15064999
Amedibacterium intestinale	7248999	1942000
Anaerobiospirillum succiniciproducens	2010999	724000
Anaerostipes sp.	883000	88000
Arachnia propionica	91000	69000
Bacteroidaceae bacterium	384000	154000
Bacteroides sp.	8187000	3064000
Bacteroides stercoris	215000	0
Blautia caecimuris	30725000	6322999
Blautia hansenii	296612000	188570000
Blautia producta	45480000	7665000
Buchananella hordeovulneris	0	112000
Butyricicoccus pullicaecorum	1876000	695000
Campylobacter upsaliensis	1213000	929000
Clostridia bacterium UC5.1-2D9	1489000	629000
Clostridiaceae bacterium	1416000	0
Clostridiaceae bacterium Marseille-Q3526	750000	361000
Clostridiales bacterium	1858000	73000
Clostridium baratii	10561000	3861000
Clostridium perfringens	23716000	11527999
Clostridium sp.	12610000	6099000
Clostridium sp. 1001254J_160919_H10	810000	474000
Clostridium sp. CAG:299	21298000	9186000
Clostridium sp. MCC334	838000	406000
Collinsella intestinalis	94643999	177358000
Collinsella sp.	1548000	3597000
Coprococcus comes	0	3671000
Coprococcus sp.	2768000	1055000
Coprococcus sp. AF27-8	1769000	770000
Coprococcus sp. AM27-12LB	7774999	7719000
Coprococcus sp. HPP0048	0	357000
Corynebacterium mustelae	137000	219000
Dorea phocaeensis	1882000	0
Enterococcus faecalis	96000	0
Erysipelatoclostridium ramosum	9655000	6773000
Erysipelotrichaceae bacterium	41794000	10616000
Faecalibacterium prausnitzii	125000	88000
Faecalicatena sp.	539000	187000
Faecalimonas umbilicata	9207000	3134000
Firmicutes bacterium	42826999	34229000
Firmicutes bacterium CAG:646	408000	0
Flavonifractor plautii	377000	2e+05
Fusobacteriaceae bacterium	1148000	377000
Fusobacterium sp.	27306999	10948999
Fusobacterium varium	2788000	0
Helicobacter canis	988999	131000
Lachnospiraceae bacterium	161817000	116115000
Lachnospiraceae bacterium 210521-DFI.1.109	1615000	4102999
Lachnospiraceae bacterium 6_1_37FAA	1764000	0
Lachnospiraceae bacterium 6_1_63FAA	13960000	8767000
Lachnospiraceae bacterium 9_1_43BFAA	161892000	1784000
Lachnospiraceae bacterium AM25-22	5570000	1851000
Lachnospiraceae bacterium CAG:364	4932000	4645000
Lacrimispora sp. 210928-DFI.3.58	0	104000
Leucobacter sp. OH1287	83000	248000
Megamonas funiformis	801000	0
Megamonas sp. Calf98-2	74000	363000
Oscillospiraceae bacterium	3010000	577000
Paeniclostridium sordellii	1602999	680000
Paulinella micropora	162000	0
Peptacetobacter hiranonis	471804000	213024999
Peptostreptococcaceae bacterium	18230000	4792000
Peptostreptococcus canis	99000	121000
Phocaeicola vulgatus	2424000	784000
Romboutsia hominis	467000	0
Romboutsia sp. 1001285H_161024_C4	14622000	4645000
Roseburia sp.	5108000	334000
Rothia endophytica	0	226000
Ruminococcus sp. 1001175B_160314_E1	3151000	983000
Schaalia canis	0	178000
Selenomonadales bacterium	2787000	1740000
Slackia faecicanis	26394000	22687000
Staphylococcus pseudintermedius	85000	0
Streptococcus agalactiae	544000	294000
Sutterella sp.	189000	0
Tessaracoccus sp. OH4464_COT-324	60000	148000
uncultured bacterium	2725000	197000
uncultured Bacteroides sp.	870000	303000
uncultured Blautia sp.	148850000	109107999
uncultured Clostridiaceae bacterium	3897999	0
uncultured Clostridium sp.	776000	632000
uncultured Eubacterium sp.	454999	242000
uncultured Faecalibacterium sp.	2061999	1536000
uncultured Firmicutes bacterium	0	412000
uncultured Fusobacterium sp.	4190999	1583000
uncultured Lachnospiraceae bacterium	21167999	9855000
uncultured Oscillospiraceae bacterium	582000	231000
uncultured Peptostreptococcaceae bacterium	17189000	7229000
uncultured Roseburia sp.	396000	0
uncultured Ruminococcus sp.	35140000	11979000
uncultured Tyzzerella sp.	16269000	10452000
