sample	DNA_isolation_method	category	N	ratio
SRTP_A_M3_211203_ZMB	ZMB	normal	45544	0.964792611108757
SRTP_A_F3_210704_ZMB	ZMB	normal	113251	0.968089653285919
SRTP_A_M2_210803_ZHMW	ZHMW	normal	52369	0.951765625283972
SRTP_A_M3_210414_ZMB	ZMB	normal	54365	0.966695117180554
SRTP_A_F2_210316_ZMB	ZMB	normal	104034	0.967506137936165
SRTP_A_M2_210330_ZHMW	ZHMW	normal	41778	0.906640625
SRTP_A_F4_210330_ZMB	ZMB	normal	41774	0.954310778087449
SRTP_A_M1_210412_ZHMW	ZHMW	normal	170579	0.973379973066125
SRTP_A_F1_210317_ZMB	ZMB	normal	94102	0.967162399662888
SRTP_A_F1_211203_ZHMW	ZHMW	normal	30723	0.967470714195743
SRTP_A_F1_210415_ZMB	ZMB	normal	64283	0.962911367755659
SRTP_A_M1_210415_ZMB	ZMB	normal	60461	0.970450386825463
SRTP_A_M1_210415_ZHMW	ZHMW	normal	75785	0.972387954373404
SRTP_A_F1_210705_ZMB	ZMB	normal	96467	0.973627371820751
SRTP_A_M2_210704_ZHMW	ZHMW	normal	39637	0.974480639213276
SRTP_A_F1_210705_ZHMW	ZHMW	normal	39067	0.968299211817776
SRTP_A_F1_210415_ZHMW	ZHMW	normal	100038	0.970743209804664
SRTP_A_M4_210803_ZMB	ZMB	normal	59571	0.963791680823181
SRTP_A_M4_210317_ZHMW	ZHMW	normal	31535	0.970218133710734
SRTP_A_F4_210413_ZMB	ZMB	normal	61112	0.963759659359722
SRTP_A_F3_210317_ZMB	ZMB	normal	92079	0.970008216926869
SRTP_A_M1_210317_ZHMW	ZHMW	normal	59058	0.97489228940722
SRTP_A_F4_210704_ZHMW	ZHMW	normal	32931	0.970013844295856
SRTP_A_M3_211203_ZHMW	ZHMW	normal	109439	0.973119809357827
SRTP_A_M2_210704_ZMB	ZMB	normal	97748	0.969116524394476
SRTP_A_F3_211003_ZMB	ZMB	normal	58301	0.961174492218412
SRTP_A_M4_210704_ZMB	ZMB	normal	115627	0.972914528044696
SRTP_A_F1_210903_ZMB	ZMB	below_min	4186	0.0649193548387097
SRTP_A_F3_210401_ZHMW	ZHMW	normal	39180	0.969585983320547
SRTP_A_M1_210317_ZMB	ZMB	normal	99576	0.965548002986551
SRTP_A_F4_210413_ZHMW	ZHMW	normal	158975	0.971587297706938
SRTP_A_F3_210704_ZHMW	ZHMW	normal	124990	0.94295069104955
SRTP_A_M2_210330_ZMB	ZMB	normal	39027	0.967020169483126
SRTP_A_F3_211003_ZHMW	ZHMW	normal	109083	0.970549767334265
SRTP_A_M1_210903_ZHMW	ZHMW	normal	113150	0.96923129636292
SRTP_A_F3_211203_ZHMW	ZHMW	normal	133068	0.971433994495587
SRTP_A_M3_210414_ZHMW	ZHMW	normal	150867	0.963409260713807
SRTP_A_F2_210316_ZHMW	ZHMW	normal	66257	0.975702063115732
SRTP_A_M2_210803_ZMB	ZMB	normal	55348	0.969283037371721
SRTP_A_F4_211203_ZMB	ZMB	normal	49350	0.966528917526783
SRTP_A_M2_211203_ZMB	ZMB	normal	47602	0.95103190617945
SRTP_A_M2_210415_ZMB	ZMB	normal	116613	0.966235251226303
SRTP_A_F1_210330_ZHMW	ZHMW	normal	119947	0.968720723631077
SRTP_A_F3_210803_ZHMW	ZHMW	normal	108478	0.972643886343462
SRTP_A_M1_210705_ZHMW	ZHMW	normal	89838	0.970906732951475
SRTP_A_F2_210413_ZHMW	ZHMW	normal	63608	0.972911791247954
SRTP_A_F2_210705_ZMB	ZMB	normal	92175	0.967564163123918
SRTP_A_F4_211203_ZHMW	ZHMW	normal	66275	0.954957421362805
SRTP_A_M4_210704_ZHMW	ZHMW	normal	23484	0.963643824374231
SRTP_A_F4_210330_ZMB	ZMB	below_min	1874	0.0428108009320601
SRTP_A_F1_211203_ZMB	ZMB	normal	51722	0.93716252944374
SRTP_A_M1_210705_ZMB	ZMB	normal	128135	0.937838510407823
SRTP_A_M4_210803_ZHMW	ZHMW	normal	48124	0.971220988900101
SRTP_A_F3_210401_ZMB	ZMB	normal	40648	0.965396033725211
SRTP_A_F1_210903_ZMB	ZMB	normal	60081	0.93177729528536
SRTP_A_F1_210317_ZHMW	ZHMW	normal	65881	0.973246469302133
SRTP_A_M2_210317_ZMB	ZMB	normal	49480	0.942278760640628
SRTP_A_F4_210330_ZHMW	ZHMW	normal	43207	0.969810558448554
SRTP_A_M1_210903_ZMB	ZMB	normal	60337	0.963511226086679
SRTP_A_M3_210903_ZMB	ZMB	normal	44947	0.897324815332402
SRTP_A_F4_210704_ZMB	ZMB	normal	117867	0.971986739675419
SRTP_A_F1_210330_ZMB	ZMB	normal	51321	0.963575599406695
SRTP_A_M4_210401_ZHMW	ZHMW	normal	27521	0.973126834270358
SRTP_A_F2_210401_ZMB	ZMB	normal	39300	0.969532502775379
SRTP_A_M1_210903_ZHMW	ZHMW	below_min	3061	0.0262202120916208
SRTP_A_F3_211203_ZMB	ZMB	normal	54769	0.962413017501933
SRTP_A_M2_210803_ZHMW	ZHMW	below_min	2472	0.044926667030151
SRTP_A_F2_210401_ZHMW	ZHMW	normal	35847	0.967086626918823
SRTP_A_M2_210317_ZHMW	ZHMW	normal	32901	0.968816254416961
SRTP_A_F1_210415_ZHMW	ZHMW	below_min	2609	0.0253170698572579
SRTP_A_F1_210903_ZHMW	ZHMW	normal	66988	0.954081923317951
SRTP_A_F4_210317_ZMB	ZMB	normal	39704	0.94953843210408
SRTP_A_M2_211203_ZHMW	ZHMW	normal	64331	0.954536686697826
SRTP_A_M4_210317_ZMB	ZMB	normal	48999	0.969125791139241
SRTP_A_F3_210413_ZMB	ZMB	normal	62751	0.93982237265797
SRTP_A_M2_210317_ZHMW	ZHMW	above_max	139	0.00409305064782097
SRTP_A_M4_210704_ZMB	ZMB	below_min	2619	0.022036921730643
SRTP_A_F2_210705_ZHMW	ZHMW	normal	41539	0.970356008222762
SRTP_A_F3_210803_ZMB	ZMB	normal	61164	0.960324064624515
SRTP_A_F2_210413_ZMB	ZMB	normal	48939	0.962362102530824
SRTP_A_F4_210317_ZHMW	ZHMW	normal	31798	0.964657343081637
SRTP_A_M4_210401_ZMB	ZMB	normal	49609	0.970840916651989
SRTP_A_M2_210415_ZHMW	ZHMW	below_min	1047	0.027823545043848
SRTP_A_F3_210317_ZMB	ZMB	below_min	2458	0.0258938541600826
SRTP_A_F3_210317_ZHMW	ZHMW	normal	59956	0.968860591761873
SRTP_A_M1_210705_ZHMW	ZHMW	below_min	2279	0.0246298497784502
SRTP_A_M1_210412_ZHMW	ZHMW	below_min	4155	0.0237097989089498
SRTP_A_M3_210903_ZHMW	ZHMW	normal	23414	0.959432879855761
SRTP_A_M1_210412_ZMB	ZMB	normal	49749	0.967691110678856
SRTP_A_F4_210317_ZHMW	ZHMW	below_min	1042	0.0316112004368534
SRTP_A_M3_210414_ZHMW	ZHMW	below_min	4905	0.0313224391271863
SRTP_A_M2_210330_ZHMW	ZHMW	below_min	4046	0.0878038194444445
SRTP_A_M2_210415_ZHMW	ZHMW	normal	36441	0.968402870050492
SRTP_A_F4_210413_ZHMW	ZHMW	below_min	4182	0.0255585977607197
SRTP_A_F3_210413_ZHMW	ZHMW	normal	31167	0.971842843779233
SRTP_A_F3_210704_ZHMW	ZHMW	below_min	7225	0.0545069104955037
SRTP_A_M3_211203_ZHMW	ZHMW	below_min	2551	0.0226832174423361
SRTP_A_M2_210415_ZMB	ZMB	below_min	3510	0.0290832559989394
SRTP_A_M2_210317_ZHMW	ZHMW	below_min	920	0.0270906949352179
SRTP_A_M1_210317_ZMB	ZMB	below_min	3134	0.0303891243006332
SRTP_A_M1_210415_ZHMW	ZHMW	below_min	1852	0.0237627827604347
SRTP_A_F4_210704_ZMB	ZMB	below_min	2817	0.0232303074284206
SRTP_A_F4_210704_ZHMW	ZHMW	above_max	136	0.00400600901352028
SRTP_A_F3_211003_ZHMW	ZHMW	below_min	2797	0.0248858914701093
SRTP_A_F1_210705_ZMB	ZMB	below_min	2144	0.0216390795316916
SRTP_A_F1_210330_ZHMW	ZHMW	below_min	3333	0.0269181069294137
SRTP_A_F2_210316_ZMB	ZMB	above_max	441	0.00410125734692359
SRTP_A_F1_211203_ZMB	ZMB	below_min	3196	0.0579090414930241
SRTP_A_F2_210401_ZHMW	ZHMW	below_min	1050	0.0283270833895379
SRTP_A_M2_210330_ZMB	ZMB	below_min	1207	0.0299073294018534
SRTP_A_F4_210704_ZHMW	ZHMW	below_min	882	0.0259801466906242
SRTP_A_F1_210415_ZMB	ZMB	below_min	2136	0.0319956859749247
SRTP_A_F1_210317_ZMB	ZMB	below_min	2785	0.0286236985724123
SRTP_A_M4_210704_ZHMW	ZHMW	above_max	87	0.00356996306934756
SRTP_A_F3_210413_ZMB	ZMB	below_min	3779	0.0565981218829097
SRTP_A_F3_210401_ZMB	ZMB	below_min	1343	0.0318964493528085
SRTP_A_M1_210705_ZMB	ZMB	below_min	7725	0.0565403870363322
SRTP_A_F3_210413_ZHMW	ZHMW	below_min	805	0.0251013408169629
SRTP_A_M1_210412_ZHMW	ZHMW	above_max	510	0.00291022802492525
SRTP_A_F3_210704_ZMB	ZMB	above_max	532	0.00454763044518909
SRTP_A_M3_210414_ZMB	ZMB	below_min	1596	0.0283793876026886
SRTP_A_F1_210317_ZHMW	ZHMW	below_min	1599	0.0236216982804467
SRTP_A_M3_210903_ZMB	ZMB	below_min	4973	0.0992812936713915
SRTP_A_M2_210317_ZMB	ZMB	below_min	2866	0.0545790405819733
SRTP_A_M2_210803_ZMB	ZMB	below_min	1555	0.0272319708591643
SRTP_A_M4_210803_ZHMW	ZHMW	below_min	1253	0.0252875882946519
SRTP_A_F4_210413_ZMB	ZMB	below_min	1983	0.0312726699258792
SRTP_A_F3_210803_ZHMW	ZHMW	below_min	2572	0.0230612665764061
SRTP_A_M2_210704_ZHMW	ZHMW	above_max	126	0.00309772587584511
SRTP_A_M2_210330_ZMB	ZMB	above_max	124	0.00307250111502057
SRTP_A_F1_210705_ZHMW	ZHMW	below_min	1159	0.0287265156397165
SRTP_A_M4_210803_ZMB	ZMB	below_min	2060	0.0333284796712453
SRTP_A_F1_210330_ZMB	ZMB	below_min	1758	0.0330072661046544
SRTP_A_M3_211203_ZHMW	ZHMW	above_max	472	0.00419697319983639
SRTP_A_F3_211203_ZMB	ZMB	below_min	1819	0.031963871511914
SRTP_A_F2_210413_ZMB	ZMB	below_min	1742	0.0342555994729908
SRTP_A_M4_210401_ZMB	ZMB	below_min	1311	0.0256560793753302
SRTP_A_M1_210412_ZMB	ZMB	below_min	1465	0.0284964014783116
SRTP_A_M2_210803_ZHMW	ZHMW	above_max	182	0.00330770768587682
SRTP_A_F4_210413_ZHMW	ZHMW	above_max	467	0.00285410453234244
SRTP_A_F1_210903_ZHMW	ZHMW	below_min	2990	0.0425853130519
SRTP_A_F3_211003_ZMB	ZMB	below_min	2022	0.0333355315220259
SRTP_A_F2_210316_ZHMW	ZHMW	below_min	1421	0.0209256777651789
SRTP_A_F2_210705_ZMB	ZMB	below_min	2600	0.0272922899280953
SRTP_A_F1_210415_ZMB	ZMB	above_max	340	0.00509294626941686
SRTP_A_M3_211203_ZMB	ZMB	below_min	1517	0.0321357454560861
SRTP_A_M4_210803_ZMB	ZMB	above_max	178	0.00287983950557362
SRTP_A_F3_210803_ZMB	ZMB	below_min	2305	0.0361903565652918
SRTP_A_F3_210317_ZHMW	ZHMW	below_min	1710	0.0276327909118821
SRTP_A_F3_211003_ZHMW	ZHMW	above_max	513	0.00456434119562606
SRTP_A_F1_211203_ZHMW	ZHMW	below_min	921	0.02900239324852
SRTP_A_F4_211203_ZHMW	ZHMW	below_min	2902	0.0418149594386248
SRTP_A_F4_210317_ZMB	ZMB	below_min	1978	0.0473047304730473
SRTP_A_M3_210414_ZHMW	ZHMW	above_max	825	0.00526830015900688
SRTP_A_M1_210705_ZHMW	ZHMW	above_max	413	0.00446341727007457
SRTP_A_F3_211203_ZHMW	ZHMW	below_min	3279	0.0239376263861411
SRTP_A_F2_210401_ZMB	ZMB	below_min	1113	0.0274577525595165
SRTP_A_M2_210317_ZMB	ZMB	above_max	165	0.00314219877739902
