family	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
Acaryochloridaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6500999768085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcaceae	1449.84762999351	297.526601173111	1384.14934814759	63.1412103746398	5551.2511284817	917.761462349391	1398.24387178155	573.625919144072	143.269657142857	43.0903164576656	160.045089384943	92.4747739203413	326.895882274722	98.1964788601056	1166.77183098587	90.3258928571428	822.216023938297	201.534678233216	501.395207053416	91.1129533318405	0	0	931.16786652713	158.634111025083	1433.41791044776	29.0356982015792	3416.79495977876	443.569318538761	0	0	71.076587740256	0	667.873245296624	0	202.074570782672	70.0019278895461	703.021492779417	21.0719021758549	6204.07873862748	707.149746054503	422.80809780164	1827.03597191495	374.82643983562	182.432689948216	112.22427060751	1611.15789434589	3494.85123288137	50.1523199500078	3694.45004459957	404.006613675946	6596.55142604418	2220.35457673755	954.430078210707	169.425285006983	318.978254914958	75.2309021998098	79.2564767403857	0	373.161786295812	51.0655371575356	2737.73439953175	2648.75567637893	204.532228932149	1033.97589437257	1540.46025693507	249.650314523571	2526.28212337894	175.465234914498	14.076262793001	11.0324132539477	1555.09423206417	40.1122970508984	109.330120216807	118.48319319379	1280.75876662636	168.508342807501	577.109261083349	487.702415720322	1526.76735870713	1527.74632120317
Aerococcaceae	0	0	0	0	0	0	0	0	0	0	64.4206649096656	200.026932879552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroplasmataceae	0	0	0	0	72.1015396254197	0	15.0335912811963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0303361302815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132.116323758001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0624616288071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.061229456333
Bacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.1268268950083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.2006553214409	0	0	0	10.5676470888042	0	0	0	0	0	0	0	0	0
Bacteroidaceae	2735.48362428766	269.58065115369	2668.46572384208	227.925944708127	2558.94402110947	463.503724887889	1296.46950694651	1583.03131190493	820.349017068569	167.113161491182	231.805991560172	69.0032220688417	1866.30293872832	137.435693423693	850.848943200421	399.476867004476	1126.91513632288	194.939470698361	988.267791084565	141.675296877893	0	0	1309.60489866105	162.292593721777	3664.43285516586	74.075810959168	2382.76624244846	563.445170073635	0	0	612.615151539459	0	956.127492631837	31.0458571805935	503.776547736693	118.130168931855	3248.76976947659	68.8951575618929	9019.38600391609	1009.37592620759	270.641210674749	3189.7566117509	2068.58980634012	439.841379652551	818.114443122808	1201.97488489188	2205.52169416118	50.152325785977	1959.47996706112	498.422605550788	4524.3851483252	2474.41677957215	1266.29836490852	263.544973993874	636.012422471033	77.2280097785613	1137.67696177989	0	348.58755290891	91.1785915648234	1124.31850391835	525.677291298867	696.255289100713	471.75710584101	2173.27725107173	347.065562991992	4359.32966801908	397.896969129575	116.732653171108	51.3940820268852	2445.424794073	237.663954440898	663.22078295301	61.315675516538	1311.86949639156	388.55090592074	2267.05649907354	743.690138429424	2313.52787722993	1718.34245900762
Bifidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.9936379154208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0331919944962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calotrichaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.8513441392362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacteraceae	199.391993364831	0	125.19448209919	0	1482.07731673746	169.324985352223	0	0	0	0	132.867621376179	59.3044675419402	0	22.0441074992074	0	0	0	0	0	0	0	0	48.1120103271933	0	63.2390254609306	33.0406220914522	0	0	0	0	0	0	0	0	0	0	14.040372181044	0	381.335752665141	22.0358277862982	0	184.205270595235	0	0	0	0	0	0	122.367782329752	85.2121817274089	0	0	145.172989437658	22.0553596554701	53.1630431567427	26.0770916091584	0	0	12.0374769772843	0	39.1136071887035	21.0300566544081	0	44.0842408487318	29.0652015306502	36.0967159870083	11.0361837464893	0	84.4575767580059	0	118.970587507959	0	0	0	11.0496834767764	0	19.102919285478	14.020192648324	0	22.0396190599802
Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	55.2838256908491	63.1731306236426	16.0320781812417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
