species	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
[Ruminococcus] gnavus	998.460491128084	1922.0732990627	5780.52226284114	1055.16183455979	5632.59659905039	3906.81552511268	87.7563467964568	373.702689632092	5112.39052173641	2510.08710683306	611.77154614433	656.060249372405	2140.19509114809	925.744889106272	783.898909902533	673.135543948653	3787.47429271405	3596.66779710334	1271.74407414542	9228.30339143761	866.683042944938	111.794684509607	2427.19848339465	2003.21833346728	151.970638810386	1244.38686081527	8411.89565475916	4855.44717786957	5232.88744974052	2543.91437636835	9453.43164899289	977.574959527081	27742.2570071637	26421.6193050755	8346.47420527842	1547.41136699602	1860.44745469343	1145.82482916004	4137.21232704391	6434.6792237918	580.771057724885	3878.09918271307	2792.2325384076	1783.37820270723	1348.06094447357	1975.27124623485	2980.20960428602	966.058372837824	1024.97507840894	1697.24923787701	708.532891618642	3258.59697133822	4360.49258873946	1816.80377082133	805.401184415179	1160.27196438064	1685.15057422661	991.443774209565	912.986266964071	3535.51579762291	344.200685599655	3493.9333993029	1109.49244285755	2109.07370507466	2044.04643907121	2496.25697957102	5614.37897820873	2527.5326283218	903.378161766843	1474.68544150501	2492.35911802758	1177.72936374311	3616.39953707059	566.470655266172	350.29151815037	2173.24975216497	590.329800801044	7580.26352700051	1464.34601758948	1894.65275864847
Anaerobiospirillum succiniciproducens	2727.76316559484	39.0691496489944	4021.67076275121	435.975024015319	0	0	0	0	265.499714285714	179.375968509817	5100.3048295722	3615.56006554652	0	0	0	0	0	0	0	0	0	0	4097.48762928081	703.813312132245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951.067146496061	0	0	0	0	0	10617.0903998064	216.656931157252	0	0	0	0	0	0	2419.96544195169	1364.97310405649	836.777370187212	0	0	501.727664212986	1483.87660011922	1183.69172816471	792.061082622873	3429.72629896843	929.084200652164	516.50616565884	5410.06255250776	570.512676731696	3574.26346645442	544.07791263992	12047.571276109	110.308725973805	61.1847456565998	583.302481431915	0	0	0	0	0	0
Blautia glucerasea	1811.99292243925	20254.8211347489	8099.58397113301	8152.81898690633	885.845201212341	5870.31245379975	1623.55077301655	26119.6205269767	5784.24334568691	11926.8217423406	3876.42409763373	9971.2318720552	1901.59145116308	9882.7995044364	854.574504119404	5146.47032189029	2767.44095755689	10929.1160913799	484.73995229954	9732.95151243862	2194.33642824325	929.167144967027	1646.70285893273	8870.7542921067	149.814462775821	4100.07276729757	13788.3187535988	21697.6613544915	7418.76758624261	3982.33912729756	17729.4972424893	5867.46825816138	4554.54358740903	1405.42689572142	2421.46601007369	7603.27636668592	3697.95977705891	9823.4160577686	783.780757945547	5366.342374586	1120.33844523083	18839.185388811	7420.92330082636	13562.9019325811	6702.50765550416	14056.1057947013	7807.78892469296	8954.82775442555	937.011372662587	9874.67514588324	2243.65568834264	31095.2985492415	9181.05718321616	13919.1871303179	2783.940849968	11126.8532512771	4903.04466411859	7129.98516298741	3320.93336195362	20997.1395077005	605.930690422085	22856.3408736152	3209.15819347986	14400.7359290261	1170.60707077641	7534.40447949741	8548.28523993445	12421.7379459949	1963.57675359187	9844.36888697528	5071.80262732623	8159.57677514642	8131.58123685925	10723.0179965202	251.72511517457	10298.34097149	513.214123332116	31050.7804376237	1280.96369276783	7529.75140799814
Blautia hansenii	507.929913457861	8117.23428510564	1719.82891127294	2903.29869947105	5471.987459967	6125.47377352709	627.403567395326	4639.04870669991	17032.7266515665	7941.291527569	1700.39986099674	3247.0784483587	185.054503168625	929.728642518468	599.744833170725	891.713121871396	2756.34290184504	1995.07619598407	2264.41275643829	11186.3489743999	127.266353381201	244.848726788886	1823.54969706563	2159.1733777243	186.59881553314	2166.56840371834	10294.72498547	10559.8946422168	1315.92483612219	1432.55774004011	10545.9632290763	2264.98239339394	163.980803603871	416.270931899887	892.879571370425	3845.02608909476	2058.8519388398	1991.87497563556	1287.67815771128	2003.33783242821	3973.56821867006	6918.86964608661	11180.0561918305	4521.91868945112	504.305274628076	3034.54768163232	7270.23310861131	1901.35742518314	2684.99334243655	3657.29695289758	1076.88559946437	3891.90189853117	13774.7337119305	6484.17705607478	650.346733247723	5116.7650190211	7598.88205198235	3086.1753695723	2892.32411566334	11828.1827708345	712.433907972773	6309.10792749853	10270.3395561536	2765.97228813642	2206.75462565764	3292.27290189494	8641.76877589402	5415.56567774639	3397.25463993796	7148.86266335528	6559.01560785765	4486.85345186824	1430.44688724493	9464.35834404449	508.618405187417	3758.45468313739	228.363754796759	4670.63345280229	1063.80347317238	2922.65632869577
Blautia producta	523.5473820728	7796.13541180434	2323.17380966694	3683.46247945617	2051.3569466832	3622.43607633305	525.451714104522	3143.14135286787	6635.60920146363	6145.84370016843	2766.40999140439	7068.06075912471	1503.15108088433	7944.26866867497	983.58497335144	3141.31432526194	3556.99949464873	5768.03522879179	647.852272263821	6234.03503753295	87.6102851963041	1471.78346711165	1846.57615180014	3284.99975483828	182.4048155856	3370.55890112253	5490.60352075981	7818.23249403685	10960.5861061788	5338.27264272082	15538.8632457989	6110.37977496799	331.421806030227	296.819735626302	234.108117864875	2001.11287270471	4067.76028141253	3780.57324677193	640.360006632017	1742.07567663582	1746.59888297792	6885.23690594785	5085.22672804962	2613.82735913043	1112.03878781071	6670.23961947652	2482.20000247234	1556.54535061637	2487.83701031714	4057.29631366711	1518.63366803803	7201.84477730261	9950.47924398832	7119.07571595835	619.657615161461	5105.39709964702	673.429420643924	1871.55394378024	3294.69682850048	13060.7940544721	268.867544645395	4473.69850579346	5008.47037597067	4844.37179096131	1875.42407736115	3882.66991906306	7387.79492265261	5671.39433217106	2340.87870089397	6675.16371666707	4611.81300681099	5701.62772250249	790.882558493922	3512.26317754169	345.919852593553	3276.33838899708	465.821431812716	9232.4629951221	1190.1552666025	3354.7884961828
Blautia sp. N6H1-15	61.7351392708157	1014.21011808314	260.962918311811	641.312982170452	227.635598061519	351.319862258173	57.268445756321	201.763465958444	863.553872569005	1043.01831785173	476.9589304648	817.056091646017	247.672118740371	1865.17660160151	135.044981380002	373.854638344795	525.786048883896	828.951499800143	91.7648639429759	599.81896636247	15.1743616084848	238.859891295932	196.208514365459	352.009123974168	34.5663118890334	1001.05366681169	688.448652541872	909.103249043004	1767.0809515805	703.633019632033	1522.11353465429	637.117017851265	30.5153194321262	26.4751926248677	53.4377628956348	344.306077426775	590.64454151036	831.494092756593	79.7602428754834	214.329481015498	429.448841044386	843.173582297482	942.028656476919	332.056900707453	131.110875912427	999.659378636565	316.089689535989	218.379253311605	408.521524280941	509.743628037614	162.299938208977	861.856816692273	1375.14197015995	839.09890335533	66.6530692753183	850.065696384018	147.268683634702	340.015540231959	986.504036982028	2248.80769495892	54.7624868631873	405.319291164857	721.370704896968	607.062460592252	341.318857897292	597.57660156436	1148.91965395986	862.006969104799	369.993533265215	951.20950557332	510.071554308176	561.332030577188	27.0308980918937	233.143628162456	29.2815585883241	304.11661982995	83.9906399744418	773.841514270485	204.500300681818	517.535411012512
Clostridium perfringens	0	59.1116524362891	27.0452356762307	20.0448302338729	127.169689166992	163.31976124611	0	39.0847116665319	216.407797332824	233.642084534984	1103.21739181204	2313.64014074111	1307.58392396834	13261.0474556029	23.0652537584245	24.113165946603	0	0	46.1283590489143	253.613859154633	41.0770377096444	147.152572543429	0	0	13.2065962674773	136.510399042945	0	0	13520.8985114649	6258.60507276922	9587.44400477627	2765.10841778026	254.935950636669	271.781255281273	24.1473465534803	75.2360313878099	196.536348912364	357.233046639288	20.0176248118184	16.0280070045152	61.2619809258991	19.0216016127324	6489.05154172118	3885.60522268565	23.0460579545796	8030.78539817879	0	0	42.1266220594692	40.1026092643936	240.602302836282	306.141780517709	372.208538339456	233.654685576788	61.2185641684767	534.933201142583	211.687117960863	265.219936234216	292.911993615949	359.545928439425	104.302958235729	259.3987185356	150.397983000205	71.1367061946634	60.1349182701368	36.0967162051351	223.753769113618	102.27117145196	59.801147496215	89.2820598083832	10813.075092792	3093.63224064402	17.0521982052053	324.133435520235	0	0	0	0	53.132263730372	117.237878089711
Enterocloster bolteae	584.402100004056	384.84321077314	1543.20115420663	195.224769139208	1319.1748600179	305.63580385176	1253.34489933334	511.940697337935	597.908204311332	80.9771699674319	368.331142554803	362.640880477746	136.225274939608	82.0720111300131	814.435307044846	100.094973882343	404.637936870508	93.1362301467336	189.142359533723	83.8446849076729	0	0	1395.97785362309	199.493008463002	992.561899972036	88.3688966456302	2443.88623310173	301.610901537926	37.4656781746074	0	177.938565201944	0	0	0	435.148877492814	39.5769318667296	724.056821446421	26.8095996625119	1455.46395769505	124.826949957596	549.763431115791	981.750351733719	1708.96840691384	174.642914193792	112.973303201551	660.990086052957	5035.20827385014	230.167804646141	1402.99817528717	360.919612386695	2084.21314175623	801.423705861155	1796.16637927446	275.713230153188	330.390837550697	180.680959135726	77.7438990913098	0	544.055766844113	204.772683589057	1551.06362732463	1554.21539480891	701.409927718573	347.492044547816	1679.3009536059	394.226673708606	2966.89457453066	169.307719091636	195.421932320845	33.0411975958501	1974.87051828578	110.655028957887	302.142654407684	72.6332765619381	654.792047868164	261.277827700514	367.01669272998	423.973909961143	1773.69402265037	493.295163357228
Faecalibacterium prausnitzii	12492.5644685429	2441.23361720977	12139.1524883725	2582.85520104026	6453.05090230196	3076.87837006876	5682.68183629241	2716.35086685573	1229.3139667354	562.090766408458	303.985294868733	338.959164420436	640.75603918266	478.831213219132	2756.07806994813	416.502732498892	2693.20698071069	864.26740757013	643.791445856585	261.71317372888	46.0868082072624	0	3368.78793964494	927.70815239423	3429.56546867483	251.302469334557	13786.4125960114	3682.86975441435	199.221655318617	20.0365308307615	256.276147092911	29.0657041741086	442.572399662232	0	1255.62368505046	297.935419194061	2433.95334604315	137.469070269773	10480.880638593	1332.10298113657	1500.35185273554	11211.1910049085	2810.57037269741	559.34276823907	507.013222566073	6532.24803532775	10558.9936012388	400.215523759561	4435.07952945316	1178.30789739343	13754.0626674028	10130.7654672777	7982.17241348019	994.484287547779	6101.57392736702	1121.8026461338	46.1493409116546	0	1067.32352337223	327.475990729499	4667.56348664018	8280.22728550615	604.56422384774	1556.85547683881	5441.58005845982	1121.80555478152	4830.33542126933	449.251869963816	125.680917794652	33.0972397618618	7255.38474493174	514.306215799751	472.426519667171	147.60194406345	2600.5709314357	1394.20244769779	1064.84860044219	2293.2366487426	3761.19600778165	2402.48093151427
Faecalimonas umbilicata	570.551949547386	3708.69406784689	3425.39230502522	1922.03065645059	762.752655307329	2269.47806038042	349.640567419895	3795.89414186271	1168.60836839564	3304.1846516002	1630.20048906296	3001.56555054194	1753.14461460726	2501.93433118986	303.367309897501	1285.21480873038	705.233270413025	2421.56550476061	648.962524343972	10996.4674980357	345.307463843582	179.429578593291	428.884244854213	2298.04038582832	104.661232295981	1008.47634965995	2842.11226557981	5373.69661737734	650.909828729579	2189.89459497804	2440.23178790094	1221.16875073196	4183.17784913451	4225.52871941382	2517.09628897062	1478.8544013788	534.000534455216	1599.1544941385	623.261968054349	3870.58476415093	273.654857039165	5291.50133170682	502.004965907442	1837.46099551068	2797.52731801159	3710.11302093484	1802.17363646797	1497.89485333161	474.423196123262	2250.58941382544	585.964589420026	4161.56167513172	1894.81533160006	2656.48494400084	552.351316686496	1283.50579540068	765.510904536922	550.687220049902	261.102757809753	4279.64816348468	175.046855097376	4391.79352660833	504.798084135784	2327.63771909375	715.946284263758	2096.52262014795	1846.29523982864	2055.01250148678	852.419349495996	1776.17682771674	1160.01724452078	2201.94874415077	943.604509669559	2035.62341433186	192.593845489684	3339.61195684722	178.739985003696	8904.99181924651	858.065025731766	3390.66877255954
