sample	DNA_isolation_method	n_reads	total_bases	mean_len	median_len	n50_len	max_len	min_len	mean_Q	median_Q
SRTP_A_M1_210317_ZHMW	ZHMW	60579	93584894	1544.8405222932	1566	1567	4766	137	19.4781176232688	19.6602
SRTP_A_M1_210317_ZMB	ZMB	103129	158049203	1532.53888818858	1564	1566	4766	110	18.2345043120752	18.2834
SRTP_A_M1_210412_ZHMW	ZHMW	175244	271392442	1548.65468717902	1576	1577	4745	123	18.6201145094839	18.7308
SRTP_A_M1_210412_ZMB	ZMB	51410	79419220	1544.82046294495	1577	1579	6018	140	19.1297574499125	19.19345
SRTP_A_M1_210415_ZHMW	ZHMW	77937	121460359	1558.442832031	1583	1584	6757	113	18.9404337503368	18.9994
SRTP_A_M1_210415_ZMB	ZMB	62302	96701544	1552.14188950596	1578	1580	4820	115	19.8027447545825	19.97545
SRTP_A_M1_210705_ZHMW	ZHMW	92530	143810863	1554.20796498433	1578	1579	4626	107	19.5382082859613	19.7172
SRTP_A_M1_210705_ZMB	ZMB	136628	205909351	1507.080181222	1573	1576	4872	102	19.9336595097637	20.16115
SRTP_A_M1_210903_ZHMW	ZHMW	116742	181230584	1552.40259718011	1580	1581	4765	116	19.5428599878364	19.73765
SRTP_A_M1_210903_ZMB	ZMB	62622	96662501	1543.58693430424	1577	1578	6421	124	19.9011329644534	20.07515
SRTP_A_F1_210317_ZHMW	ZHMW	67692	104691843	1546.59107427761	1572	1572	5962	110	19.4603492140873	19.623
SRTP_A_F1_210317_ZMB	ZMB	97297	149779311	1539.4031778986	1570	1571	7368	111	18.2411942752603	18.2927
SRTP_A_F1_210330_ZHMW	ZHMW	123820	191349972	1545.38824099499	1573	1574	5157	111	18.8551509521887	18.87305
SRTP_A_F1_210330_ZMB	ZMB	53261	81263619	1525.76217119468	1562	1564	4722	98	18.2712780589925	18.226
SRTP_A_F1_210415_ZHMW	ZHMW	103053	160274220	1555.26010887602	1582	1583	4966	118	18.9691156210882	19.0467
SRTP_A_F1_210415_ZMB	ZMB	66759	103311661	1547.5315837565	1584	1585	4761	112	19.9639773169161	20.1607
SRTP_A_F1_210705_ZHMW	ZHMW	40346	62018807	1537.17362315967	1567	1569	6527	126	18.6915576488376	18.65555
