Sample	Sample_name	Dog	DNA_isolation_method	Date	Sex	Read count	Average quality score	Barcode	Flowcell type	Accession
SRTP_A_M1_210317_ZHMW	M1_210317	M1	ZHMW	210317	M	60579	19.47811788	3	R9	ERS21409549
SRTP_A_M1_210317_ZMB	M1_210317	M1	ZMB	210317	M	103129	18.23450443	10	R9	ERS21409550
SRTP_A_M1_210412_ZHMW	M1_210412	M1	ZHMW	210412	M	175244	18.62011453	2,  3	R9	ERS21409551
SRTP_A_M1_210412_ZMB	M1_210412	M1	ZMB	210412	M	51410	19.12975752	2	R9	ERS21409552
SRTP_A_M1_210415_ZHMW	M1_210415	M1	ZHMW	210415	M	77937	18.94043379	1	R9	ERS21409553
SRTP_A_M1_210415_ZMB	M1_210415	M1	ZMB	210415	M	62302	19.80274484	1	R9	ERS21409554
SRTP_A_M1_210705_ZHMW	M1_210705	M1	ZHMW	210705	M	92530	19.53820838	2	R9	ERS21409555
SRTP_A_M1_210705_ZMB	M1_210705	M1	ZMB	210705	M	136628	19.93365956	11	R9	ERS21409556
SRTP_A_M1_210903_ZHMW	M1_210903	M1	ZHMW	210903	M	116742	19.54285989	8,  10	R9	ERS21409558
SRTP_A_M1_210903_ZMB	M1_210903	M1	ZMB	210903	M	62622	19.90113284	2	R9	ERS21409559
SRTP_A_F1_210317_ZHMW	F1_210317	F1	ZHMW	210317	F	67692	19.46034914	4	R9	ERS21409565
SRTP_A_F1_210317_ZMB	F1_210317	F1	ZMB	210317	F	97297	18.24119445	11	R9	ERS21409566
SRTP_A_F1_210330_ZHMW	F1_210330	F1	ZHMW	210330	F	123820	18.85515074	9,   1	R9	ERS21409567
SRTP_A_F1_210330_ZMB	F1_210330	F1	ZMB	210330	F	53261	18.27127802	4	R9	ERS21409568
SRTP_A_F1_210415_ZHMW	F1_210415	F1	ZHMW	210415	F	103053	18.96911558	3	R9	ERS21409569
SRTP_A_F1_210415_ZMB	F1_210415	F1	ZMB	210415	F	66759	19.96397714	2	R9	ERS21409570
