path	file.names	source	sex	dna.isolation.methods	date	name	filename
Serteperti_all_rebasecall_emu/SRTP_A_F1_210201_ZMB_rel-abundance.tsv	SRTP_A_F1_210201_ZMB_rel-abundance.tsv	F1	female	ZMB	210201	F1_210201	SRTP_A_F1_210201_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210214_ZMB_rel-abundance.tsv	SRTP_A_F1_210214_ZMB_rel-abundance.tsv	F1	female	ZMB	210214	F1_210214	SRTP_A_F1_210214_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210221_ZMB_rel-abundance.tsv	SRTP_A_F1_210221_ZMB_rel-abundance.tsv	F1	female	ZMB	210221	F1_210221	SRTP_A_F1_210221_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210317_ZHMW_rel-abundance.tsv	SRTP_A_F1_210317_ZHMW_rel-abundance.tsv	F1	female	ZHMW	210317	F1_210317	SRTP_A_F1_210317_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210317_ZMB_rel-abundance.tsv	SRTP_A_F1_210317_ZMB_rel-abundance.tsv	F1	female	ZMB	210317	F1_210317	SRTP_A_F1_210317_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210330_ZHMW_rel-abundance.tsv	SRTP_A_F1_210330_ZHMW_rel-abundance.tsv	F1	female	ZHMW	210330	F1_210330	SRTP_A_F1_210330_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210330_ZMB_rel-abundance.tsv	SRTP_A_F1_210330_ZMB_rel-abundance.tsv	F1	female	ZMB	210330	F1_210330	SRTP_A_F1_210330_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210415_ZHMW_rel-abundance.tsv	SRTP_A_F1_210415_ZHMW_rel-abundance.tsv	F1	female	ZHMW	210415	F1_210415	SRTP_A_F1_210415_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210415_ZMB_rel-abundance.tsv	SRTP_A_F1_210415_ZMB_rel-abundance.tsv	F1	female	ZMB	210415	F1_210415	SRTP_A_F1_210415_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210603_ZMB_rel-abundance.tsv	SRTP_A_F1_210603_ZMB_rel-abundance.tsv	F1	female	ZMB	210603	F1_210603	SRTP_A_F1_210603_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210705_ZHMW_rel-abundance.tsv	SRTP_A_F1_210705_ZHMW_rel-abundance.tsv	F1	female	ZHMW	210705	F1_210705	SRTP_A_F1_210705_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210705_ZMB_rel-abundance.tsv	SRTP_A_F1_210705_ZMB_rel-abundance.tsv	F1	female	ZMB	210705	F1_210705	SRTP_A_F1_210705_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210728_ZMB_rel-abundance.tsv	SRTP_A_F1_210728_ZMB_rel-abundance.tsv	F1	female	ZMB	210728	F1_210728	SRTP_A_F1_210728_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210830_ZMB_rel-abundance.tsv	SRTP_A_F1_210830_ZMB_rel-abundance.tsv	F1	female	ZMB	210830	F1_210830	SRTP_A_F1_210830_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210903_ZHMW_rel-abundance.tsv	SRTP_A_F1_210903_ZHMW_rel-abundance.tsv	F1	female	ZHMW	210903	F1_210903	SRTP_A_F1_210903_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210903_ZMB_rel-abundance.tsv	SRTP_A_F1_210903_ZMB_rel-abundance.tsv	F1	female	ZMB	210903	F1_210903	SRTP_A_F1_210903_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F1_210915_ZMB_rel-abundance.tsv	SRTP_A_F1_210915_ZMB_rel-abundance.tsv	F1	female	ZMB	210915	F1_210915	SRTP_A_F1_210915_ZMB_rel-abundance.tsv
