genus	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Adlercreutzia	0	0	0	0	0	0	0	0	17.0001319961356
Agathobaculum	54.9110582189144	40.6153579080139	55.9389704574409	61.8712011634392	103.005358043435	78.4611789329228	53.420553258864	93.9755619064115	88.9040466915683
Allisonella	0	0	0	0	12	0	0	0	14
Allobaculum	580.984674546911	405	373	233	522.002211705888	318	118.898258865101	316	231
Amedibacillus	106	87	73	56	116	57.012737196456	30	64	56
Aminipila	320.631844061536	234.445007531814	233.485670544903	246.843365931069	569.876688911323	304.960162951359	185.478325144423	594.035223229016	506.727377396144
Anaerobacterium	0	0	0	0	17.8052642887383	0	0	13.968320845989	17.6749053702354
Anaerobiospirillum	18	15	16	0	0	0	0	0	0
Anaerobutyricum	151	98	110	168	323	186.999998947126	144	308	348.023282868159
Anaerofustis	0	0	0	0	10	0	0	13	12
Anaeromassilibacillus	0	0	0	0	0	0	0	11.2118539305611	23.9081323783775
Anaeroplasma	41	23	33	22	42	32	0	26	26
Anaerorhabdus	24.8724492419381	12.2150783340678	13.9310641230633	0	21.1699615899049	10.4844498703876	0	0	0
Anaerotaenia	97.5600551408582	54.6093072440383	82.5176471672002	104.927183219433	169.538631493039	122.994665159199	87.5821059039027	202.524709796081	192.992181803667
Anaerotignum	565.000000000119	325.881681597943	417.000000341841	463.000002054866	881.00000056701	543.999999564345	371.000000000369	982.0541619037	1012.00001122588
Anaerotruncus	35.897882240663	33.0866199012998	28.9001804274991	23.1764512434898	58.1704290982763	27.3140274593461	25.8133151960627	52.5450923708359	66.0814521987102
Anaerovibrio	10	0	0	0	0	0	0	14	0
Azospirillum	54	32	35	28	50	42	34	79.0000049474968	111.000000011443
Bacillus	0	0	0	16	37	0	0	42	18
Bacteroides	334.85366119886	238.44522367896	266.982048515834	492.410217895082	841.327019716153	641.349379883486	438.866114930318	995.306892572484	1261.59409693021
Bariatricus	0	0	0	10.0714190327436	27.5567894944618	18.2159821278777	11.5786207594459	25.2673274343896	26.0338552626514
Beduini	14.004602857481	10.0000074453214	10.2906210181018	0	17.0000437769018	14.1880501499035	0	11.0000000017811	0
Bifidobacterium	0	0	0	366	737	402	327	956	676
Blautia	28539.4728773913	20847.991686139	20061.2291282261	24761.6782976712	49211.4854980012	27537.1462000174	19773.6908149993	57552.4550880389	46319.0333110552
Butyricicoccus	237.141166550837	113.385565705502	154.023122263336	179.101290958941	326.85911153941	192.538798030987	152.788246179909	352.001887431886	413.137395178739
Caecibacterium	0	0	0	12.4815546342417	19.7971630640735	11.8344391559507	10.870144432675	25.6638205462661	14.4547795758605
Campylobacter	23	20	18	21	49	31	22	64	53
Candidatus Arthromitus	12	0	0	0	17	12	11	24	20
Christensenella	69	38	38	42	82	47.9999999862986	31	71	83.1262117147004
Clostridioides	0	0	0	10.0000000000001	11	0	0	10.0000000025631	0
Clostridium	824.580879196986	637.987625970899	607.452975935	743.989671221359	1560.62856721261	847.955474588256	606.551786216696	1817.09375888659	1439.76758870671
Collinsella	194.999999999999	121	101	1089	1933.00003305123	1252	1988	5278.99499306089	4326.00000060653
Coprococcus	45.0086780637834	31.7450424448216	35.9022156071765	31.0725797013111	48.4416698043374	33.3114704654932	31.9365409067522	84.9172628451677	63.5023310592634
Cuneatibacter	0	0	0	0	14.9282387521668	0	0	16.4545238908003	0
Duncaniella	0	0	0	0	10	0	0	12	17
Dysosmobacter	126.825698590589	72.3107003768259	101.30647288664	92.958505858234	154.181924323488	124.899739912839	88.209507179991	209.33500043223	200.231279578924
Eisenbergiella	194.231194642687	123.337833208139	123.092815692988	233.583533606331	439.674709184043	233.258299387095	158.682481359149	481.568142879505	423.538921358216
Emergencia	407.808218092909	306.10780805119	314.162298114582	312.462367389031	588.757385234447	458.720417765678	291.477819038349	817.404204974361	722.11194733801
Enorma	0	0	0	0	0	0	0	13.0050069466535	0
Enterocloster	889.80976528297	577.578852058055	713.129224366272	651.939570269464	1231.00882353834	963.515247866082	563.499843882795	1400.96471525592	1522.15393626019
Enterococcus	2329.98738926948	1698.99999999947	1466.86174110606	1795	3593	1790.29089141673	1287	4132.84503202119	2915.99999543552
Enterorhabdus	0	0	0	0	18	14.9999999999217	32.9999999999953	92.0000000000001	56.9997144146083
Ercella	0	0	0	0	11.647719296933	0	0	14.0736637691704	0
Erysipelatoclostridium	285.995397142519	199.999992554679	179.709379170392	168	316.998463945446	182.811948112322	51	151.999999998219	131
Escherichia	324	198	248	54	111	76	36	98	121
Eubacterium	0	0	0	0	0	0	0	18	0
Faecalibacterium	6326.77233643824	3773.51926056549	4962.95459409452	4628	8062.16186232973	6340.99999999689	3761.00000014576	9902.63476076644	10838.2106698099
Faecalicatena	815.15414575292	634.128041417173	654.812683795383	924.956491672367	1665.38531515168	1125.63709996063	720.923287887147	1794.13192282915	1676.57907418951
Faecalimonas	3845.82659320121	2824.88938104413	2597.27003147323	3369.28268575997	6804.6185908942	3754.67842968388	2775.83458401139	7902.9342546298	6309.57959574403
Flavonifractor	84.3232525589236	48.0544506280629	71.8649337832326	66.8448524531167	129.167965927695	105.178599841513	66.3829226945414	123.235303749521	176.612792807567
Flintibacter	43.9151561524764	28.5653974134134	37.5845453399448	34.0756156966519	50.4974906692268	37.2777115067153	29.9960611224818	72.3329225312374	77.9354278941054
Fournierella	756.907053233042	479.457289348958	576.47671189107	523.657875274026	982.113256998269	796.297357199345	466.12242553698	1159.97616310104	1262.71260863495
