class	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Actinobacteria	0	0	0	366	737	402	327	976	694
Alphaproteobacteria	54	32	35	28	50	42	34	92	123
Bacilli	44739.453694207	32792.7199002547	29167.0341964203	35062.3729868635	71370.9105456935	35805.4506304398	27662.5240965861	84823.1042505807	62186.2542766383
Bacteroidia	999.875503045655	697.203376206917	811.931064123062	1309	2262.16996158991	1811.48444987039	1227	2950.29806930402	3507.14467601838
Betaproteobacteria	616.000040419212	383	483	1196	2021.00398068131	1620	664	1705.99997446152	1942
Clostridia	96129.9409249569	66039.3061006541	72326.1862714777	82211.3984743176	155238.126881945	98771.6720849158	64870.5776445699	178965.895771528	163696.809472561
Coriobacteriia	226.999999999999	140	119	1157	2080.00003305123	1328	2183	5884.00000824954	4744.00000060653
Deferribacteres	14	0	0	10	24	12	0	19	24
Epsilonproteobacteria	23	20	18	21	49	31	22	64	53
Erysipelotrichia	2200.13361191976	1595.78491422061	1528.77831504733	1191	2421.83071411657	1442.34023717616	406.898258865101	1229.99999999822	992
Fusobacteriia	2516.00000000001	1599.00161521013	2122.00000000001	832.229303087462	1511.99999999999	1227.99999999992	489	1160	1308.99999999999
Gammaproteobacteria	562	377	385	127	268	161	53	161	171
Mollicutes	41	23	33	22	42	32	0	26	26
Negativicutes	10666.7757227813	6570.92636246834	8956.13382930201	8304.99923573145	13833.9578829221	11053.0525975979	6664.99999999998	16547.9999996408	19297.7915540764
unassigned	21	19	18	27	36	33	19	44	52
