order	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Acidaminococcales	3857.65983574898	2387.10950923249	3334.00002547491	2930	4862.99999735816	3963.00000000023	2398	6035.99999999967	7074.03995908871
Aeromonadales	238	179	137	73	157	85	17	52	50
Anaeroplasmatales	41	23	33	22	42	32	0	26	26
Bacillales	288.910829974412	204.890490767513	226.999999900402	218.999999863816	560.99999915537	239.999999893851	221.999999855506	542.154917947477	467.698148177073
Bacteroidales	999.875503045655	697.203376206917	811.931064123062	1309	2262.16996158991	1811.48444987039	1227	2950.29806930402	3507.14467601838
Bifidobacteriales	0	0	0	366	737	402	327	956	676
Burkholderiales	616.000040419212	383	483	1196	2021.00398068131	1620	664	1705.99997446152	1942
Campylobacterales	23	20	18	21	49	31	22	64	53
Clostridiales	96129.9409249569	66039.3061006541	72326.1862714777	82211.3984743176	155238.126881945	98771.6720849158	64870.5776445699	178965.895771528	163696.809472561
Coriobacteriales	194.999999999999	121	101	1089	1933.00003305123	1252	1988	5292.00000000755	4326.00000060653
Deferribacterales	14	0	0	10	24	12	0	19	24
Eggerthellales	32	19	18	68	147	76	195	592.000008241991	418
Enterobacterales	324	198	248	54	111	76	36	98	121
Erysipelotrichales	2200.13361191976	1595.78491422061	1528.77831504733	1191	2421.83071411657	1442.34023717616	406.898258865101	1229.99999999822	992
Fusobacteriales	2516.00000000001	1599.00161521013	2122.00000000001	832.229303087462	1511.99999999999	1227.99999999992	489	1160	1308.99999999999
Lactobacillales	44450.5428642326	32587.8294094872	28940.0341965199	34843.3729869997	70809.9105465381	35565.4506305459	27440.5240967306	84280.9493326332	61718.5561284612
Propionibacteriales	0	0	0	0	0	0	0	20	18
Pseudomonadales	0	0	0	0	0	0	0	11	0
Rhizobiales	0	0	0	0	0	0	0	12.9999950525032	11.9999999885565
Rhodospirillales	54	32	35	28	50	42	34	79.0000049474968	111.000000011443
Selenomonadales	6647.11588703234	4082.81685323585	5504.1338038271	5221.99923573145	8728.9578855639	6964.05259759767	4153.99999999998	10228.9999996412	11943.7515949882
Vampirovibrionales	21	19	18	27	36	33	19	44	52
Veillonellales	162	101	118	153	242	126	113	283.000000000001	279.999999999418
