species	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
[Eubacterium] brachy	3722.31292055705	2738.4438621258	2906.18153412624	3519.00190353827	6586.58530038482	4071.51586017298	2489.63242694691	7390.59342054266	6659.85862059321
[Ruminococcus] gnavus	1580.54303218887	1126.09681795542	1108.91182528976	1172.90127348636	2472.43875992589	1472.47097754142	1004.89195125611	2854.89790149596	2438.9156421111
[Ruminococcus] torques	2043.13515966297	1520.67133217717	1600.00485639433	1768.22265903602	3537.04316477142	2096.33309083043	1336.13180619732	4239.43061874964	3486.76621249947
Blautia glucerasea	13980.1856634434	10347.4908398735	9761.76801565545	11532.228498215	22871.5981104201	12417.8566564287	9041.76417266661	26906.7121740468	21248.2530555744
Blautia hansenii	2020.37459148809	1525.85529687396	1331.13570076307	1656.96152885483	3532.55588789602	1866.14054447116	1424.06314254378	4116.65676533241	3181.53242345941
Blautia luti	1074.10245508357	722.634904652438	801.224676945836	1842.89588388652	3376.79982186624	1934.64724694552	1424.21171447809	3946.36271637312	3334.58178244578
Blautia producta	5253.90434579904	3764.71046213946	3569.126087595	4036.68059731149	7990.76308522144	4526.5282349184	3375.20025805404	9561.4036174695	7563.20296594987
Blautia sp. N6H1-15	1713.41065911009	1242.86870407781	1286.68938767974	1463.24413385104	3000.93802249104	1783.55464302309	1218.73997809108	3482.00136619643	2996.90961542785
Blautia wexlerae	2795.26119031001	1931.74792480606	2008.28890505496	2339.68222617971	4472.11584065466	2816.24738691372	1878.31131443064	5182.62331136084	4665.64594000108
Clostridium perfringens	700.993031661323	535	503	635	1280	711	521	1489	1222
Collinsella intestinalis	194.999999999999	121	101	1027.00479185249	1832.00003472775	1202.00059884739	1869.05923879098	4971.91234120485	4151.77647590952
Enterocloster bolteae	873.005390259097	577.578852058055	699.187128164916	651.939570269464	1184.61773264363	950.973673620718	563.499843882795	1372.17319051532	1478.38024430669
Enterococcus cecorum	2158.98793105015	1574.99999999947	1352.86174481774	1669	3346	1685.29089141673	1202	3791.84503202119	2695.99999543552
Faecalibacterium prausnitzii	6326.77233643824	3773.51926056549	4962.95459409452	4628	8062.16186232973	6340.99999999689	3761.00000014576	9902.63476076644	10838.2106698099
Faecalimonas umbilicata	3845.82659320121	2824.88938104413	2597.27003147323	3369.28268575997	6804.6185908942	3754.67842968388	2775.83458401139	7902.9342546298	6309.57959574403
Fusobacterium varium	1818.06820696293	1150.40183882316	1488.83140685578	550.602393171828	1055.23044220047	813.758399732174	319.074888774545	834.816173604049	890.580444171611
Lachnospira eligens	1794.94323254786	1210.9332135733	1407.59593813065	1529.31785918627	2652.36938276644	1842.40417412667	1176.3512286591	2934.11755125923	2823.67176790291
Lachnospiraceae bacterium GAM79	828.026208849718	537.748418340609	693.321956652228	757.628457406789	1331.31110847082	1008.22207214977	567.313782413301	1533.97263117288	1625.17949419752
Lactobacillus agilis	1511.53684336751	1150.9998026575	1039.00003556382	1180	2338.99996694877	1190.00000000003	937.000019418738	2780.87835819596	2128
Lactobacillus animalis	3780.22229065943	2732.83560827067	2453.99996457938	3101.00070684145	6444.99997506865	3432.00000000124	2543	7426.83953880206	5461.99999258078
Lactobacillus gallinarum	945.595503618357	678.882884120088	617.506429269277	761.451637615895	1545.76738573589	826.573940997817	598.475317864605	1926.74061863735	1455.62450605583
Lactobacillus salivarius	817.9677334165	639	528.999746662003	607.999293158555	1315	673.999999999968	475.999980581261	1663.12164714925	1120.00000741922
Megamonas funiformis	4538.89707575441	2837.33033235603	3413.51190131881	4007.04869218281	6426.14154804778	4978.48507543618	2976.64577583073	7570.76902175169	8764.04808168241
Megamonas rupellensis	2044.17250108518	1213.48650937575	2049.83051199683	1155.88978067519	2220.81633751612	1921.50197515875	1147.35422380922	2535.230666206	3092.25298017904
Peptacetobacter hiranonis	33266.896920018	22142.1775369065	26422.3345452234	28327.7714611811	51207.2039907303	35479.9473991257	21901.164385104	57648.4795787211	57499.2543318617
Peptococcus niger	585	409	490	1047	1853	1232	826.861755283883	2173.67358152621	2059.00000000912
Phascolarctobacterium succinatutens	3857.65983574898	2387.10950923249	3334.00002547491	2930	4862.99999735816	3963.00000000023	2398	6035.99999999967	7074.03995908871
Romboutsia timonensis	1284.7303697162	843.535426496104	875.460368740343	1100.76787641415	2034.93020611514	1103.68172771587	874.967657131256	2315.45014643402	1979.48289691375
Streptococcus alactolyticus	30883.1049461985	22717.5063430988	19838.2919074007	24163.9110443693	49003.4301139135	24190.2432043798	18964.0146586585	58365.871193303	42419.5718588431
Streptococcus lutetiensis	695.749269733674	629.940338084217	571.1855429189	717.010281908509	1444.52457742871	733.342605701723	489.278469316154	1848.95879855867	1349.43636466603
