species	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Abyssivirga alkaniphila	0.000131179714242739	0.000113583553636741	0.000152361832745532	8.30423572061153e-05	0.000103188769025239	9.74769403474356e-05	0.00016241575758832	0	0.000104059607586152
Acetivibrio ethanolgignens	0.00017599478733298	0.000171898925671079	0.000148384485919372	0.000165899018774035	0.000149204477284301	9.0049937292935e-05	0.000178819964040958	0.000377198729784622	0.000266164850639471
Acholeplasma axanthum	0.000318710576509346	0.000303631686852892	0.000243281255939508	0.000553563633484013	0.000441755221386065	0.000405327190741323	0.000539353409283069	0.000584507819309047	0.000272523025287448
Acholeplasmatales bacterium	0	0	0	0	0	0	0	0	0
Adlercreutzia equolifaciens	0.000419421073717949	0.000356827705260315	0.000243281255939484	0.000109637563515992	0.000117139743978502	9.6051972849309e-05	0.000427350427350427	0.000488867633774377	0.000293525238109698
Agathobaculum butyriciproducens	0.00453978188071962	0.00492444258502295	0.00517834210065551	0.00488161494560394	0.00533443373422723	0.00506167908710152	0.00485998188888102	0.00448266133079737	0.00448152582952971
Agathobaculum desmolans	0	0	0	6.11816289176838e-05	3.35436807543576e-05	6.25213785609512e-05	0	0	0
Akkermansia muciniphila	0.0024101061698718	0.00241099800851564	0.00253164556962025	0.000666259039827953	0.000686982784274741	0.000681095807481179	0.00218762718762719	0.0018385674052819	0.00165993582931001
Alistipes communis	0.000112680288461538	0.000115727904408751	0.000144448245714069	8.4336587319994e-05	6.96480242121858e-05	5.23919851905322e-05	0.000152625152625153	0.000191296030607365	0.00014170183908744
Alistipes finegoldii	9.39002403846154e-05	4.82199601703129e-05	0	0	3.7989831388465e-05	2.91067049988332e-05	0.000132275132275132	0	0
Alistipes ihumii	0	8.19739322895319e-05	0.000114038088721633	0	0	0	0	0.000127530687071577	0.000101215599348172
Alistipes indistinctus	0	0	0	0	0	0	0	0	0
