family	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Acidaminococcaceae	10011.9994467546	6521.74927457214	6986.18865339145	24223.3761630702	8076.85721427771	14380.9137886463	6540.71450119097	3562.60905414822	11011.4157609675
Bacteroidaceae	17240.7749428037	10520.1309929585	12374.8493450704	24674.8083571071	9268.62916752296	16038.4500724879	14559.5408881804	7584.71257815505	26488.850438664
Barnesiellaceae	2958.62929956716	1856.6008152641	2070.73458848431	3531.96823419867	1278.96064746461	2242.15271970915	2391.49846483157	1275.59175215321	4456.14878567998
Bifidobacteriaceae	7644.09908624568	4573.28517687069	4180.85221434133	84.0268179346275	64.0059774122738	58.5461413350138	6172.0402218489	3201.19480774869	8285.03305481332
Clostridiaceae	3794.08176301512	2517.07290610494	2390.96588398734	9327.13785804033	3469.43798462201	5231.45536867658	2949.02560607979	1726.81766930853	4475.90376998777
Clostridiales Family XIII. Incertae Sedis	550.363753807064	510.715284423239	455.391402006669	1051.50537506913	583.89558726222	657.116349237004	382.942167713434	290.407554439794	608.209105094177
Coriobacteriaceae	1496.84106936806	1379.19011041237	652.549460789719	355.097370456036	134.357435246939	170.087439674881	903.079767360531	574.720806490247	1404.69401512127
Eggerthellaceae	402.710165323472	373.323153893959	277.498949889652	406.121277983812	198.893601259883	276.085190381134	330.665346801751	250.349789953686	599.931394755293
Eubacteriaceae	2732.99237247538	2039.78464281948	1684.7811978142	7002.66780968537	2660.79271729168	3565.54236627923	1851.79647254868	1177.74662479929	2632.80592375797
Hungateiclostridiaceae	784.999811278538	456.862834487588	514.251907332454	1856.52831526923	656.078402469664	965.801388441197	511.93257152821	285.104445688167	735.398674196049
Lachnospiraceae	254182.571645995	179104.184699535	155051.303104518	554925.972070568	213947.958710412	288876.982620925	172570.571485587	106780.89172403	246645.511386251
Odoribacteraceae	432.313793936501	305.377686161488	350.293482224458	454.124524470536	203.149347747441	341.173262645367	341.306372338915	198.248640566319	647.287460129828
Oscillospiraceae	1584.45783070104	985.975621383086	1078.20212098529	4062.29278145624	1381.13298434708	2448.16207857094	1014.14091038535	543.739748426097	1659.08591155494
Peptostreptococcaceae	361.977300758161	187.160335375448	406.396229843746	535.103255043893	393.410138199134	331.350824269077	288.369536952955	152.496894693655	469.963908580956
Rikenellaceae	4063.32838675797	2626.26444164565	2869.40315487117	4729.91460363252	1844.3822876751	3211.65107350989	3099.77186719186	1639.05567982714	5946.86474436209
Ruminococcaceae	71423.4806588269	48425.1149954921	46192.7746279677	181081.675573779	65326.047860009	101920.299406346	46968.8141577791	27543.3390680232	74417.0041127072
Sutterellaceae	667.382442752911	470.405597398452	552.462863358917	832.228190397386	265.194961345897	494.254091521171	881.788598914122	509.6391820619	1825.88045276527
Thermoactinomycetaceae	340.3461003802	249.909295826629	231.799331963239	795.626126321773	485.711662825397	473.550936741356	259.525029874417	169.17281431208	421.636268271049
unassigned	31461.0908530145	20211.8532138018	23375.3285145177	42952.5732964325	16181.518727772	27793.7770917507	23030.2330835705	12695.811041547	43355.8901451932
Veillonellaceae	444.029490307944	270.252777784016	500.443629664488	646.518768689137	440.802901672272	379.205860252232	371.341826915671	210.262279305088	526.13076154487
