class	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Actinobacteria	7644.09908624568	4573.28517687069	4180.85221434133	84.0268179346275	64.0059774122738	58.5461413350138	6183.1894614744	3201.19480774869	8285.03305481332
Alphaproteobacteria	571.327384664932	452.390064033581	538.451124070829	965.264632398925	421.309731042722	802.412509525019	170.152170051513	96.1205530018515	411.198282787137
Bacilli	1535.50964242251	874.385269186055	1467.29058903135	2614.30691208876	1528.30015812542	1543.28431874315	1243.52596014172	652.549845574426	1715.89105078122
Bacteroidia	51908.0612230206	32739.9564791601	38257.0255312756	65209.8214332848	25014.9391579845	43643.4564824659	40655.1085635742	21888.7561533793	76694.785097984
Betaproteobacteria	667.382442752911	470.405597398452	552.462863358917	832.228190397386	265.194961345897	494.254091521171	881.788598914122	509.6391820619	1825.88045276527
Clostridia	339811.724818858	237111.818609483	210688.500442696	771218.384083799	292268.696285234	410101.59536342	229429.858665123	140085.302355407	336027.969259182
Coriobacteriia	1899.55123469154	1752.51326430633	930.048410679371	761.218648439848	333.251036506823	446.172630056016	1233.74511416228	825.070596443933	2004.62540987656
Deltaproteobacteria	142.081416133866	120.103556782583	183.153449265728	72.0199494674391	19.0139783605979	51.0262319024638	62.0554973129047	65.081624428337	202.097452854019
Erysipelotrichia	123.088871245991	86.0100837197789	65.0545857653529	388.793986992529	174.150961390818	207.119814727181	170.141673568991	92.1159302080059	272.207620335289
Fusobacteriia	57.032681124158	24.0207113565167	42.0352178642654	64.0181362466043	37.0272210180165	33.0169835632908	37.0331193641528	13.0163248856674	47.0226746739548
Gammaproteobacteria	261.991250052006	160.138098206119	334.319737422211	404.06810418274	300.277445396565	234.143646084026	212.182833670816	147.184599855344	335.64481613596
Negativicutes	10554.0550984502	6827.03225641775	7561.69517209927	24995.0090747197	8594.71676509557	14843.7006072867	6974.11183076521	3795.90021594333	11631.5918718603
Tissierellia	0	0	0	13.7595432576518	0	0	0	0	0
unassigned	92.0527498675199	76.9080401010537	56.0113248377341	217.030852765902	93.0684203966109	147.227436819805	37.0331193641528	34.0426958548224	87.0595068770587
Verrucomicrobiae	0	0	10.0083852057775	10.0027428297475	0	12.0061722123444	12.0125244925702	0	10.0048243987138
