species	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Bacillus halotolerans	0.000649137448467777	0.000662971623536663	0.000671413726966974	0.000694435523133522	0.000528666876145012	0.000338084984051528	0.000599375655302794	0.000793443064783925	0.000549301414357442
Bacillus mojavensis	0.000270179561854255	0.000295980266469996	0.000238937869143893	0.000223285961324472	0.000212711803452384	0.0002650181885187	0.000234817521339185	0.000356868610327351	0.000256973939290999
Bacillus subtilis	0.339025387018428	0.377791262974663	0.340363563679244	0.296715101246088	0.335228710213291	0.302220186997958	0.338859803867011	0.339258079858755	0.343917126613972
Bacteroides fragilis	0	0	4.78523016957094e-05	8.36458434986242e-05	0	0	0	0	0.000118273211117686
Blautia faecis	0	0	4.78523016958415e-05	0	0	0	0	0	0
Blautia glucerasea	7.17173406653854e-05	0.000118599340608597	6.5249878737471e-05	0.000167291686997248	0	0	0	0	0.000193505851453844
Blautia sp. SC05B48	8.80021762804778e-05	0.000112393932954769	0.00013050953729164	0	0	0	0.000182373154672012	0	0.000225537940051503
Blautia wexlerae	0.000109076743280102	0.000106178975177195	0.000121805858861806	0.000111527791331499	9.06820686672578e-05	0	0.00013438021923134	0	0.000140065933778261
Enterococcus faecalis	0.147487321498613	0.147569052880032	0.153349226098516	0.124914658914051	0.128949901623634	0.132581340091144	0.13626154230097	0.141218845307828	0.147733992796092
Escherichia coli	0.0302357505653921	0.039986399507625	0.0342817691732349	0.110063265010425	0.107978943182008	0.112048225416093	0.0472069210621271	0.0369284930422433	0.0380558550787468
Faecalibacterium prausnitzii	0.00024152707440594	0.000317339107641753	0.000321915484134772	0.000278819478328747	0.000230192943539962	9.27538621677589e-05	0.000268760438463451	0.000106525343044899	0.000795656147518981
Laceyella sacchari	0.000994133237192596	0.00110826409595583	0.00108755513746544	0.00107322861921528	0.00102540784276025	0.00114911729242042	0.00108464123241455	0.00119175227531496	0.00125799688187924
Limosilactobacillus fermentum	0.123685260271222	0.10340606677995	0.109616572556522	0.103494257631326	0.0870338592860443	0.0887551401098594	0.127123686501739	0.132664469494547	0.113574539003284
Listeria ivanovii	0	0	4.78537320966032e-05	0	0	0	0	6.66322190172592e-05	0
Listeria monocytogenes	0.150093495634857	0.133496220632114	0.14521433054897	0.126870059171528	0.117796795542268	0.119196476708114	0.136098366320474	0.132177923337284	0.134530401591317
Massilia suwonensis	0	0	0	0	0	5.66838155834897e-05	0	0	0
Massilia violaceinigra	0	0	0	0	0	0.000108211939381415	0	0	0
Megamonas funiformis	0	0	5.22025109407739e-05	0	0	0	0	0	0.000118273211117686
Paenibacillus cookii	6.23295675886296e-05	6.61122056354043e-05	6.52531386759673e-05	0	0	0	0	0	0
Peptacetobacter hiranonis	0.000140241527074417	0.000171891734652051	0.00012615606810687	0.000174262173955467	0.000111608699898163	0	0.000191971741759608	9.98675091045927e-05	0.000494597064673961
Phascolarctobacterium succinatutens	0	7.27234261989447e-05	0	0	0	0	0	0	0
Pseudomonas aeruginosa	0.00730814179976682	0.00854830950741028	0.00702558793077915	0.00460052139242433	0.00458293223956834	0.00423575970566099	0.0138699583421317	0.0106543563823006	0.0110424170743513
Roseburia hominis	6.23295675886296e-05	6.61122056354043e-05	8.26539756548842e-05	0	0	0	0	0	0.000236546422235373
Ruminococcus bromii	4.28515777171828e-05	0	5.65527201858383e-05	0	0	0	0	0	0
Salmonella enterica	0.0261390990850307	0.0343651244892831	0.0296901780975651	0.0943143713600062	0.0930493366872554	0.0922127958794727	0.0413315160008436	0.0322388676820736	0.0328154400301071
Shigella dysenteriae	0	0	0	0	0	7.69798531720645e-05	0	0	0
Shigella flexneri	7.7703905360964e-05	0	9.58661903966188e-05	0.000480023942377963	0.000232978628393707	0.000136182725252421	0	9.91030691763515e-05	0
Shigella sonnei	8.81491708937915e-05	0.000130486351347071	9.34226942596682e-05	0.00033953497637737	0.000317179353798934	0.000377873608805443	0.00011411328161632	7.97124509252043e-05	0.000167896332469157
Staphylococcus aureus	0.172804830596454	0.151165558185352	0.176722900375293	0.134976509573161	0.122211560384657	0.146149168822345	0.155909850070065	0.171845351833243	0.172625127681314
Streptococcus alactolyticus	0.000109076743280102	0.000185114175779132	0.000165307951312451	0.00016032120003903	0.00016043750610361	0	0.000191971741759608	7.3236173343368e-05	0.000344067523251451
Veillonella rogosae	0.000214257888585914	0.000257837601978077	0.000217510462253224	0.00026487850441231	0.000258095118514503	0	0.000335950548079314	0.000146472346686736	0.000806408257620589
