family	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Acidaminococcaceae	0	75.0589363422634	55.1128429194043	59.4253052254844	48.054690604319	42.9209215832342	11.8776146306067	42.0851417132501	30.0263885525454	91.1294852273912
Akkermansiaceae	0	0	0	0	0	0	0	12.0180440288106	0	10.0142359259541
Bacillaceae	156.6	192480.976333339	127663.967877295	172265.781316349	95904.9454678636	107493.794886236	130680.333645239	77381.5123005886	113286.970601067	70750.5877198653
Bacteroidaceae	0	120.074425390225	99.0969182680187	166.119097001728	108.217007541487	71.7700826731978	29.3300471846137	91.1810090051597	37.0325390417476	164.233469083876
Barnesiellaceae	0	0	0	10.0071498353371	0	0	0	0	0	0
Bifidobacteriaceae	0	90.6896483538606	51.0578292107297	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	77.1096165435285
Clostridiales Family XIII. Incertae Sedis	0	40.0246911402898	44.0415047842518	53.0378942772731	47.0532515254492	30.0307780313252	0	47.0708963658494	21.0184681047757	60.0855240497813
Coriobacteriaceae	0	10.0081823266592	13.0122899746877	0	0	0	0	0	0	11.0156595185496
Enterobacteriaceae	184.5	31566.0741017259	24955.3977481824	32111.1219073572	65012.9735146832	64239.3943989785	87757.2493115873	20072.8535192244	22936.9537108596	14908.0071663126
Enterococcaceae	89.1	82977.3641825828	49446.2926241706	77098.0121158321	40124.2706190879	41740.7978708423	57307.351630664	31565.353140642	47235.8877817404	30541.9042523142
Eubacteriaceae	0	16.9560574157144	0	11.0078648188708	0	0	0	0	0	11.0156595185495
Fusobacteriaceae	0	38.0234565809862	21.0198091015747	56.2305429701704	22.0249262459253	18.9533061419641	0	25.0377108328986	14.0123121753525	38.0540965186257
Hungateiclostridiaceae	0	0	0	0	0	0	0	0	0	18.028293663194
Lachnospiraceae	0	1514.94211938396	1218.92009281898	1715.97610490864	960.040870389141	840.990631667792	1027.3683631999	949.925471262069	511.602410455457	1703.29573188391
Lactobacillaceae	165.6	70098.3515231528	35362.5776957986	55369.8911110165	33323.9798319355	28107.2430135578	38207.8077211658	28862.4974949045	43844.5809684733	23733.4355335915
Listeriaceae	126.9	84966.5038267718	44986.5315376707	73766.2601608744	41304.9332283489	37731.7517764543	51815.842448585	31204.0052872479	44230.5469162441	27811.8705290196
Oscillospiraceae	0	41.0253927352082	20.0188596383464	25.0181079216406	0	0	0	0	0	31.0441435363872
Oxalobacteraceae	0	0	0	0	0	0	89.0473301578427	0	0	0
Paenibacillaceae	0	31.0191356337246	14.0132060677165	27.0193045554102	0	14.0143630812851	17.0090167294726	0	16.0140709369719	0
Peptostreptococcaceae	0	413.325685136408	379.107613330034	491.452379313223	321.442873022519	268.925481398903	107.455998954177	280.380664880755	160.140736619077	485.885813338663
Pseudomonadaceae	37.8	4287.73257624884	3004.63155018488	3584.89047481007	1548.67204069162	1451.80683789545	1864.42177238433	3200.85137422967	3598.72047216262	2344.91191789731
Ruminococcaceae	0	896.040923447527	680.422356440441	965.444092769664	611.352605378419	495.200155394095	173.544874206737	507.77192422132	286.035209198943	1051.51660083692
Selenomonadaceae	0	70.8587445185622	70.0538510840158	98.0669824068866	65.0735601417514	43.9958065305414	18.0096492048246	55.0605991935327	31.0272624301978	104.148053629923
Staphylococcaceae	139.5	96441.9671990619	50621.9440049887	88990.6535250842	43111.1331817894	38661.8241148863	62600.6243286045	35341.5464153066	56780.9879962255	35131.065980594
Streptococcaceae	0	374.298688858312	259.154317844854	353.350813038251	258.378904998524	218.444292752648	87.0066305599756	230.399805272269	126.042473014849	405.576555063518
Sutterellaceae	0	0	0	0	0	0	0	0	0	11.0156595185496
Thermoactinomycetaceae	0	63.1692547913621	38.8224349670393	54.6279014024501	40.8001192142813	30.1451063152455	33.7949982673234	26.5632859839954	32.9535987397574	36.7068159713526
unassigned	0	99.0493482078041	58.065509808738	94.1642433837879	71.2409976227846	50.1059423282812	0	62.0984145335202	33.0290213075052	72.9761679579894
Veillonellaceae	0	543.405054880826	414.661945548159	547.389036561035	391.463239548485	335.76870511232	125.874519996901	328.606416561398	203.547255244228	620.214417802998
