genus	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Agathobaculum	0	12.0074078183064	0	17.012204156051	12.0135961341411	15.5626775018495	0	0	0	19.0270482593129
Akkermansia	0	0	0	0	0	0	0	12.0180440288106	0	10.0142359259541
Anaerobutyricum	0	45.2358278039454	33.9020300582355	48.0343201086436	19.8062327599511	25.0256483594377	12.0063647496487	29.0439619498313	17.0149503706647	54.0768740001524
Anaerostipes	0	58.1701327267405	43.7299840375915	60.9761687823522	30.0858444122151	26.4155933996746	0	23.2028353746209	17.0152970035626	38.7732047403238
Anaerotignum	0	0	0	15.010724765853	0	0	0	0	0	13.0185067037404
Bacillus	156.6	192480.976333339	127663.967877295	172265.781316349	95904.9454678636	107493.794886236	130680.333645239	77381.5123005886	113286.970601067	70750.5877198653
Bacteroides	0	120.074425390225	99.0969182680187	166.119097001728	108.217007541487	71.7700826731978	29.3300471846137	91.1810090051597	37.0325390417476	164.233469083876
Barnesiella	0	0	0	10.0071498353371	0	0	0	0	0	0
Bifidobacterium	0	90.6896483538606	51.0578292107297	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	77.1096165435285
Blautia	0	821.111732151714	640.462953450178	929.646381910245	550.137667978394	462.534684563259	561.983110579498	492.399594387481	275.048898044957	939.974765516051
Citrobacter	0	0	0	0	11.5832647906974	0	0	0	0	0
Clostridioides	0	69.1108401908195	70.0660299696395	90.0665530809992	66.074787298688	48.9115293704667	22.0590862207648	63.0950312989083	36.0319952515801	100.282072433017
Collinsella	0	10.0081823266592	13.0122899746877	0	0	0	0	0	0	11.0156595185496
Coprococcus	0	0	0	14.1726028903608	0	0	13.5876977635085	0	0	0
Cuneatibacter	0	15.3437616324886	0	21.0347208911188	0	0	0	0	0	17.0224805861563
Dorea	0	42.0476226084395	39.2808743032777	40.0282478843777	36.0408236433402	33.2316580026111	13.0074097901645	29.0083671554075	16.014070893618	49.0697266462825
Dysosmobacter	0	17.359161234674	20.0188596383464	25.0181079216406	0	0	0	0	0	31.0441435363872
Emergencia	0	19.0072860657515	24.0226389731212	27.8671360505672	25.0288675772641	16.016464983103	0	24.0362024069055	0	35.0498256813332
Enterocloster	0	27.0131471239994	34.1251477485782	31.0446489832331	0	23.6180866956161	25.0171137396912	30.7180493939686	0	43.0386586601089
Enterococcus	89.1	82977.3641825828	49446.2926241706	77098.0121158321	40124.2706190879	41740.7978708423	57307.351630664	31565.353140642	47235.8877817404	30541.9042523142
Escherichia	90.9	16734.009355896	13205.7869074913	16969.288426763	34498.5978726283	34006.8865201584	47575.8677152782	10580.2396027269	12040.0681235505	7986.66644107905
Eubacterium	0	16.9560574157144	0	11.0078648188708	0	0	0	0	0	11.0156595185495
Faecalibacterium	0	681.544233485515	531.180878221522	762.34481873485	458.666523999408	381.555974329975	150.437228290076	385.097868391706	240.03018294746	755.080535867679
Faecalimonas	0	38.4701981249518	20.0294561778374	43.7375211830578	28.4233924429397	21.5053100714815	42.2095418041986	31.5534388780233	0	34.9225789463172
Fournierella	0	0	0	0	0	0	0	0	0	14.0199303513263
Frisingicoccus	0	17.0014700641727	10.3353790392355	11.0078839075878	0	0	0	0	0	12.1122516766031
Fusicatenibacter	0	59.6821687983149	50.0532508233334	60.6714793309165	43.560313384932	37.0152579675011	19.0797160418171	33.9533992600304	23.0230181687866	54.064325249877
Fusobacterium	0	38.0234565809862	21.0198091015747	56.2305429701704	22.0249262459253	18.9533061419641	0	25.0377108328986	14.0123121753525	38.0540965186257
Gemmiger	0	30.6709076351973	27.0196691137882	21.9371086739231	23.0540713415757	0	0	25.0380996697235	0	25.7108672224177
Hungateiclostridium	0	0	0	0	0	0	0	0	0	18.028293663194
Laceyella	0	63.1692547913621	38.8224349670393	54.6279014024501	40.8001192142813	30.1451063152455	33.7949982673234	26.5632859839954	32.9535987397574	36.7068159713526
Lachnoclostridium	0	0	0	0	0	0	32.4678992200994	0	0	0
Lachnospira	0	43.3570255371402	42.2015479015281	43.3385369708789	24.0226081228826	23.0001204477065	20.342552351327	36.0883296564241	16.0140706815207	47.4085208132904
Lactobacillus	0	92.1075179652527	68.4783944284424	88.5155642584071	31.0351530968997	17.0174408844176	12.006365225508	39.0588789141471	10.0118025389669	123.190369949996
Limosilactobacillus	165.6	70006.2440051875	35294.0993013701	55281.3755467581	33292.9446788386	28090.2255726734	38195.8013559403	28823.4386159903	43834.5691659344	23610.2451636415
Listeria	126.9	84966.5038267718	44986.5315376707	73766.2601608744	41304.9332283489	37731.7517764543	51815.842448585	31204.0052872479	44230.5469162441	27811.8705290196
Massilia	0	0	0	0	0	0	89.0473301578427	0	0	0
Mediterraneibacter	0	113.290367908683	96.8213497310097	121.196132138055	79.1897602515908	79.7673068340561	104.402284464957	82.5880896867693	45.7135649986238	115.194242255638
Megamonas	0	70.8587445185622	70.0538510840158	98.0669824068866	65.0735601417514	43.9958065305414	18.0096492048246	55.0605991935327	31.0272624301978	104.148053629923
Merdimonas	0	0	0	0	0	0	11.0058347249516	0	0	0
missing	0	132.468368679227	111.306515187778	152.892429724194	113.131950846156	85.5271974196592	112.198019867793	100.253969917076	77.9266076755769	171.115138552185
Monoglobus	0	22.0135801278595	22.0202641005688	34.1231689185078	22.2069374802458	13.0133371469076	0	17.0256433667618	0	14.8935995874554
Negativibacillus	0	11.0067165203096	0	0	0	0	0	0	0	11.0156595185496
Oscillibacter	0	23.6662315005342	0	0	0	0	0	0	0	0
Paenibacillus	0	31.0191356337246	14.0132060677165	27.0193045554102	0	14.0143630812851	17.0090167294726	0	16.0140709369719	0
Peptacetobacter	0	325.20281156781	296.029320583229	382.328216103389	255.368085723831	220.013952028436	85.3969127334125	207.270549248687	124.108741367497	367.578116238904
Phascolarctobacterium	0	75.0589363422634	55.1128429194043	59.4253052254844	48.054690604319	42.9209215832342	11.8776146306067	42.0851417132501	30.0263885525454	91.1294852273912
Phocaeicola	0	77.0357680799446	36.0452457081693	60.0410744652801	49.0340601425388	37.0926051813736	0	45.0727711667584	33.0290213075052	58.082568370534
Prevotella	0	82.050635207755	70.0661469558169	67.992509760313	52.063230547273	54.0743351574155	0	43.1073146642182	20.0175886712149	86.1224289628906
Pseudomonas	37.8	4287.73257624884	3004.63155018488	3584.89047481007	1548.67204069162	1451.80683789545	1864.42177238433	3200.85137422967	3598.72047216262	2344.91191789731
Romboutsia	0	19.0120333777777	13.0122627771653	19.0576101288343	0	0	0	10.0150843331595	0	18.0256246667425
Roseburia	0	144.349152419194	136.21736818581	178.137866030396	85.6984353130445	63.3882537600349	48.0008336476411	109.187869703475	62.8321357164134	188.111875895654
Ruminococcus	0	103.131059489379	79.1681986401696	98.1437622563154	76.5998455734556	51.023456252554	23.107645916661	72.5982160177959	28.0232912579923	141.200726128259
Salmonella	93.6	14631.2324501131	11564.9407221662	14941.4331938893	30109.2295346228	29914.083211101	39783.0943696183	9392.18371344579	10760.1576303998	6854.76397108336
Shigella	0	200.832295716788	184.670118524834	200.400286704856	393.562842641468	318.424667719053	398.287226690846	100.430203051671	136.727956909371	66.576754150213
Staphylococcus	139.5	96441.9671990619	50621.9440049887	88990.6535250842	43111.1331817894	38661.8241148863	62600.6243286045	35341.5464153066	56780.9879962255	35131.065980594
Streptococcus	0	374.298688858312	259.154317844854	353.350813038251	258.378904998524	218.444292752648	87.0066305599756	230.399805272269	126.042473014849	405.576555063518
Subdoligranulum	0	19.6559320213315	12.0176073877821	19.9706262710011	12.9867935117201	21.0338745046927	0	0	0	22.358880275845
Sutterella	0	0	0	0	0	0	0	0	0	11.0156595185496
Tyzzerella	0	16.4432153569781	11.5091050628912	16.2527703116042	0	0	12.0599844546031	0	0	13.5312332235058
Veillonella	0	543.405054880826	414.661945548159	547.389036561035	391.463239548485	335.76870511232	125.874519996901	328.606416561398	203.547255244228	620.214417802998
