class	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Actinobacteria	0	90.6896483538606	51.0578292107297	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	77.1096165435285
Bacilli	677.7	527433.650144191	308393.303698804	467925.596248152	254068.441353238	253998.015424126	340749.770419815	204611.877729946	305553.984406442	188411.14738642
Bacteroidia	0	197.110193470169	135.142163976188	236.167321302345	157.251067684026	108.862687854571	29.3300471846137	136.253780171918	70.0615603492527	222.31603745441
Betaproteobacteria	0	0	0	0	0	0	89.0473301578427	0	0	11.0156595185496
Clostridia	0	2944.32844938697	2364.53069111262	3296.05961292782	1962.09653779577	1648.16038363902	1308.36923636081	1802.17460009676	978.796824378254	3375.76536641486
Coriobacteriia	0	10.0081823266592	13.0122899746877	0	0	0	0	0	0	11.0156595185496
Fusobacteriia	0	38.0234565809862	21.0198091015747	56.2305429701704	22.0249262459253	18.9533061419641	0	25.0377108328986	14.0123121753525	38.0540965186257
Gammaproteobacteria	222.3	35853.8066779748	27960.0292983672	35696.0123821673	66561.6455553748	65691.201236874	89621.6710839716	23273.7048934541	26535.6741830222	17252.9190842099
Negativicutes	0	689.322735741651	539.828639551579	704.881324193406	504.591490294556	422.685433226095	155.761783832332	425.752157468181	264.600906226971	815.491956660312
Verrucomicrobiae	0	0	0	0	0	0	0	12.0180440288106	0	10.0142359259541
