species	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Agathobaculum butyriciproducens	3.69925479756599e-05	2.62195934118675e-05	0	0	0	0	7.37378839439435e-05	0	0
Akkermansia muciniphila	0.00727352262089524	0.00720113151309142	0.00747432215890355	0.0021194609892994	0.00221092920732231	0.00227991737916475	0.00604650648340338	0.00556985303831787	0.00615458215775794
Anaerobutyricum hallii	0.000103408883232706	5.89315900941026e-05	0	7.64741952959226e-05	2.90234295135342e-05	0.000129379769550449	0.000168290788117348	7.39830841365983e-05	0.00010508709345627
Anaerostipes hadrus	0.000100567590522701	6.86626439635163e-05	0	4.48147223125934e-05	4.97346049379198e-05	0.000108098092609881	0.000155183499836977	0	0.00015561945998771
Anaerotignum lactatifermentans	0	0	0	0	0	0	5.16177002725715e-05	0	0
Bacillus subtilis	0.000754846488038291	0.00037196410512431	0.000345071629916246	0.0003111572161428	0.000307582096000391	0.000696125111929582	0.00133600390385112	0.000380483805688234	0.00090025244377848
Bacteroides fragilis	0.077039763512602	0.07795648574262	0.0827135012265593	0.0389080126895084	0.0381440516874582	0.0418322428372145	0.0851600483966002	0.0868989981302489	0.0932708770195453
Bacteroides ovatus	0	0	0	5.8967934099593e-05	0	0	0	0	0
Bacteroides uniformis	7.12972759616939e-05	2.2111933931973e-05	0	9.19879440631122e-05	0	0	7.00510617728759e-05	0	6.25541301400278e-05
Barnesiella intestinihominis	2.1991651968912e-05	0	0	2.35864076250135e-05	0	0	0	0	0
Bifidobacterium adolescentis	0.0713773311179538	0.0772038176991431	0.0713507344519313	8.24676685935817e-05	8.59052148986826e-05	0.000156875161268276	0.0876415638304735	0.102843192324122	0.0825475260089449
Bifidobacterium faecale	0.000187230835939276	0.000180324572344275	0.00018011308038226	0	0	0	0.000280239315491024	0.000153578140644949	0.000238645439517744
Bifidobacterium ruminantium	0.000216843788345817	0.000208362828051866	0	0	0	0	0.000205428494355144	0.000216398553874516	0.000199283118136439
Blautia caecimuris	2.40765134603156e-05	0	0	0	0	0	5.52950030972814e-05	0	0
Blautia faecis	0.000175927704601906	9.46624094533784e-05	0	0.000115494266139465	7.42947020519062e-05	0.000224984875090932	0.000394411148799962	6.34549907734233e-05	0.000246793472104675
Blautia glucerasea	0.000256318760089142	0.000124988470888602	0	0.000148742483533649	0.000129913971279875	0.000247401606849088	0.000453367381928884	0.000131551431713157	0.000350147897645569
Blautia hansenii	6.44781102241897e-05	3.01622592655366e-05	0	3.5381692332825e-05	2.70907533510883e-05	5.2313811667538e-05	0.000103241609204646	0	5.22304830731557e-05
Blautia hominis	0	0	0	0	0	0	5.74714571582127e-05	0	0
Blautia luti	9.85598734021607e-05	9.2105601384121e-05	0	6.40738768747852e-05	4.1681576240841e-05	0.000119524205093804	0.000244614346858075	0	0.000125826537424868
Blautia obeum	3.88220936522474e-05	2.22850392099611e-05	0	2.60718670200487e-05	0	0	7.84265657656451e-05	0	6.2363088313467e-05
Blautia producta	0.000109345620835484	8.27916534649892e-05	0	6.4562781959475e-05	4.70150078785318e-05	0.000120967664794407	0.000238875900066788	0	0.000155986352245381
