genus	Zymo_6331_ONT	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Agathobaculum	0	16.8333846490802	12.0091506136906	0	0	0	0	20.0250695865362	0	0
Akkermansia	0	3309.80185825201	3298.27665788922	433.914298612987	899.236430696004	978.619173178598	436.736374811766	1642.05570609597	1055.34233458223	1773.38167501259
Anaerobutyricum	0	47.0560045967451	26.9919647580815	0	32.4461656833733	12.8465825587158	24.7837277104074	45.7028946665304	14.0178708836978	30.2798014615463
Anaerostipes	0	45.7630800563859	31.4490015134582	0	19.0138111238981	22.0139287144601	20.7070525984593	42.1433355109577	0	44.8402006088574
Anaerotignum	0	0	0	0	0	0	0	14.0178695748986	0	0
Bacillus	0	343.491378115303	170.367743357249	20.0327884031578	132.016539036205	136.144447988452	133.348322433921	362.819892727612	72.0917885989721	259.398793575232
Bacteroides	89.46	35089.2333181963	35715.9132650103	4801.84960020668	16571.7829480175	16883.6253103152	8013.30006689261	23146.0218443318	16465.1007717307	26893.1004939574
Barnesiella	0	10.0072570536362	0	0	10.0071466815104	0	0	0	0	0
Bifidobacterium	79.02	32663.9844950893	35539.0743707018	4152.65182264094	34.989052560211	38.0240534601716	30.0506894927121	23932.7988772743	19556.211986638	23911.4338957184
Blautia	0	869.166742672309	462.295487022706	43.093227675822	479.325472119224	383.702039448246	366.995207288677	978.828404268821	139.208570758825	702.372611743317
Clostridioides	23.58	27878.257018632	26639.9414642214	3475.95729092388	24133.7612503164	23277.9118738035	10927.037152838	14791.9168416783	9653.82803601484	15234.9039404519
Collinsella	0	0	0	0	0	0	0	13.0162952312483	0	0
Coprococcus	0	16.9847123282296	0	0	0	0	0	0	0	0
Cuneatibacter	0	21.0565059551841	0	0	0	0	0	21.0654700195351	0	13.0172909671339
Dorea	0	53.0497233341298	27.0205911473734	0	27.0346300016737	13.0082399756024	16.8559164869574	55.0689413614294	0	35.0470686759183
Dysosmobacter	0	0	0	0	0	0	0	34.0426209483659	0	0
Emergencia	0	36.0285282502515	11.0151775799139	0	18.0128640267187	14.7230450540809	13.0219584338349	38.0396837763886	0	22.4455898870105
Enterocloster	0	31.1598180105901	0	0	0	26.016464863322	0	33.8650459886427	0	28.6622806394036
Enterococcus	0	182.682098909745	76.2079247737134	14.0292406747011	84.4253616423849	76.054019367176	82.4074599830083	205.341031758873	36.0473305212714	134.187580928096
Escherichia	109.08	18753.7596035469	19322.9234723346	2678.48649130461	60917.5272353865	66299.9333932027	28778.0123581221	14489.9190048905	10164.2071602331	17493.3905831743
Eubacterium	0	10.0072570536362	0	0	0	0	0	14.164047786828	0	0
Faecalibacterium	158.67	102088.598399436	100090.956199036	12613.5635205805	97624.1374129547	98672.1255528279	41791.1203355379	55387.1273033929	37507.6697448985	56592.3986358299
Faecalicatena	0	19.841827014589	0	0	0	0	0	0	0	0
Faecalimonas	0	36.5728140851408	23.1938745277991	0	20.7919920957778	0	24.1128340588177	41.8583993387774	0	25.4061992087017
Fournierella	0	13.4460441051929	0	0	0	0	0	0	0	0
Frisingicoccus	0	16.0218417899171	0	0	0	0	0	14.0519060043013	0	0
Fusicatenibacter	0	41.8580569468339	38.5436722794893	0	26.3928872014606	20.6055988654918	21.0354726648038	74.0920461401069	0	39.1557796978844
Fusobacterium	67.41	6023.78396344773	5949.55350358001	875.82545354116	11176.7161834838	10521.7049171397	5078.39783767941	6365.93533668075	4470.07891711195	7099.28705523668
Gemmiger	0	33.816072816204	30.0240974807892	0	19.0757114859708	24.1387894439586	20.0338234985337	28.6199424976921	0	27.0762128587818
