sample	source	primer	n_reads	total_bases	mean_len	median_len	n50_len	mean_Q	median_Q
PRMT_CO1_canis_ONT	canis	ONT	367092	461185684	1256.32180488815	1185	1586	33.7517447231212	34.7678
PRMT_CO2_canis_ONT	canis	ONT	258773	324620172	1254.45920555854	1175	1586	33.8463063870651	34.8805
PRMT_CO3_canis_ONT	canis	ONT	272227	341128966	1253.10482060927	1173	1582	33.590073366345	34.5839
PRMT_CP1_canis_PB	canis	PB	300312	373270355	1242.94185713525	1184	1587	33.9167636511362	34.9182
PRMT_CP2_canis_PB	canis	PB	573305	713379981	1244.32890171898	1185	1587	33.8841628182207	34.889
PRMT_CP3_canis_PB	canis	PB	353477	438753176	1241.24957493698	1180	1585	33.7894665839644	34.7933
PRMT_FM1_FR_MONT	FR	MONT	352992	439999929	1246.48697137612	1194	1594	33.8303816313118	34.8562
PRMT_FM2_FR_MONT	FR	MONT	452286	566005228	1251.432120384	1214	1594	33.8681446892011	34.8966
PRMT_FM3_FR_MONT	FR	MONT	289757	361718753	1248.35207777552	1202	1594	33.7895364560649	34.8087
PRMT_FO1_FR_ONT	FR	ONT	523840	657685086	1255.50757101405	1207	1593	33.6698425297801	34.6784
PRMT_FO2_FR_ONT	FR	ONT	700037	883251669	1261.72140758274	1214	1593	33.8446080990005	34.8877
PRMT_FO3_FR_ONT	FR	ONT	755429	949024627	1256.27243195588	1211	1593	33.7299275487174	34.7585
PRMT_FP1_FR_PB	FR	PB	218212	271685170	1245.05146371419	1191	1592	33.8375739139002	34.859
PRMT_FP2_FR_PB	FR	PB	210590	261601086	1242.22938411131	1182	1589	33.7564588978584	34.7704
PRMT_FP3_FR_PB	FR	PB	219522	273401901	1245.44191926094	1191	1592	33.8382158804129	34.8586
PRMT_GM1_GMS_MONT	GMS	MONT	455374	571034237	1253.98954924963	1191	1593	33.9546239207772	35.00975
PRMT_GM2_GMS_MONT	GMS	MONT	458325	575087288	1254.75871488573	1207	1592	33.764726489718	34.8054
PRMT_GM3_GMS_MONT	GMS	MONT	58120	70580155	1214.38669993118	1107	1561	33.8549496214728	34.9071
PRMT_GO1_GMS_ONT	GMS	ONT	424379	534525845	1259.54829291742	1186	1592	33.8767493002717	34.9317
PRMT_GO2_GMS_ONT	GMS	ONT	442719	557330002	1258.87979056693	1195	1593	33.704658549554	34.7458
PRMT_GO3_GMS_ONT	GMS	ONT	191637	241838063	1261.9591362837	1163	1590	33.8099549914682	34.8464
PRMT_GP1_GMS_PB	GMS	PB	271918	338570723	1245.12067240859	1170	1592	33.8912536062342	34.929
PRMT_GP2_GMS_PB	GMS	PB	189653	235714377	1242.87186071404	1171	1590	33.78119698502	34.806
PRMT_GP3_GMS_PB	GMS	PB	288406	360591839	1250.29243150281	1190	1592	33.7825368962504	34.8175
PRMT_LM1_canis_MONT	canis	MONT	246077	305900417	1243.10852700578	1169	1584	33.8535933581765	34.864
PRMT_LM2_canis_MONT	canis	MONT	673209	838861696	1246.06429206977	1189	1588	33.6751891133363	34.6521
PRMT_LM3_canis_MONT	canis	MONT	595099	741270380	1245.62531612387	1188	1587	33.8598294774483	34.8635
PRMT_MM1_MCS_MONT	MCS	MONT	567673	713997528	1257.76200030651	1188	1625	34.0506831383561	35.0915
PRMT_MM2_MCS_MONT	MCS	MONT	339721	429960361	1265.62785638804	1189	1625	34.1682461196099	35.2207
PRMT_MM3_MCS_MONT	MCS	MONT	508327	641369670	1261.72654610123	1195	1625	34.1820202279242	35.2303
PRMT_MO1_MCS_ONT	MCS	ONT	323460	408251753	1262.13984109318	1181	1622	34.1155520957769	35.1614
PRMT_MO2_MCS_ONT	MCS	ONT	322123	405950673	1260.23498166849	1181	1622	34.2201702927143	35.2576
PRMT_MO3_MCS_ONT	MCS	ONT	432025	543023579	1256.92628667323	1183	1621	33.9684975300041	34.9871
PRMT_MP1_MCS_PB	MCS	PB	230510	289060511	1254.00421239859	1184	1623	34.2216987553685	35.2715
PRMT_MP2_MCS_PB	MCS	PB	333648	418421393	1254.08032717115	1183	1624	34.1838780343356	35.23905
PRMT_MP3_MCS_PB	MCS	PB	210546	262983050	1249.05270107245	1163	1623	34.0941185251679	35.1308
PRMT_HM1_human_MONT	human	MONT	415725	518822406	1247.99424138553	1194	1598	33.6966989300619	34.7161
PRMT_HM2_human_MONT	human	MONT	285588	356348911	1247.77270403518	1197	1598	33.4060507489811	34.3876
PRMT_HM3_human_MONT	human	MONT	265339	330464238	1245.44163504046	1186	1597	33.4419165795454	34.437
PRMT_HO1_human_ONT	human	ONT	868183	1085944708	1250.82466254235	1204	1597	33.6052895535849	34.6057
PRMT_HO2_human_ONT	human	ONT	329316	415204241	1260.80798078441	1178	1594	33.3694908565026	34.3461
PRMT_HO3_human_ONT	human	ONT	472784	592612176	1253.45226572811	1193	1596	33.7228517333497	34.7361
PRMT_HP1_human_PB	human	PB	287609	357991006	1244.71419879072	1186	1598	33.6691102003067	34.676
PRMT_HP2_human_PB	human	PB	171610	213505468	1244.13185711788	1186	1596	33.4411992057572	34.4211
PRMT_HP3_human_PB	human	PB	439960	548002371	1245.57316801527	1190	1597	33.5736892437949	34.5642
