source	primer	n_samples	mean_reads	sd_reads	mean_total_bases	sd_total_bases	mean_read_length	sd_read_length	mean_max_read_len	mean_min_read_len	mean_Q	sd_Q
canis	ONT	3	299364	59038.6654405399	375644940.666667	74538910.2908542	1254.62861035199	1.61516886134806	35945.3333333333	82.6666666666667	33.7293748255104	0.129572950364552
canis	PB	3	409031.333333333	144727.35565999	508467837.333333	180454259.933317	1242.84011126374	1.54218271432331	88667	79.6666666666667	33.8634643511071	0.0661245471309159
FR	MONT	3	365011.666666667	81928.4642254042	455907970	103068134.228406	1248.75705651188	2.49732467056695	71666.6666666667	83.6666666666667	33.8293542588593	0.0393141857325679
FR	ONT	3	659768.666666667	120931.882613037	829987127.333333	152798938.434607	1257.83380351756	3.38841439183763	87935	78.6666666666667	33.748126059166	0.088792682035987
FR	PB	3	216108	4823.40833850919	268896052.333333	6375671.86145432	1244.24092236214	1.75294851163248	60436.6666666667	82	33.8107495640572	0.0470181917717098
GMS	MONT	3	323939.666666667	230211.31268974	405567226.666667	290114391.99643	1241.04498802218	23.0899577067821	55776.6666666667	91.6666666666667	33.858100010656	0.0949879060445409
GMS	ONT	3	352911.666666667	139968.666069708	444564636.666667	175936224.658511	1260.12907325602	1.61974438172551	61771.3333333333	81.3333333333333	33.797120947098	0.0867602509321962
GMS	PB	3	249992.333333333	52901.7003160894	311625646.333333	66656755.0689333	1246.09498820848	3.80502117815751	17033.6666666667	89	33.8183291625016	0.0631579742456669
human	MONT	3	322217.333333333	81610.4668184991	401878518.333333	102099993.736654	1247.06952682039	1.41414052865337	71778.3333333333	79.3333333333333	33.5148887528628	0.158470170222679
human	ONT	3	556761	279076.178343835	697920375	347549357.790102	1255.02830301829	5.17489912323192	55548.6666666667	75.3333333333333	33.5658773811457	0.179947122299366
human	PB	3	299726.333333333	134584.742635758	373166281.666667	167764004.69951	1244.80640797463	0.725066325194628	27896.6666666667	77.3333333333333	33.5613328832863	0.114456826327185
canis	MONT	3	504795	227434.706384052	628677497.666667	283760108.352857	1244.93271173314	1.59496470491827	33855.6666666667	84.3333333333333	33.796203982987	0.104848325229036
MCS	MONT	3	471907	118259.633332765	595109186.333333	147561181.620208	1261.70546759859	3.93297040431994	73566.3333333333	81	34.13364982863	0.0721805741611042
MCS	ONT	3	359202.666666667	63069.5335826525	452408668.333333	78483248.3313324	1259.7670364783	2.63808963991488	72439	75.6666666666667	34.1014066394984	0.126431267187132
MCS	PB	3	258234.666666667	66068.2863205436	323488318	83241966.8182363	1252.37908021406	2.88098021686671	32424.3333333333	85	34.1665651049573	0.0655284818018353
