species	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
[Eubacterium] brachy	0.0234387552003216	0.024829722778973	0.0250526274222723	0.0266863982371234	0.0261428452937726	0.0264774431153257	0.0237962247970945	0.0250826778439923	0.0257318216704804
[Ruminococcus] gnavus	0.00995240378917551	0.0102104235908679	0.00955933222921976	0.00889471257336186	0.00981336778486616	0.00957561455874193	0.0096048856490056	0.00968913864774001	0.00942328447905672
[Ruminococcus] torques	0.0128652657287458	0.0137880670617728	0.0137927810325603	0.0134093403028553	0.0140388939088988	0.0136326474142433	0.0127709184997281	0.0143880560600838	0.0134718845396002
Blautia glucerasea	0.0880307906438607	0.0938216527150484	0.0841509500377437	0.0874548098298641	0.0907797627682923	0.0807544670158526	0.0864223370832876	0.091317754190987	0.082097277072014
Blautia hansenii	0.0127219464009362	0.013835070547255	0.0114750046988132	0.0125655900265789	0.0140210834381019	0.0121356840568316	0.0136113774461016	0.0139713781510582	0.0122925469778241
Blautia luti	0.00676343581049619	0.00655219725373555	0.00690692686514834	0.01397562570725	0.0134028713369779	0.0125811894607345	0.0136127975156305	0.0133934231039138	0.0128838866798473
Blautia producta	0.033082919258884	0.0341349765868335	0.0307675157403797	0.0306122215698744	0.0317161736452313	0.029436430549696	0.0322605952615903	0.0324501150349792	0.0292220902971865
Blautia sp. N6H1-15	0.0107890480606056	0.0112692050400322	0.0110918569467217	0.0110965315576615	0.011911036581216	0.011598620323614	0.0116488724094209	0.0118174432756488	0.011579216343765
Blautia wexlerae	0.0176012721549566	0.0175153363978609	0.0173123781511302	0.0177430116117219	0.0177502950658263	0.0183143164724218	0.0179531395049871	0.0175891249198341	0.0180267444318532
Clostridium perfringens	0.00441403085041604	0.00485089428725355	0.00433609237600214	0.00481553103552876	0.00508045374802538	0.0046236985686694	0.00497978455979943	0.00505346528817198	0.00472146450438106
Collinsella intestinalis	0.00122788098733481	0.00109711814721061	0.000870666659992477	0.00778830464378333	0.00727139956469941	0.00781672074322142	0.0178647069840341	0.0168740002902032	0.0160412972677014
Enterocloster bolteae	0.00549716266943566	0.0052369606614708	0.00602731605533742	0.00494399249436518	0.00470187156233332	0.00618426949868129	0.00538600349715341	0.00465697084461342	0.00571204570169579
Enterococcus cecorum	0.0135947704226759	0.0142806700979846	0.0116622932355649	0.0126568839343268	0.0132806236256976	0.0109596020850002	0.0114888695602282	0.0128690109116497	0.0104165861556958
Faecalibacterium prausnitzii	0.0398385818620941	0.0342148467736792	0.0427829613874712	0.0350965002085466	0.0319995628520784	0.0412361077692241	0.0359481184839376	0.033608207538602	0.0418757994832335
