species	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
[Eubacterium] eligens	0.0118475985292104	0	0	0	0	0	0	0	0	0
[Eubacterium] rectale	0.0211040547722679	0.047426175246856	0.0484646760398154	0.047094249885353	0.047753274304226	0.0481035460960914	0.0471352771591098	0.0453887198628405	0.0485791583501487	0.0458142505200159
[Eubacterium] siraeum	0.0431272787985323	0.0391497662482413	0.0392924775920518	0.0405320235225186	0.046339722438041	0.0466946930661119	0.0464992393657355	0.0363354367636275	0.0351896698250703	0.0352735316774923
[Ruminococcus] faecis	0	0.029927432981517	0.0302324003662786	0.0304537151450619	0.0196497412141885	0.0191421720879634	0.0191412388299883	0.0312949643617081	0.0324535142763855	0.0333205543806777
Anaerobutyricum hallii	0.00510207264645584	0.0146826792538825	0.0147657948895334	0.0152172519457967	0.0138814569835497	0.0139248837816166	0.0144624436843117	0.0172421582725777	0.017214805452197	0.0179040772750507
Anaerostipes hadrus	0.0103155507454807	0.0269803196054122	0.0267545000858844	0.0269013085501269	0.0270391840308016	0.0265269801873118	0.0272282686203404	0.0265393477797922	0.026795023613138	0.0270943617022604
Bacteroides ovatus	0.0137765468052927	0.00087041765517782	0.000804636095373147	0.000757410648469092	0.000954242719617783	0.000944310893390765	0.000864688995473839	0.00175073069879472	0.00172567608271809	0.00139795393692266
Bacteroides uniformis	0.0238710691328764	0.00342418439607456	0.00328530315558127	0.00323870728244475	0.00168425533718436	0.00173982293559847	0.00162988340278999	0.00384354495017198	0.0037998281840293	0.0031548792252427
Bacteroides vulgatus	0.0719144477423759	0	0	0	0	0	0	0	0	0
Blautia faecis	0	0.0245050329828424	0.0250853571612223	0.0245467498781222	0.0253890156063318	0.0266876671895294	0.0253884741967937	0.0238934202388545	0.0244369026702206	0.0249862508492375
Blautia luti	0	0.0234695334709402	0.0241520714859654	0.0228356831767871	0.0226837041147829	0.0230302005605692	0.023662345316171	0.0226312154175685	0.0242179090409837	0.0235880658089093
Blautia obeum	0.0188857494007129	0.0176625084388452	0.0180987152023026	0.0178184752889472	0.0180697530666654	0.0184829736186557	0.0180594739639239	0.0167390876574663	0.0171089511694094	0.0175998010817741
Blautia sp. SC05B48	0	0.019141962605337	0.0198816130346355	0.0193211112329127	0.0193434115041633	0.0196076283979807	0.0199682362063553	0.0193198340687785	0.0197765945338582	0.0194109007512034
Blautia wexlerae	0.015904539489965	0.0330725356893308	0.0339519179101447	0.0335715884270094	0.0346801020591008	0.0348612674814801	0.034897764379016	0.0324129568025937	0.0334195671354486	0.0333157186338248
Cuneatibacter caecimuris	0	0.0170317199231285	0.0169157338784829	0.0167280286480338	0.00674053030104039	0.00627772081835973	0.00651707623053639	0.0189325904258432	0.020100782325906	0.0205255647359732
Faecalibacterium prausnitzii	0.0628276248684302	0.115139837986336	0.111584478917874	0.116930953945899	0.127061125413823	0.124923376831603	0.126558119496666	0.110410948245947	0.10485017034812	0.109982699070467
Firmicutes bacterium AF25-13AC	0.0133359753755329	0	0	0	0	0	0	0	0	0
Fusicatenibacter saccharivorans	0.0267503801896745	0.0410956101827728	0.0403908143128092	0.0404743588061506	0.041785331012295	0.0410650244980339	0.0415693863472825	0.0386077899905712	0.0397872043932724	0.0387553245789567
Gemmiger formicilis	0.00724283982302278	0.0416016134796544	0.0413956356433324	0.0424672432305861	0.046211172954244	0.0456421935704656	0.0461619012107107	0.0393918925263601	0.0381774897114364	0.0392738505480323
Lachnospira eligens	0	0.0234985819021618	0.0242010477499429	0.024303681605175	0.0260219551284882	0.0264162006284634	0.0259141687286938	0.0274368301529205	0.0290324651733266	0.0276966738233599
Lachnospiraceae bacterium GAM79	0.00468645603807155	0.0160413739045672	0.0159211538484283	0.0157352239822198	0.017950136526789	0.0168350376127689	0.0174963803313906	0.0181928991800059	0.0177819358237048	0.0178961071739941
Monoglobus pectinilyticus	0.00143163433581406	0.0152292196612925	0.0150788988828024	0.0153764564092398	0.0181122419616402	0.0182492861852224	0.0193887964555318	0.014707678242606	0.0144303490313888	0.0151665115388621
Parabacteroides distasonis	0.0120389188264223	0.00160810333767485	0.00158343413055464	0.00152492826792813	0.000841143286615896	0.000816745590773599	0.000771359527484953	0.00172262409409139	0.00196979654187579	0.0016060674682377
Roseburia faecis	0.0117379755638824	0	0	0	0	0	0	0	0	0
Roseburia hominis	0.00522833215936743	0.0468322082673891	0.0463468999310634	0.0468354067692458	0.0446373497336671	0.0442326221473776	0.0443453822511501	0.0466857164538839	0.0480428209669573	0.0461182656533331
Ruminococcus bicirculans	0.0102172168660131	0.0154194184621664	0.0158443415249058	0.0159576749361489	0.0185937102617314	0.0194315346953043	0.0190167766679012	0.0142132054383769	0.014386059379696	0.0145060173372187
Ruminococcus bromii	0.0313031496846632	0.0350964393845485	0.0371528299136783	0.0340518930144003	0.0431337262272811	0.0457832923560874	0.0438107736597442	0.0331473378978358	0.0336032498566152	0.0346455292246081
uncultured Clostridiales bacterium	0.0328262850321873	0	0	0	0	0	0	0	0	0
uncultured Faecalibacterium sp.	0.0181576033627216	0	0	0	0	0	0	0	0	0
uncultured Ruminococcus sp.	0.0173216168466434	0	0	0	0	0	0	0	0	0
unknown_Clostridium	0.0371054427356663	0	0	0	0	0	0	0	0	0
unknown_Ruminococcus	0.0291894168979196	0	0	0	0	0	0	0	0	0
unknown_Subdoligranulum	0.0256012700815755	0	0	0	0	0	0	0	0	0
