statistic	Detection_threshold_percent	Detection_threshold_ratio	level	primer	GS_version	mean	sd
Precision	0.01%	1e-04	Species	MONT	D6300	0.227899877899878	0.0224434339837392
Precision	0.1%	0.001	Species	MONT	D6300	0.686868686868687	0.0349909254054315
Precision	1%	0.01	Species	MONT	D6300	1	0
Precision	0.01%	1e-04	Species	ONT	D6300	0.257170111287758	0.0552420833011007
Precision	0.1%	0.001	Species	ONT	D6300	0.797979797979798	0.177559553850979
Precision	1%	0.01	Species	ONT	D6300	1	0
Precision	0.01%	1e-04	Species	PB	D6300	0.209677419354839	0.108729830194391
Precision	0.1%	0.001	Species	PB	D6300	0.666666666666667	0.133333333333334
Precision	1%	0.01	Species	PB	D6300	1	0
Recall	0.01%	1e-04	Species	MONT	D6300	1	0
Recall	0.1%	0.001	Species	MONT	D6300	1	0
Recall	1%	0.01	Species	MONT	D6300	0.875	0
Recall	0.01%	1e-04	Species	ONT	D6300	1	0
Recall	0.1%	0.001	Species	ONT	D6300	1	0
Recall	1%	0.01	Species	ONT	D6300	0.875	0
Recall	0.01%	1e-04	Species	PB	D6300	1	0
Recall	0.1%	0.001	Species	PB	D6300	1	0
Recall	1%	0.01	Species	PB	D6300	1	0
Precision	0.01%	1e-04	Genus	MONT	D6300	0.264176245210728	0.0131096644528165
Precision	0.1%	0.001	Genus	MONT	D6300	0.751515151515151	0.0419891104865185
Precision	1%	0.01	Genus	MONT	D6300	1	0
Precision	0.01%	1e-04	Genus	ONT	D6300	0.342151675485009	0.0887460008847202
Precision	0.1%	0.001	Genus	ONT	D6300	0.760942760942761	0.114873549557118
Precision	1%	0.01	Genus	ONT	D6300	1	0
Precision	0.01%	1e-04	Genus	PB	D6300	0.280799017641123	0.121589650729152
Precision	0.1%	0.001	Genus	PB	D6300	0.760683760683761	0.208834046544797
Precision	1%	0.01	Genus	PB	D6300	1	0
Recall	0.01%	1e-04	Genus	MONT	D6300	1	0
Recall	0.1%	0.001	Genus	MONT	D6300	1	0
Recall	1%	0.01	Genus	MONT	D6300	0.875	0
Recall	0.01%	1e-04	Genus	ONT	D6300	1	0
Recall	0.1%	0.001	Genus	ONT	D6300	1	0
Recall	1%	0.01	Genus	ONT	D6300	0.875	0
Recall	0.01%	1e-04	Genus	PB	D6300	1	0
Recall	0.1%	0.001	Genus	PB	D6300	1	0
Recall	1%	0.01	Genus	PB	D6300	1	0
Precision	0.01%	1e-04	Species	MONT	D6331	0.511310629514964	0.124840015260201
Precision	0.1%	0.001	Species	MONT	D6331	1	0
Precision	1%	0.01	Species	MONT	D6331	1	0
Precision	0.01%	1e-04	Species	ONT	D6331	0.400893997445722	0.106145021128599
Precision	0.1%	0.001	Species	ONT	D6331	1	0
Precision	1%	0.01	Species	ONT	D6331	1	0
Precision	0.01%	1e-04	Species	PB	D6331	0.361577662934252	0.158972356397625
Precision	0.1%	0.001	Species	PB	D6331	0.900793650793651	0.108021091974732
Precision	1%	0.01	Species	PB	D6331	1	0
Recall	0.01%	1e-04	Species	MONT	D6331	0.844444444444445	0.0384900179459752
Recall	0.1%	0.001	Species	MONT	D6331	0.733333333333333	0
Recall	1%	0.01	Species	MONT	D6331	0.666666666666667	0
Recall	0.01%	1e-04	Species	ONT	D6331	0.822222222222223	0.0384900179459752
Recall	0.1%	0.001	Species	ONT	D6331	0.666666666666667	0
Recall	1%	0.01	Species	ONT	D6331	0.6	0
Recall	0.01%	1e-04	Species	PB	D6331	0.866666666666667	0
Recall	0.1%	0.001	Species	PB	D6331	0.733333333333333	0
Recall	1%	0.01	Species	PB	D6331	0.666666666666667	0
Precision	0.01%	1e-04	Genus	MONT	D6331	0.539940582293524	0.15692457594128
Precision	0.1%	0.001	Genus	MONT	D6331	0.944444444444445	0.0481125224324686
Precision	1%	0.01	Genus	MONT	D6331	1	0
Precision	0.01%	1e-04	Genus	ONT	D6331	0.47979797979798	0.0777515369613162
Precision	0.1%	0.001	Genus	ONT	D6331	0.939393939393939	0.0524863881081479
Precision	1%	0.01	Genus	ONT	D6331	1	0
Precision	0.01%	1e-04	Genus	PB	D6331	0.458152734778122	0.167358892133961
Precision	0.1%	0.001	Genus	PB	D6331	0.85982905982906	0.13385826974668
Precision	1%	0.01	Genus	PB	D6331	1	0
Recall	0.01%	1e-04	Genus	MONT	D6331	0.844444444444445	0.0384900179459752
Recall	0.1%	0.001	Genus	MONT	D6331	0.733333333333333	0
Recall	1%	0.01	Genus	MONT	D6331	0.666666666666667	0
Recall	0.01%	1e-04	Genus	ONT	D6331	0.822222222222223	0.0384900179459752
Recall	0.1%	0.001	Genus	ONT	D6331	0.666666666666667	0
Recall	1%	0.01	Genus	ONT	D6331	0.6	0
Recall	0.01%	1e-04	Genus	PB	D6331	0.866666666666667	0
Recall	0.1%	0.001	Genus	PB	D6331	0.733333333333333	0
Recall	1%	0.01	Genus	PB	D6331	0.666666666666667	0
Precision	0.01%	1e-04	Species	MONT	D6323	0.361092275435591	0.00236964409380673
