genus	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_I_3	Toti_Illumina_V1_V2_EMU_EMUdb_I_4	Toti_Illumina_V1_V2_EMU_EMUdb_MN_1	Toti_Illumina_V1_V2_EMU_EMUdb_MN_2	Toti_Illumina_V1_V2_EMU_EMUdb_MN_3	Toti_Illumina_V1_V2_EMU_EMUdb_MN_4	Toti_Illumina_V1_V2_EMU_EMUdb_Z_1	Toti_Illumina_V1_V2_EMU_EMUdb_Z_2	Toti_Illumina_V1_V2_EMU_EMUdb_Z_3	Toti_Illumina_V1_V2_EMU_EMUdb_Z_4	Toti_Illumina_V1_V3_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_I_3	Toti_Illumina_V1_V3_EMU_EMUdb_I_4	Toti_Illumina_V1_V3_EMU_EMUdb_MN_1	Toti_Illumina_V1_V3_EMU_EMUdb_MN_2	Toti_Illumina_V1_V3_EMU_EMUdb_MN_3	Toti_Illumina_V1_V3_EMU_EMUdb_MN_4	Toti_Illumina_V1_V3_EMU_EMUdb_Q_1	Toti_Illumina_V1_V3_EMU_EMUdb_Q_2	Toti_Illumina_V1_V3_EMU_EMUdb_Q_3	Toti_Illumina_V1_V3_EMU_EMUdb_Q_4	Toti_Illumina_V1_V3_EMU_EMUdb_Z_1	Toti_Illumina_V1_V3_EMU_EMUdb_Z_2	Toti_Illumina_V1_V3_EMU_EMUdb_Z_3	Toti_Illumina_V1_V3_EMU_EMUdb_Z_4	Toti_Illumina_V3_V4_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_I_3	Toti_Illumina_V3_V4_EMU_EMUdb_I_4	Toti_Illumina_V3_V4_EMU_EMUdb_MN_1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_3	Toti_Illumina_V3_V4_EMU_EMUdb_MN_4	Toti_Illumina_V3_V4_EMU_EMUdb_Z_1	Toti_Illumina_V3_V4_EMU_EMUdb_Z_2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_3	Toti_Illumina_V3_V4_EMU_EMUdb_Z_4	Toti_ONT_V1_V9_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_I_3	Toti_ONT_V1_V9_EMU_EMUdb_I_4	Toti_ONT_V1_V9_EMU_EMUdb_MN_1	Toti_ONT_V1_V9_EMU_EMUdb_MN_2	Toti_ONT_V1_V9_EMU_EMUdb_MN_3	Toti_ONT_V1_V9_EMU_EMUdb_MN_4	Toti_ONT_V1_V9_EMU_EMUdb_Q_1	Toti_ONT_V1_V9_EMU_EMUdb_Q_2	Toti_ONT_V1_V9_EMU_EMUdb_Q_3	Toti_ONT_V1_V9_EMU_EMUdb_Q_4	Toti_ONT_V1_V9_EMU_EMUdb_Z_1	Toti_ONT_V1_V9_EMU_EMUdb_Z_2	Toti_ONT_V1_V9_EMU_EMUdb_Z_3	Toti_ONT_V1_V9_EMU_EMUdb_Z_4	Toti_PacBio_V1_V9_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_I_3	Toti_PacBio_V1_V9_EMU_EMUdb_I_4	Toti_PacBio_V1_V9_EMU_EMUdb_MN_1	Toti_PacBio_V1_V9_EMU_EMUdb_MN_2	Toti_PacBio_V1_V9_EMU_EMUdb_MN_3	Toti_PacBio_V1_V9_EMU_EMUdb_MN_4	Toti_PacBio_V1_V9_EMU_EMUdb_Z_1	Toti_PacBio_V1_V9_EMU_EMUdb_Z_2	Toti_PacBio_V1_V9_EMU_EMUdb_Z_3	Toti_PacBio_V1_V9_EMU_EMUdb_Z_4
Allobaculum	1194	618	1031	1125	1210	472	954	734	116	91	166	179	2765	74	2247	2	3336	1415	1	4397	29	28	15	0	30	19	229	0	1184	659	653	794	932	638	588	497	85	100	132	159	674	4366	1075	704	0	749	366	485	0	0	0	0	182	283	632	221	318	207	173	533	60	78	145	379	46	21	24	30
Bacteroides	399	479	471	380	195	359	611	199	960	500	1222	1094	739	0	875	0	388	1168	0	1285	9712	20173	9513	9	727	69	2513	0	357	521	275	246	123	488	389	141	1166	713	806	847	112	1323	426	291	0	537	293	134	0	2	0	0	9885	2042	4651	3288	11	30	13	44	0	23	18	46	975	178	315	190
Bifidobacterium	780	490	915	643	2060	889	1650	1490	871	1605	2204	1868	11	0	18	0	41	18	0	157	0	11	0	0	20	0	10	0	815	524	551	460	1857	1077	1104	1327	730	1553	1534	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	117	363	406	476	531	694	2196	546	621	764	379
Blautia	5381	3530	4809	5203	6638	4277	7005	5281	3256	3959	5043	9048	45882	4195	42024	369	81300	43906	55	132212	865	809	197	0	4213	6671	18489	1745	7551	5025	4224	5333	7290	7419	6464	5071	2818	4826	3752	8112	122120	856812	211008	138475	1424	211037	116700	103526	0	0	0	3	111569	358546	141720	295106	4600	3979	3155	7650	1840	3301	4753	11836	2158	3734	1281	3930
Catenibacterium	5243	2973	3011	4448	5258	2393	4775	3442	1116	647	2497	2162	20877	721	9436	69	25780	11708	8	30229	3829	2820	684	3	900	322	2995	46	4135	2263	1437	2539	3563	2571	2494	1889	786	559	1262	1202	6315	41301	5941	6654	56	6940	3499	3931	1	0	0	0	4789	3074	11986	4315	1671	1193	676	3046	416	469	885	2283	650	211	444	370
Clostridium	145	68	154	137	332	254	417	298	217	362	227	360	1350	63	1249	3	3079	2525	2	5965	1016	927	182	0	287	579	846	12	113	0	62	26	313	527	248	268	198	436	69	302	1519	10275	3593	1626	21	9170	4148	3537	0	0	0	0	7729	15514	3329	7242	82	48	48	92	36	142	153	480	150	139	21	66
Collinsella	2307	1450	2417	1747	3631	1403	2887	2306	1994	1838	3063	3036	22252	1440	24555	104	50913	16537	20	59984	2697	11741	5663	8	4020	2511	14310	322	4063	2912	2855	2877	5990	3649	3388	2932	3034	3735	3360	3689	1205	7421	10872	8708	0	1792	1872	4183	0	0	0	0	13817	6939	23315	15334	1447	1020	1588	2486	892	814	1295	5211	4479	1770	2183	1680
Enterocloster	166	187	173	207	245	245	325	208	705	555	879	943	607	29	317	0	965	793	2	639	161	162	0	0	460	284	191	0	12	0	0	0	0	0	0	0	0	0	0	0	6348	68278	11634	8470	83	16634	8036	5944	0	0	0	0	160354	127709	117330	81084	250	349	183	479	124	301	378	747	3649	1314	1186	1166
Erysipelatoclostridium	1058	533	983	913	880	531	684	709	621	273	525	1208	3262	85	3688	11	3710	2060	0	6479	99	210	97	0	508	129	1090	26	869	393	531	446	703	617	442	424	524	265	309	817	1121	6971	2299	1002	0	1806	618	878	0	0	0	0	3253	1777	2980	3680	239	172	153	374	69	88	114	405	380	112	63	237
Faecalibacterium	978	746	733	897	1183	1539	1829	1138	1817	2200	4096	3801	4077	385	2600	19	5739	8702	10	13238	29994	20694	4938	9	2678	2925	13104	328	1738	1186	806	1308	1598	2833	1925	1310	2751	3397	4299	4078	5704	56161	8404	8503	34	20874	9223	5139	0	1	0	4	93460	110177	142435	115452	290	263	153	509	40	364	265	718	2358	1204	1786	1231
Faecalicatena	81	52	93	91	125	68	102	75	95	103	110	111	3452	310	5056	58	10148	3709	4	9429	345	336	140	0	261	262	3410	202	164	66	77	84	160	118	135	134	21	17	13	62	211	1244	515	282	0	648	391	398	0	0	0	0	1060	572	739	650	163	99	117	270	112	192	226	909	255	91	54	174
