sample,dna.isolation.methods,n_reads,total_bases,mean_len,median_len,n50_len,mean_Q,median_Q
SRTP_A_F1_210317_ZHMW,ZHMW,67692,104691843,1546.59107427761,1572,1572,19.4603492140873,19.623
SRTP_A_F1_210317_ZMB,ZMB,97297,149779311,1539.4031778986,1570,1571,18.2411942752603,18.2927
SRTP_A_F1_210330_ZHMW,ZHMW,123820,191349972,1545.38824099499,1573,1574,18.8551509521887,18.87305
SRTP_A_F1_210330_ZMB,ZMB,53261,81263619,1525.76217119468,1562,1564,18.2712780589925,18.226
SRTP_A_F1_210415_ZHMW,ZHMW,103053,160274220,1555.26010887602,1582,1583,18.9691156210882,19.0467
SRTP_A_F1_210415_ZMB,ZMB,66759,103311661,1547.5315837565,1584,1585,19.9639773169161,20.1607
SRTP_A_F1_210705_ZHMW,ZHMW,40346,62018807,1537.17362315967,1567,1569,18.6915576488376,18.65555
SRTP_A_F1_210705_ZMB,ZMB,99080,153408327,1548.32788655632,1570,1571,19.9354204360113,20.1651
SRTP_A_F1_210903_ZHMW,ZHMW,70212,107377394,1529.33108300575,1577,1579,18.5660736241668,18.57735
SRTP_A_F1_210903_ZMB,ZMB,64480,95746284,1484.89894540943,1562,1565,19.1328661104218,19.17525
SRTP_A_F1_211203_ZHMW,ZHMW,31756,48645978,1531.86730066759,1564,1565,17.011970515808,16.8901
SRTP_A_F1_211203_ZMB,ZMB,55190,82985877,1503.63973545932,1572,1574,19.7232124950172,19.8811
SRTP_A_F2_210316_ZHMW,ZHMW,67907,106148701,1563.14814378488,1587,1589,19.5511618330953,19.7248
SRTP_A_F2_210316_ZMB,ZMB,107528,166064963,1544.38809426382,1574,1576,18.3163893599807,18.3603
SRTP_A_F2_210401_ZHMW,ZHMW,37067,57655678,1555.44495103461,1585,1586,18.7584092049532,18.9293
SRTP_A_F2_210401_ZMB,ZMB,40535,62635173,1545.21211298878,1579,1581,19.3808570667325,19.5237
SRTP_A_F2_210413_ZHMW,ZHMW,65379,101590121,1553.86471191055,1580,1581,18.64294419156,18.5981
SRTP_A_F2_210413_ZMB,ZMB,50853,77850901,1530.90085147386,1573,1574,19.0008715552671,19.0606
SRTP_A_F2_210705_ZHMW,ZHMW,42808,65673000,1534.12913474117,1563,1564,18.8608031559522,18.82635
SRTP_A_F2_210705_ZMB,ZMB,95265,146688497,1539.79422663098,1569,1570,20.0317564656485,20.2656
SRTP_A_F3_210317_ZHMW,ZHMW,61883,97804870,1580.48042273322,1620,1621,19.6720906226266,19.8603
SRTP_A_F3_210317_ZMB,ZMB,94926,150712235,1587.68129911721,1621,1622,18.4393354718412,18.5035
SRTP_A_F3_210401_ZHMW,ZHMW,40409,62651385,1550.43146328788,1573,1574,18.6470266599025,18.8071
SRTP_A_F3_210401_ZMB,ZMB,42105,64488254,1531.60560503503,1571,1573,19.4387051775324,19.6038
SRTP_A_F3_210413_ZHMW,ZHMW,32070,49497164,1543.41016526349,1570,1571,18.0630301683817,18.1371
SRTP_A_F3_210413_ZMB,ZMB,66769,100838366,1510.25724512873,1578,1581,19.0315926657581,19.0846
SRTP_A_F3_210704_ZHMW,ZHMW,132552,199397945,1504.29978423562,1568,1570,18.5503964828897,18.6421
SRTP_A_F3_210704_ZMB,ZMB,116984,179989281,1538.58032722424,1569,1570,19.5914413218902,19.75895
SRTP_A_F3_210803_ZHMW,ZHMW,111529,174775567,1567.08629145783,1586,1589,19.0124064476504,19.0896
SRTP_A_F3_210803_ZMB,ZMB,63691,97746367,1534.69669184029,1574,1576,19.3641840574021,19.4169
SRTP_A_F3_211003_ZHMW,ZHMW,112393,173796769,1546.33090139066,1573,1574,19.552359264367,19.7415
SRTP_A_F3_211003_ZMB,ZMB,60656,92965058,1532.66054471116,1565,1567,19.7660211833949,19.92825
SRTP_A_F3_211203_ZHMW,ZHMW,136981,211848466,1546.55365342639,1567,1569,19.6215482373468,19.8164
SRTP_A_F3_211203_ZMB,ZMB,56908,87735308,1541.70429465102,1576,1577,19.8485589143881,20.02485
SRTP_A_F4_210317_ZHMW,ZHMW,32963,50695567,1537.95367533295,1572,1574,19.2049850165337,19.3626
SRTP_A_F4_210317_ZMB,ZMB,41814,63041892,1507.674271775,1562,1564,18.3232829459033,18.2977
SRTP_A_F4_210330_ZHMW,ZHMW,44552,69146729,1552.04545250494,1575,1576,18.6734523747531,18.83345
SRTP_A_F4_210330_ZMB,ZMB,43774,66123800,1510.57248595056,1562,1564,19.301183001325,19.45425
SRTP_A_F4_210413_ZHMW,ZHMW,163624,253886194,1551.64397643378,1580,1582,18.7374041442576,18.8408
SRTP_A_F4_210413_ZMB,ZMB,63410,97595955,1539.12561110235,1573,1574,19.8008889449614,19.9759
SRTP_A_F4_210704_ZHMW,ZHMW,33949,52844061,1556.57194615453,1583,1584,18.0255755103243,18.1171
SRTP_A_F4_210704_ZMB,ZMB,121264,188063705,1550.86179740071,1574,1575,19.6049103287043,19.7633
SRTP_A_F4_211203_ZHMW,ZHMW,69401,105654487,1522.37701185862,1570,1571,18.5721475425426,18.5695
SRTP_A_F4_211203_ZMB,ZMB,51059,78540507,1538.23041971053,1573,1575,20.0267234199651,20.2385
SRTP_A_M1_210317_ZHMW,ZHMW,60579,93584894,1544.8405222932,1566,1567,19.4781176232688,19.6602
SRTP_A_M1_210317_ZMB,ZMB,103129,158049203,1532.53888818858,1564,1566,18.2345043120752,18.2834
SRTP_A_M1_210412_ZHMW,ZHMW,175244,271392442,1548.65468717902,1576,1577,18.6201145094839,18.7308
