read_id	length	mean_Q
ERR13926705.1	1572	14.5910
ERR13926705.2	1545	14.6699
ERR13926705.3	206	16.1262
ERR13926705.4	1515	14.6865
ERR13926705.5	1535	14.6919
ERR13926705.6	462	13.5411
ERR13926705.7	1604	15.9389
ERR13926705.8	1550	14.0710
ERR13926705.9	1501	13.6742
ERR13926705.10	201	12.1592
ERR13926705.11	1568	14.9745
ERR13926705.12	1630	15.0767
ERR13926705.13	1531	15.3475
ERR13926705.14	1546	16.4243
ERR13926705.15	1574	14.5966
ERR13926705.16	205	14.6098
ERR13926705.17	1645	16.6742
ERR13926705.18	747	14.2878
ERR13926705.19	1562	14.0755
ERR13926705.20	3064	14.7526
ERR13926705.21	1596	14.6761
ERR13926705.22	1580	16.0380
ERR13926705.23	1577	14.7273
ERR13926705.24	1567	15.5648
ERR13926705.25	1048	14.3053
ERR13926705.26	209	12.9282
ERR13926705.27	1545	14.4926
ERR13926705.28	1513	15.0423
ERR13926705.29	1540	15.0896
ERR13926705.30	1508	14.1883
ERR13926705.31	1520	15.9487
ERR13926705.32	1588	14.9887
ERR13926705.33	1581	14.7615
ERR13926705.34	408	12.5123
ERR13926705.35	1567	15.0645
ERR13926705.36	1538	14.7627
ERR13926705.37	1589	14.2555
ERR13926705.38	1588	15.2047
ERR13926705.39	1579	14.8290
ERR13926705.40	1608	15.4565
ERR13926705.41	1551	15.5132
ERR13926705.42	1558	15.0892
ERR13926705.43	1565	14.8058
ERR13926705.44	1185	15.3350
ERR13926705.45	1621	15.0389
ERR13926705.46	1564	14.1809
ERR13926705.47	1637	15.4594
ERR13926705.48	1534	13.8422
ERR13926705.49	1548	14.7403
ERR13926705.50	655	14.4122
ERR13926705.51	1589	15.8225
ERR13926705.52	955	15.7717
ERR13926705.53	1589	15.6539
ERR13926705.54	1467	14.9100
ERR13926705.55	768	14.9727
ERR13926705.56	224	13.7232
ERR13926705.57	395	12.2076
ERR13926705.58	1578	15.8473
ERR13926705.59	216	15.3750
ERR13926705.60	1533	15.6373
ERR13926705.61	1210	14.8686
ERR13926705.62	1513	14.2961
ERR13926705.63	1589	15.2958
ERR13926705.64	1519	14.5741
ERR13926705.65	1094	14.0567
ERR13926705.66	1554	15.0843
ERR13926705.67	1541	14.0019
ERR13926705.68	1603	14.1840
ERR13926705.69	1563	15.2815
ERR13926705.70	1538	14.3433
ERR13926705.71	1555	15.4373
ERR13926705.72	1584	14.3725
ERR13926705.73	209	13.6507
ERR13926705.74	1480	14.6014
ERR13926705.75	834	13.9832
ERR13926705.76	1558	14.6515
ERR13926705.77	184	11.1902
ERR13926705.78	1535	14.4795
ERR13926705.79	1578	14.4670
ERR13926705.80	1545	14.6505
ERR13926705.81	1558	15.5026
ERR13926705.82	1538	14.7276
ERR13926705.83	1575	15.3752
ERR13926705.84	1571	14.9223
ERR13926705.85	1545	16.1540
ERR13926705.86	1576	15.9308
ERR13926705.87	271	13.2435
ERR13926705.88	1600	15.9462
ERR13926705.89	1583	14.5793
ERR13926705.90	1532	16.7030
ERR13926705.91	1553	15.8010
ERR13926705.92	1309	15.6280
ERR13926705.93	1608	15.8172
ERR13926705.94	1563	15.5701
ERR13926705.95	1580	13.9120
ERR13926705.96	1546	14.6792
ERR13926705.97	1608	14.9627
ERR13926705.98	1546	14.1113
ERR13926705.99	1609	14.7458
ERR13926705.100	1594	14.5038
ERR13926705.101	1602	14.7316
ERR13926705.102	1602	15.9782
ERR13926705.103	1568	14.2022
ERR13926705.104	1576	14.4708
ERR13926705.105	1548	15.2933
ERR13926705.106	559	13.4454
ERR13926705.107	1540	16.6857
ERR13926705.108	426	15.2676
ERR13926705.109	1557	14.2749
ERR13926705.110	1561	14.5368
ERR13926705.111	1559	13.8467
ERR13926705.112	1701	16.9518
ERR13926705.113	1557	14.7964
ERR13926705.114	1545	15.7845
ERR13926705.115	1115	13.9220
ERR13926705.116	1582	14.1827
ERR13926705.117	1535	15.2632
ERR13926705.118	1597	16.2949
ERR13926705.119	807	13.8625
ERR13926705.120	1576	15.2030
ERR13926705.121	1527	14.8343
ERR13926705.122	1588	16.1908
ERR13926705.123	1559	16.4606
ERR13926705.124	1596	15.9975
ERR13926705.125	1549	15.2008
ERR13926705.126	1562	14.2350
ERR13926705.127	1561	15.3171
ERR13926705.128	1596	14.5150
ERR13926705.129	1558	14.4012
ERR13926705.130	215	14.7163
ERR13926705.131	1591	15.1307
ERR13926705.132	1570	15.0433
ERR13926705.133	1573	14.0006
ERR13926705.134	1588	14.7128
ERR13926705.135	512	14.8320
ERR13926705.136	1573	14.6904
ERR13926705.137	1592	14.5471
ERR13926705.138	1559	14.1899
ERR13926705.139	270	15.7630
ERR13926705.140	1529	14.7266
ERR13926705.141	1560	15.1122
ERR13926705.142	1559	15.6062
ERR13926705.143	1544	15.8394
ERR13926705.144	1546	15.9709
ERR13926705.145	1587	15.2577
ERR13926705.146	1552	13.1598
ERR13926705.147	1570	16.1732
ERR13926705.148	1577	15.3678
ERR13926705.149	1557	15.1753
ERR13926705.150	1591	14.9862
ERR13926705.151	1570	15.4796
ERR13926705.152	1589	15.4084
ERR13926705.153	1586	15.6110
ERR13926705.154	1558	17.3684
ERR13926705.155	1624	15.9286
ERR13926705.156	1510	17.3490
ERR13926705.157	1556	14.0559
ERR13926705.158	1551	15.0709
ERR13926705.159	1586	14.6866
ERR13926705.160	192	16.5677
ERR13926705.161	1556	16.5733
ERR13926705.162	1509	16.2750
ERR13926705.163	222	12.1667
ERR13926705.164	841	14.6980
ERR13926705.165	1590	16.0673
ERR13926705.166	1550	14.8529
ERR13926705.167	1584	15.6900
ERR13926705.168	1588	14.9717
ERR13926705.169	1596	15.9981
ERR13926705.170	1557	15.8022
ERR13926705.171	1572	15.4593
ERR13926705.172	1549	14.5332
ERR13926705.173	1575	14.8629
ERR13926705.174	1549	15.5836
ERR13926705.175	1553	16.0258
ERR13926705.176	1604	13.8747
ERR13926705.177	207	10.3285
ERR13926705.178	1528	14.8384
ERR13926705.179	1557	16.5145
ERR13926705.180	1534	15.4811
ERR13926705.181	1558	14.4095
ERR13926705.182	207	12.9179
ERR13926705.183	1610	15.8019
ERR13926705.184	1580	15.6418
ERR13926705.185	364	15.5000
ERR13926705.186	1574	14.6671
ERR13926705.187	1539	15.9480
ERR13926705.188	1120	14.3696
ERR13926705.189	1569	15.1166
ERR13926705.190	1576	15.0755
ERR13926705.191	1556	14.6928
ERR13926705.192	1527	14.5102
ERR13926705.193	1585	15.9596
ERR13926705.194	1566	15.0728
ERR13926705.195	1533	15.9680
ERR13926705.196	1531	16.3579
ERR13926705.197	1580	16.1905
ERR13926705.198	1620	14.8105
ERR13926705.199	180	15.6111
ERR13926705.200	1522	14.4895
ERR13926705.201	1518	15.6726
ERR13926705.202	1537	15.0234
ERR13926705.203	1536	16.5273
ERR13926705.204	1504	14.5180
ERR13926705.205	1537	15.3448
ERR13926705.206	1583	14.7770
ERR13926705.207	1574	16.3437
ERR13926705.208	1542	14.2445
ERR13926705.209	1597	15.6512
ERR13926705.210	1561	13.9731
ERR13926705.211	1582	16.5348
ERR13926705.212	1579	14.7536
ERR13926705.213	729	15.6941
ERR13926705.214	1547	14.8843
ERR13926705.215	1578	15.1312
ERR13926705.216	731	14.0834
ERR13926705.217	1577	14.4813
ERR13926705.218	1424	17.0688
ERR13926705.219	1457	15.5367
ERR13926705.220	1569	16.3340
ERR13926705.221	1622	16.1332
ERR13926705.222	1544	15.8251
ERR13926705.223	1561	14.5772
ERR13926705.224	1579	14.9696
ERR13926705.225	1567	16.6981
ERR13926705.226	1553	17.6806
ERR13926705.227	1568	15.2347
ERR13926705.228	1568	15.3584
ERR13926705.229	780	15.1321
ERR13926705.230	1561	17.1986
ERR13926705.231	1574	14.0909
ERR13926705.232	1630	16.2411
ERR13926705.233	811	14.8730
ERR13926705.234	1559	15.1443
ERR13926705.235	1535	15.6287
ERR13926705.236	1567	16.2865
ERR13926705.237	1563	15.5541
ERR13926705.238	171	12.8772
ERR13926705.239	1538	15.2451
ERR13926705.240	1628	15.6370
ERR13926705.241	1600	16.0263
ERR13926705.242	1518	15.5211
ERR13926705.243	1550	14.9374
ERR13926705.244	1553	15.3187
ERR13926705.245	1587	16.5419
ERR13926705.246	1577	13.9480
ERR13926705.247	1514	15.3276
ERR13926705.248	1547	15.0873
ERR13926705.249	1533	14.2120
ERR13926705.250	1530	14.3987
ERR13926705.251	1516	16.2586
ERR13926705.252	1533	14.0535
ERR13926705.253	1575	16.4965
ERR13926705.254	1586	16.0359
ERR13926705.255	1501	14.4544
ERR13926705.256	1531	15.6434
ERR13926705.257	1545	14.8939
ERR13926705.258	3265	16.5084
ERR13926705.259	1588	15.4811
ERR13926705.260	3082	15.1317
ERR13926705.261	1562	15.4545
ERR13926705.262	1540	16.2377
ERR13926705.263	1573	17.5957
ERR13926705.264	1547	15.1713
ERR13926705.265	1578	14.6432
ERR13926705.266	1539	15.4165
ERR13926705.267	1590	15.0604
ERR13926705.268	1496	13.7694
ERR13926705.269	1567	15.2380
ERR13926705.270	1583	14.1693
ERR13926705.271	1615	15.6272
ERR13926705.272	1543	15.5956
ERR13926705.273	190	12.0105
ERR13926705.274	1559	16.7787
ERR13926705.275	1565	14.6166
ERR13926705.276	1532	15.9791
ERR13926705.277	1583	16.0373
ERR13926705.278	1569	15.0758
ERR13926705.279	1589	15.1164
ERR13926705.280	1566	17.0326
ERR13926705.281	1587	14.7687
ERR13926705.282	1584	15.3952
ERR13926705.283	1494	14.1145
ERR13926705.284	1670	15.9509
ERR13926705.285	1548	16.9884
ERR13926705.286	1580	16.3937
ERR13926705.287	1557	15.5453
ERR13926705.288	1583	17.1769
ERR13926705.289	1498	14.8471
ERR13926705.290	1530	15.9320
ERR13926705.291	190	14.8842
ERR13926705.292	1553	14.5216
ERR13926705.293	1571	15.0617
ERR13926705.294	1578	15.8752
ERR13926705.295	1535	14.9870
ERR13926705.296	1586	15.7188
ERR13926705.297	1603	15.0667
ERR13926705.298	1500	14.9560
ERR13926705.299	1563	15.1593
ERR13926705.300	395	13.9570
ERR13926705.301	1563	17.8631
ERR13926705.302	1544	15.1768
ERR13926705.303	1597	15.9173
ERR13926705.304	1533	15.9954
ERR13926705.305	1553	14.8931
ERR13926705.306	1476	15.8367
ERR13926705.307	1572	15.3779
ERR13926705.308	270	13.0333
ERR13926705.309	1595	15.0997
ERR13926705.310	225	12.0489
ERR13926705.311	1551	14.1302
ERR13926705.312	1586	13.4634
ERR13926705.313	1601	16.8282
ERR13926705.314	1540	14.9643
ERR13926705.315	1550	14.9561
ERR13926705.316	1598	14.4725
ERR13926705.317	1582	16.4241
ERR13926705.318	1522	15.0657
ERR13926705.319	1563	15.1094
ERR13926705.320	1563	16.3282
ERR13926705.321	1546	14.2154
ERR13926705.322	1582	16.2118
ERR13926705.323	1552	15.0799
ERR13926705.324	1553	14.5750
ERR13926705.325	1543	16.0052
ERR13926705.326	1491	14.8531
ERR13926705.327	1553	14.8835
ERR13926705.328	1090	14.4009
ERR13926705.329	1548	16.4619
ERR13926705.330	1555	16.3370
ERR13926705.331	1511	14.4130
