run_accession	study_accession	sample_accession	secondary_sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	read_count	experiment_title	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
ERR14250964	PRJEB85420	SAMEA117659010	ERS23137327	ERX13652026	9606	Homo sapiens	OXFORD_NANOPORE	452286	MinION sequencing: Raw reads: BACMIX_PRMT_FM2_FR_MONT_20240807_bc26	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/064/ERR14250964/ERR14250964.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250964/PRMT_FM2_FR_MONT_20240807_bc26_pass.fastq.gz		BACMIX_PRMT_FM2_FR_MONT_20240807_bc26	PRMT_FM2_FR_MONT_20240807_bc26	ftp.sra.ebi.ac.uk/vol1/err/ERR142/064/ERR14250964/ERR14250964.bam
ERR14250965	PRJEB85420	SAMEA117659011	ERS23137328	ERX13652027	9606	Homo sapiens	OXFORD_NANOPORE	289757	MinION sequencing: Raw reads: BACMIX_PRMT_FM3_FR_MONT_20240807_bc27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/065/ERR14250965/ERR14250965.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250965/PRMT_FM3_FR_MONT_20240807_bc27_pass.fastq.gz		BACMIX_PRMT_FM3_FR_MONT_20240807_bc27	PRMT_FM3_FR_MONT_20240807_bc27	ftp.sra.ebi.ac.uk/vol1/err/ERR142/065/ERR14250965/ERR14250965.bam
ERR14250979	PRJEB85420	SAMEA117659001	ERS23137318	ERX13652041	9606	Homo sapiens	OXFORD_NANOPORE	700037	MinION sequencing: Raw reads: BACMIX_PRMT_FO2_FR_ONT_20240807_bc11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/079/ERR14250979/ERR14250979.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250979/PRMT_FO2_FR_ONT_20240807_bc11_pass.fastq.gz		BACMIX_PRMT_FO2_FR_ONT_20240807_bc11	PRMT_FO2_FR_ONT_20240807_bc11	ftp.sra.ebi.ac.uk/vol1/err/ERR142/079/ERR14250979/ERR14250979.bam
ERR14250981	PRJEB85420	SAMEA117659018	ERS23137335	ERX13652043	9606	Homo sapiens	OXFORD_NANOPORE	218212	MinION sequencing: Raw reads: BACMIX_PRMT_FP1_FR_PB_20240807_bc40	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/081/ERR14250981/ERR14250981.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250981/PRMT_FP1_FR_PB_20240807_bc40_pass.fastq.gz		BACMIX_PRMT_FP1_FR_PB_20240807_bc40	PRMT_FP1_FR_PB_20240807_bc40	ftp.sra.ebi.ac.uk/vol1/err/ERR142/081/ERR14250981/ERR14250981.bam
ERR14250982	PRJEB85420	SAMEA117659019	ERS23137336	ERX13652044	9606	Homo sapiens	OXFORD_NANOPORE	210590	MinION sequencing: Raw reads: BACMIX_PRMT_FP2_FR_PB_20240807_bc41	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/082/ERR14250982/ERR14250982.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250982/PRMT_FP2_FR_PB_20240807_bc41_pass.fastq.gz		BACMIX_PRMT_FP2_FR_PB_20240807_bc41	PRMT_FP2_FR_PB_20240807_bc41	ftp.sra.ebi.ac.uk/vol1/err/ERR142/082/ERR14250982/ERR14250982.bam
ERR14250983	PRJEB85420	SAMEA117659020	ERS23137337	ERX13652045	9606	Homo sapiens	OXFORD_NANOPORE	219522	MinION sequencing: Raw reads: BACMIX_PRMT_FP3_FR_PB_20240807_bc42	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/083/ERR14250983/ERR14250983.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250983/PRMT_FP3_FR_PB_20240807_bc42_pass.fastq.gz		BACMIX_PRMT_FP3_FR_PB_20240807_bc42	PRMT_FP3_FR_PB_20240807_bc42	ftp.sra.ebi.ac.uk/vol1/err/ERR142/083/ERR14250983/ERR14250983.bam
ERR14250985	PRJEB85420	SAMEA117659007	ERS23137324	ERX13652047	1306859	mixed culture metagenome	OXFORD_NANOPORE	458325	MinION sequencing: Raw reads: BACMIX_PRMT_GM2_GMS_MONT_20240807_bc23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/085/ERR14250985/ERR14250985.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250985/PRMT_GM2_GMS_MONT_20240807_bc23_pass.fastq.gz		BACMIX_PRMT_GM2_GMS_MONT_20240807_bc23	PRMT_GM2_GMS_MONT_20240807_bc23	ftp.sra.ebi.ac.uk/vol1/err/ERR142/085/ERR14250985/ERR14250985.bam
ERR14250988	PRJEB85420	SAMEA117658998	ERS23137315	ERX13652050	1306859	mixed culture metagenome	OXFORD_NANOPORE	442719	MinION sequencing: Raw reads: BACMIX_PRMT_GO2_GMS_ONT_20240807_bc08	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/088/ERR14250988/ERR14250988.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250988/PRMT_GO2_GMS_ONT_20240807_bc08_pass.fastq.gz		BACMIX_PRMT_GO2_GMS_ONT_20240807_bc08	PRMT_GO2_GMS_ONT_20240807_bc08	ftp.sra.ebi.ac.uk/vol1/err/ERR142/088/ERR14250988/ERR14250988.bam
ERR14251002	PRJEB85420	SAMEA117659003	ERS23137320	ERX13652064	1306859	mixed culture metagenome	OXFORD_NANOPORE	567673	MinION sequencing: Raw reads: BACMIX_PRMT_MM1_MCS_MONT_20240807_bc19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR14251002/ERR14251002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251002/PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq.gz		BACMIX_PRMT_MM1_MCS_MONT_20240807_bc19	PRMT_MM1_MCS_MONT_20240807_bc19	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR14251002/ERR14251002.bam
ERR14251004	PRJEB85420	SAMEA117659005	ERS23137322	ERX13652066	1306859	mixed culture metagenome	OXFORD_NANOPORE	508327	MinION sequencing: Raw reads: BACMIX_PRMT_MM3_MCS_MONT_20240807_bc21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR14251004/ERR14251004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251004/PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq.gz		BACMIX_PRMT_MM3_MCS_MONT_20240807_bc21	PRMT_MM3_MCS_MONT_20240807_bc21	ftp.sra.ebi.ac.uk/vol1/err/ERR142/004/ERR14251004/ERR14251004.bam
ERR14251019	PRJEB85420	SAMEA117659013	ERS23137330	ERX13652081	1306859	mixed culture metagenome	OXFORD_NANOPORE	333648	MinION sequencing: Raw reads: BACMIX_PRMT_MP2_MCS_PB_20240807_bc35	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/019/ERR14251019/ERR14251019.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251019/PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq.gz		BACMIX_PRMT_MP2_MCS_PB_20240807_bc35	PRMT_MP2_MCS_PB_20240807_bc35	ftp.sra.ebi.ac.uk/vol1/err/ERR142/019/ERR14251019/ERR14251019.bam
ERR14251020	PRJEB85420	SAMEA117659014	ERS23137331	ERX13652082	1306859	mixed culture metagenome	OXFORD_NANOPORE	210546	MinION sequencing: Raw reads: BACMIX_PRMT_MP3_MCS_PB_20240807_bc36	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/020/ERR14251020/ERR14251020.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251020/PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq.gz		BACMIX_PRMT_MP3_MCS_PB_20240807_bc36	PRMT_MP3_MCS_PB_20240807_bc36	ftp.sra.ebi.ac.uk/vol1/err/ERR142/020/ERR14251020/ERR14251020.bam
ERR14294149	PRJEB85420	SAMEA117664628	ERS23179863	ERX13695247	9615	Canis lupus familiaris	OXFORD_NANOPORE	367092	MinION sequencing: Raw reads: Canfam_PRMT_CO1_canis_ONT	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/049/ERR14294149/ERR14294149.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294149/PRMT_CO1_canis_ONT_20240807_bc01_pass.fastq.gz		Canfam_PRMT_CO1_canis_ONT	PRMT_CO1_canis_ONT	ftp.sra.ebi.ac.uk/vol1/err/ERR142/049/ERR14294149/ERR14294149.bam
ERR14294152	PRJEB85420	SAMEA117664629	ERS23179864	ERX13695250	9615	Canis lupus familiaris	OXFORD_NANOPORE	258773	MinION sequencing: Raw reads: Canfam_PRMT_CO2_canis_ONT	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/052/ERR14294152/ERR14294152.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294152/PRMT_CO2_canis_ONT_20240807_bc02_pass.fastq.gz		Canfam_PRMT_CO2_canis_ONT	PRMT_CO2_canis_ONT_20240807_bc02	ftp.sra.ebi.ac.uk/vol1/err/ERR142/052/ERR14294152/ERR14294152.bam
ERR14294156	PRJEB85420	SAMEA117664630	ERS23179865	ERX13695254	9615	Canis lupus familiaris	OXFORD_NANOPORE	272227	MinION sequencing: Raw reads: Canfam_PRMT_CO3_canis_ONT	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/056/ERR14294156/ERR14294156.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294156/PRMT_CO3_canis_ONT_20240807_bc03_pass.fastq.gz		Canfam_PRMT_CO3_canis_ONT	PRMT_CO3_canis_ONT_20240807_bc03	ftp.sra.ebi.ac.uk/vol1/err/ERR142/056/ERR14294156/ERR14294156.bam
ERR14294158	PRJEB85420	SAMEA117664634	ERS23179869	ERX13695256	9615	Canis lupus familiaris	OXFORD_NANOPORE	300312	MinION sequencing: Raw reads: Canfam_PRMT_CP1_canis_PB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/058/ERR14294158/ERR14294158.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294158/PRMT_CP1_canis_PB_20240807_bc31_pass.fastq.gz		Canfam_PRMT_CP1_canis_PB	PRMT_CP1_canis_PB_20240807_bc31	ftp.sra.ebi.ac.uk/vol1/err/ERR142/058/ERR14294158/ERR14294158.bam
ERR14294175	PRJEB85420	SAMEA117664635	ERS23179870	ERX13695273	9615	Canis lupus familiaris	OXFORD_NANOPORE	573305	MinION sequencing: Raw reads: Canfam_PRMT_CP2_canis_PB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/075/ERR14294175/ERR14294175.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294175/PRMT_CP2_canis_PB_20240807_bc32_pass.fastq.gz		Canfam_PRMT_CP2_canis_PB	PRMT_CP2_canis_PB_20240807_bc32	ftp.sra.ebi.ac.uk/vol1/err/ERR142/075/ERR14294175/ERR14294175.bam
ERR14294180	PRJEB85420	SAMEA117664636	ERS23179871	ERX13695278	9615	Canis lupus familiaris	OXFORD_NANOPORE	353477	MinION sequencing: Raw reads: Canfam_PRMT_CP3_canis_PB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/080/ERR14294180/ERR14294180.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294180/PRMT_CP3_canis_PB_20240807_bc33_pass.fastq.gz		Canfam_PRMT_CP3_canis_PB	PRMT_CP3_canis_PB_20240807_bc33	ftp.sra.ebi.ac.uk/vol1/err/ERR142/080/ERR14294180/ERR14294180.bam
ERR14294191	PRJEB85420	SAMEA117664632	ERS23179867	ERX13695289	9615	Canis lupus familiaris	OXFORD_NANOPORE	673209	MinION sequencing: Raw reads: Canfam_PRMT_LM2_canis_MONT	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/091/ERR14294191/ERR14294191.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294191/PRMT_LM2_canis_MONT_20240807_bc17_pass.fastq.gz		Canfam_PRMT_LM2_canis_MONT	PRMT_LM2_canis_MONT_20240807_bc17	ftp.sra.ebi.ac.uk/vol1/err/ERR142/091/ERR14294191/ERR14294191.bam
ERR14250966	PRJEB85420	SAMEA117659000	ERS23137317	ERX13652028	9606	Homo sapiens	OXFORD_NANOPORE	523840	MinION sequencing: Raw reads: BACMIX_PRMT_FO1_FR_ONT_20240807_bc10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/066/ERR14250966/ERR14250966.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250966/PRMT_FO1_FR_ONT_20240807_bc10_pass.fastq.gz		BACMIX_PRMT_FO1_FR_ONT_20240807_bc10	PRMT_FO1_FR_ONT_20240807_bc10	ftp.sra.ebi.ac.uk/vol1/err/ERR142/066/ERR14250966/ERR14250966.bam
ERR14250980	PRJEB85420	SAMEA117659002	ERS23137319	ERX13652042	9606	Homo sapiens	OXFORD_NANOPORE	755429	MinION sequencing: Raw reads: BACMIX_PRMT_FO3_FR_ONT_20240807_bc12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/080/ERR14250980/ERR14250980.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250980/PRMT_FO3_FR_ONT_20240807_bc12_pass.fastq.gz		BACMIX_PRMT_FO3_FR_ONT_20240807_bc12	PRMT_FO3_FR_ONT_20240807_bc12	ftp.sra.ebi.ac.uk/vol1/err/ERR142/080/ERR14250980/ERR14250980.bam
ERR14250984	PRJEB85420	SAMEA117659006	ERS23137323	ERX13652046	1306859	mixed culture metagenome	OXFORD_NANOPORE	455374	MinION sequencing: Raw reads: BACMIX_PRMT_GM1_GMS_MONT_20240807_bc22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/084/ERR14250984/ERR14250984.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14250984/PRMT_GM1_GMS_MONT_20240807_bc22_pass.fastq.gz		BACMIX_PRMT_GM1_GMS_MONT_20240807_bc22	PRMT_GM1_GMS_MONT_20240807_bc22	ftp.sra.ebi.ac.uk/vol1/err/ERR142/084/ERR14250984/ERR14250984.bam
