superkingdom	phylum	class	order	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	936700000	936700000	936700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	0	0	0	0	3	2	0	1	1	0	0	0	0	3	2	0	1	1	0	0	0	0.599045558350434	4.34119200435781	5.5790682926138	1.24197416572185	0.589022374434157	2.36186714763773	1.1973887460632
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	7	6	1	1	1	2	1	5	1	7	6	1	1	1	2	1	3	1	7	6	1	1	1	2	1.78892295523074	6.61683300066534	0.599045558350434	8.68238400871563	8.67855067739924	3.72592249716556	0.589022374434157	0.590466786909434	1.79608311909479
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	1927100000	1927100000	1927100000	2120.01906906317	2495.79375977262	1624.74545898782	53.7687155613273	57.1211821821384	64.5047428999611	1585.09458509585	1669.8796480925	1363.33912374926	451	542	351	12	9	13	324	356	289	2115	2477	1615	51	79	81	1579	1661	1351	1044	1160	767	34	49	51	735	799	679	6026.28512852063	7285.13313373254	4737.25227543523	155.662741870545	249.818280213707	270.750368127364	4537.82837264075	4653.46874763324	3872.95389914141
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	0	0	0	17.4053150526143	0	0	0	0	0	0	0	0	0	0	1	4	2	4	0	0	1	0	0	1	4	2	4	0	0	1	0	0	1	4	2	4	0	0	1	5.96307651743581	3.00765136393879	1.7971366750513	6.20170286336831	4.33927533869962	9.31480624291391	1.17804474886831	1.18093357381887	3.59216623818959
Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	0	0	0	1	1	0	3	2	4	0	0	0	1	1	0	3	2	4	0	0	0	1	1	0	9.54092242789729	10.2260146373919	8.38663781690607	0	0	0	5.89022374434157	7.67606822982264	2.99347186515799
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	6	6	3	6	11	10	1	2	1	13	14	11	11	18	14	5	6	9	6	6	3	6	11	10	1	3	1	9.54092242789729	33.6856952761144	6.58950114185477	54.5749851976411	85.5457138200782	77.002398274755	12.3694698631173	7.67606822982264	23.9477749212639
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	0	0	0	0	0	0	20.8050943135612	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	7	3	5	4	5	4	3	3	0	1	0	0	0	0	0	0	0	54.8603039604094	61.9576180971391	37.1408246177269	23.5664708807996	24.1759626013265	20.4925737344106	35.9303648404836	28.3424057716528	22.1516918021691
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	255100000	255100000	255100000	1294.04699403583	1734.06555832523	701.942456285146	158.492512204235	194.914446562891	179.42318000581	508.929458137138	554.071667267922	488.061991989669	1043	1372	574	139	173	155	422	450	400	1295	1735	716	169	204	185	527	561	493	1240	1651	677	163	198	178	504	537	462	1292.79498898008	1778.7250166334	730.236535629179	171.166999028965	197.746976149311	190.022047355444	508.915331511112	560.352980777052	474.764637814057
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	1.114e+09	1.114e+09	1.114e+09	411.481081433515	578.912681467318	326.598563892481	331.145627168745	409.773761662368	391.627213240645	323.687122863579	345.238437051619	276.728522808558	291	388	230	223	255	231	232	237	202	359	487	268	254	305	279	286	293	235	292	389	230	223	255	231	232	238	203	393.563050150763	555.813972055888	272.565729049447	233.804197948985	345.282337665098	300.557748104689	298.634343838118	316.490197783456	236.484277347481
Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78892295523074	0.601530272787758	0.599045558350434	1.86051085901049	4.33927533869962	4.96789666288742	0	0	0.598694373031598
