superkingdom	phylum	class	order	family	genus	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	7644.09908624568	4573.28517687069	4180.85221434133	84.0268179346275	64.0059774122738	58.5461413350138	6172.0402218489	3201.19480774869	8285.03305481332
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	0	0	0	0	0	0	11.1492396255081	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	1496.84106936806	1379.19011041237	652.549460789719	355.097370456036	134.357435246939	170.087439674881	903.079767360531	574.720806490247	1404.69401512127
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	54.0311693430225	72.0631143708753	28.0235772696179	90.0202478079098	24.0187231917634	46.0724356889857	47.3515265103157	38.0835958874417	76.0090215789639
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	0	0	0	0	0	0	0	0	13.6486858019917
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	348.67899598045	301.260039523084	249.475372620034	316.101030175902	174.87487806812	230.012754692149	283.313820291436	212.266194066244	510.273687374337
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	17240.7749428037	10520.1309929585	12374.8493450704	24674.8083571071	9268.62916752296	16038.4500724879	14559.5408881804	7584.71257815505	26488.850438664
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	2656.09110208836	1662.43450958992	1878.54488295873	3181.55731314531	1151.88464046556	2026.3346685363	2150.28274302132	1169.45213170122	4047.95832650379
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	302.538197478793	194.16630567418	192.189705525581	350.410921053363	127.076006999051	215.818051172848	241.215721810254	106.139620451992	408.190459176192
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	89.0559470620601	67.0742577619408	45.0377334261593	97.0266054485506	38.0279567211959	64.0307707051169	69.0627891277567	45.0565092196179	157.809080417232
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	343.257846874441	238.303428399547	305.255748798299	357.097919021985	165.121391026245	277.14249194025	272.243583211159	153.192131346701	489.478379712595
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	4063.32838675797	2626.26444164565	2869.40315487117	4729.91460363252	1844.3822876751	3211.65107350989	3099.77186719186	1639.05567982714	5946.86474436209
