superkingdom	phylum	class	order	family	genus	Zymo_6300_ONT_MONT	Zymo_6300_ONT_ONT	Zymo_6300_ONT_PB	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6300
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	0	0	0	90.6896483538606	51.0578292107297	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	77.1096165435285	23	13	13	86	48	59	81	44	55	120.074873621986	65.3429302657203	83.3428718385663
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	0	0	0	10.0081823266592	13.0122899746877	0	0	0	0	0	0	11.0156595185496	12	15	13	12	17	15	12	15	14	3.66640835486979	5.11903140330528	3.05285244829913
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	2	5	0	2	5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0	0	0	120.074425390225	99.0969182680187	166.119097001728	108.217007541487	71.7700826731978	29.3300471846137	91.1810090051597	37.0325390417476	164.233469083876	90	74	122	127	106	164	119	99	157	53.1629211456119	43.6623266752509	69.9103210660501
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	0	0	0	0	0	10.0071498353371	0	0	0	0	0	0	5	5	10	5	5	10	5	5	10	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0	0	82.050635207755	70.0661469558169	67.992509760313	52.063230547273	54.0743351574155	0	43.1073146642182	20.0175886712149	86.1224289628906	83	70	64	84	71	68	84	71	67	29.0257328093858	21.9817230847815	23.2016786070734
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellamassilia	0	0	0	16.0098767295307	10.0094329055118	24.0171596048091	12.0135961341411	0	0	0	0	20.0284718519083	19	12	27	19	12	27	19	12	27	6.11068059144965	3.6134339317449	8.85327210006748
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	0	0	0	0	0	0	0	0	0	0	0	0	5	1	12	6	2	14	6	2	14	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	6	1	2	4	1	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	0	0	0	77.0357680799446	36.0452457081693	60.0410744652801	49.0340601425388	37.0926051813736	0	45.0727711667584	33.0290213075052	58.082568370534	42	28	34	77	46	58	53	31	39	60.4957378553515	37.9410562833215	50.3720653969357
