superkingdom	phylum	class	order	Zymo_6300_ONT_MONT	Zymo_6300_ONT_ONT	Zymo_6300_ONT_PB	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6300
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	0	0	0	90.6896483538606	51.0578292107297	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	77.1096165435285	23	13	13	86	48	59	81	44	55	120.074873621986	65.3429302657203	83.3428718385663
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	0	0	0	10.0081823266592	13.0122899746877	0	0	0	0	0	0	11.0156595185496	12	15	13	12	17	15	12	15	14	3.66640835486979	5.11903140330528	3.05285244829913
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	2	5	0	2	5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0	0	0	295.170705407455	215.217743837517	328.176990667467	221.32789436544	162.937023011987	29.3300471846137	179.361094836136	90.0791490204676	328.466938269209	248	191	269	324	243	343	290	221	314	148.795072401799	107.198539975099	152.337337170127
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	2	3	2	2	3	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	4700000	4700000	4700000	373972.172038985	223325.27906099	335093.332350455	180361.811997216	183931.530246973	245135.947622034	143953.627289127	214347.473183213	133730.23104545	48622	29901	44329	373605	222927	334748	175218	97387	156740	414681.173092778	246653.90353939	370528.975643493
Bacteria	Firmicutes	Bacilli	Lactobacillales	2830000	2830000	2830000	153429.993254462	85049.9599330394	132821.254039887	73706.6293560219	70052.4708140714	95602.1659823898	60644.2293227523	91206.5112232286	54659.8864453917	61919	34945	54923	153129	84894	132533	152810	84656	132216	110211.929613356	60593.6736014302	95405.6077175306
Bacteria	Firmicutes	Clostridia	Clostridiales	0	0	0	2732.25316094957	2171.26438820095	3049.75679601704	1821.3453294994	1535.86060050852	1224.7216187289	1641.94200426866	890.972161034339	3126.16567888858	2481	2001	2737	3197	2541	3537	2928	2349	3236	1831.06543922789	1404.12020197721	2031.06273385341
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	0	0	0	0	0	0	0	0	0	0	0	0	10	5	11	10	5	11	10	5	11	11.6102931237543	8.13022634642602	12.2114097931965
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	0	0	0	75.0589363422634	55.1128429194043	59.4253052254844	48.054690604319	42.9209215832342	11.8776146306067	42.0851417132501	30.0263885525454	91.1294852273912	67	49	50	87	58	66	67	49	51	40.9415599627126	24.089559544966	32.0549507071409
