rank	sample	platform	primer	sample_name	sample_nr	GS_name	source	barcode	name	workflow	db	Vregion	method	path	file.names	rep	filename	bamfile	project	mapq.filt	sample_ID	group	GS_version	R2	p_value	significant
genus	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	ONT	MONT	MONT1	1	NA	MCS	bc19	MM1	EMU	EMUdb	V1_V9	EMU	emu/PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	1	PRMT_MM1_MCS_MONT_20240807_bc19	NA	NA	NA	NA	13	D6300	0.709325028392247	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	ONT	MONT	MONT2	2	NA	MCS	bc20	MM2	EMU	EMUdb	V1_V9	EMU	emu/PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	2	PRMT_MM2_MCS_MONT_20240807_bc20	NA	NA	NA	NA	13	D6300	0.64733361066789	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	ONT	MONT	MONT3	3	NA	MCS	bc21	MM3	EMU	EMUdb	V1_V9	EMU	emu/PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	3	PRMT_MM3_MCS_MONT_20240807_bc21	NA	NA	NA	NA	13	D6300	0.696027757358273	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	ONT	MONT	MONT1	1	NA	MCS	bc19	MM1	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_MM1_MCS_MONT_20240807_bc19_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_MM1_MCS_MONT_20240807_bc19	28	D6300	0.598911811494742	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	ONT	MONT	MONT2	2	NA	MCS	bc20	MM2	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_MM2_MCS_MONT_20240807_bc20_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_MM2_MCS_MONT_20240807_bc20	28	D6300	0.571852645703148	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	ONT	MONT	MONT3	3	NA	MCS	bc21	MM3	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_MM3_MCS_MONT_20240807_bc21_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_MM3_MCS_MONT_20240807_bc21	28	D6300	0.56928687458892	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	ONT	MONT	MONT1	1	NA	MCS	bc19	MM1	minitax	EMUdb	V1_V9	LCA	NA	NA	NA	NA	PRMT_MM1_MCS_MONT_20240807_bc19_pass.bam	NA	NA	minitax_EMUdb_LCA_PRMT_MM1_MCS_MONT_20240807_bc19	54	D6300	0.661742477980851	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	ONT	MONT	MONT2	2	NA	MCS	bc20	MM2	minitax	EMUdb	V1_V9	LCA	NA	NA	NA	NA	PRMT_MM2_MCS_MONT_20240807_bc20_pass.bam	NA	NA	minitax_EMUdb_LCA_PRMT_MM2_MCS_MONT_20240807_bc20	54	D6300	0.680082622484525	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	ONT	MONT	MONT3	3	NA	MCS	bc21	MM3	minitax	EMUdb	V1_V9	LCA	NA	NA	NA	NA	PRMT_MM3_MCS_MONT_20240807_bc21_pass.bam	NA	NA	minitax_EMUdb_LCA_PRMT_MM3_MCS_MONT_20240807_bc21	54	D6300	0.65151466350639	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	ONT	MONT	MONT1	1	NA	MCS	bc19	MM1	minitax	EMUdb	V1_V9	RandAln	NA	NA	NA	NA	PRMT_MM1_MCS_MONT_20240807_bc19_pass.bam	NA	NA	minitax_EMUdb_RandAln_PRMT_MM1_MCS_MONT_20240807_bc19	41	D6300	0.707898605262095	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	ONT	MONT	MONT2	2	NA	MCS	bc20	MM2	minitax	EMUdb	V1_V9	RandAln	NA	NA	NA	NA	PRMT_MM2_MCS_MONT_20240807_bc20_pass.bam	NA	NA	minitax_EMUdb_RandAln_PRMT_MM2_MCS_MONT_20240807_bc20	41	D6300	0.64571171354962	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	ONT	MONT	MONT3	3	NA	MCS	bc21	MM3	minitax	EMUdb	V1_V9	RandAln	NA	NA	NA	NA	PRMT_MM3_MCS_MONT_20240807_bc21_pass.bam	NA	NA	minitax_EMUdb_RandAln_PRMT_MM3_MCS_MONT_20240807_bc21	41	D6300	0.694520863541677	0.00687254375400767	TRUE
genus	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	ONT	MONT	MONT1	1	NA	MCS	bc19	MM1	minitax	EMUdb	V1_V9	SpeciesEstimate	NA	NA	NA	NA	PRMT_MM1_MCS_MONT_20240807_bc19_pass.bam	NA	NA	minitax_EMUdb_SpeciesEstimate_PRMT_MM1_MCS_MONT_20240807_bc19	67	D6300	0.545588652374024	0.00687254375400767	TRUE
