genus	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Akkermansia	338859	906.091493938431	1069.97991745565	720.011194544762	386.274998114366	546.338797617728	517.273943206076	481.930350407285	399.772950331993	409.893143655453
Alistipes	745560	904.564845441419	1055.96492631134	825.117122924282	736.555187052318	892.528538422842	910.478207870846	713.546006340961	639.235945643639	579.26219322771
Anaerobutyricum	185814	5179.82879357476	6674.87757981358	4406.53534875054	7269.84395539781	9745.71981131025	10923.2811256007	3759.97974608467	3623.75097729837	3927.61743182786
Anaerostipes	312507	9537.95725883692	12120.4579946268	7789.9457455275	14193.6610571049	18624.8551329207	20623.2428521757	5798.95784887346	5656.06214985472	5959.46771739317
Bacteroides	5594940	4725.33165705282	5702.86679298522	3765.56516146132	3856.29594576198	5149.28034315147	5146.73562445583	3514.4563302795	3355.13432837852	2890.94673304321
Blautia	1871757	47380.2753053831	62376.2190181577	39059.6898600612	72193.1338320053	97959.1622443289	105930.367307299	28833.43293892	28770.1264396259	30148.2358164749
Clostridium	1509894	1742.77500583586	2134.78649791599	1346.08350681049	2984.60155297964	3827.18322922159	4256.49710522625	1215.41282130273	1094.26189294191	1072.92856954092
Collinsella	219375	1243.71895066867	1651.93527744162	683.918244995119	146.110110544086	175.257680760644	154.481489326954	508.929458137138	541.046483422518	468.01831748352
Coprococcus	248490	3264.20284953662	4388.49552059314	2670.30188405835	4937.6214506352	6397.0665541671	6994.76374147582	1940.35476386267	1997.16716080659	2066.71315052706
Cuneatibacter	0	6008.53507295639	7646.75749976818	4844.01847423138	3530.07638342755	4393.63869091197	4922.25638605879	4128.61054960288	4231.25488116786	4502.69313613044
Dorea	371007	6681.31946685627	8770.75275948265	5400.83283034071	9779.81676318835	13482.2618891386	14215.1227713073	3879.63394306767	3846.471584952	4026.70279472698
Eubacterium	791154	6626.0628441315	9106.51560572055	5594.67268593648	10837.4194775286	14819.8361611613	15224.2036969741	4053.35981417243	4164.84137377477	4258.97878718968
Faecalibacterium	2453427	40619.6061206915	50441.7636948247	33860.2780423865	66543.0549293478	87431.1231301488	95587.574836267	24077.2020873404	22071.17055862	24126.9046950883
Fusicatenibacter	810396	14497.9142589363	18258.6676101054	11720.3614313936	21883.353919118	28740.5072156349	31396.7752062976	8419.16111143177	8375.28609919262	8501.75555288571
Gemmiger	219420	14676.4246248927	18712.8970925684	12297.4508883816	24201.2071766941	31943.9671517103	34865.4373509353	8590.14954610522	8036.43793923679	8615.50459472183
Lachnobacterium	200295	61.9968721921243	89.2435860847106	64.1861995610345	106.965139208242	158.508997055991	183.679194837762	66.8621345411721	32.2106662713275	53.6154282442613
Lachnospira	0	8780.44199347093	11693.5958176459	7479.70532014102	14114.6696287107	19250.5283515452	20338.856999582	6404.71349033489	6517.47880777997	6518.13447462209
Mediterraneibacter	17055	14782.5224630217	18772.9807912206	12205.9471793593	16317.9190649006	21263.6999679976	23112.7851774796	9288.47576536262	9209.03506266622	9803.1864602182
Megamonas	194553	4091.74960019391	5359.21802650052	3336.32509223389	7809.9835039834	10635.4419159378	12320.5972307144	2782.53991435822	2623.43875764624	3024.70418792122
missing	0	38048.7850503732	49178.7789910413	31345.3398842183	61822.2663073895	82314.8156834749	88167.8973193577	23298.5739793356	22974.4763838783	22982.4463843592
Monoglobus	43371	5372.64004349742	6816.4162399708	4452.63697724034	9485.54412548863	12772.2739167411	14644.0863656095	3207.28828896553	3037.6173318054	3327.07763628017
Oscillibacter	398745	4187.48631375431	5328.60824269319	3512.32225538533	6828.43978617038	9033.10048166347	9702.31103171109	2383.25070824483	2256.90205774546	2441.36164650351
Parabacteroides	530001	1610.1465274052	2060.31192005879	1267.59867255113	1224.85503900522	1537.95649730139	1541.08153077079	1110.94281934139	1122.31938836826	1009.44837047473
Phocaeicola	0	9413.62037636597	11770.7474641689	7240.31236364392	6995.59889202576	9461.14488662532	9470.81940647667	6463.22300721408	6331.35449411184	5625.38598765729
Roseburia	1043667	16521.6999333393	20951.1161138372	13562.3617350174	23376.981791669	30957.4391232623	33493.4460264824	10180.7062389187	10113.1098991864	10116.9639363717
Ruminococcus	2812635	22955.4371915053	30525.961727289	18781.038656078	40712.0661743563	56940.0387952173	59822.3630139776	13428.811269456	13060.1311306894	13916.5922359499
Subdoligranulum	794826	1055.32921661955	1385.17496826699	926.730131157058	2381.15818289682	3729.66767269453	3031.9995089594	601.74022371663	537.724378272331	549.866375082888
unknown_Firmicutes	5834880	0	0	0	0	0	0	0	0	0
