superkingdom	phylum	class	order	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	4	0	0	2	0	0	1	0	4	4	0	0	2	0	0	1	0	4	4	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	878000	878000	878000	32578.7854792873	35456.4817494275	4142.19553787242	34.989052560211	38.0240534601716	30.0506894927121	23856.6940110449	19527.1129220174	23842.6705843484	6214	6978	762	15	11	9	4670	3815	4682	32303	35185	4104	40	33	33	23732	19403	23698	30836	33698	3892	32	30	30	22720	18548	22575	61849.2373287878	66690.2141482357	7845.42796820231	53.684923232656	50.7590960462207	49.3610839029401	44476.8007294243	35664.8315050823	44772.1279820657
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	0	0	0	0	11.2270347705011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	2	1	2	0	0	0	0	0	2	2	1	2	0	0	0	0	0	2	2	2.70747573819187	2.35350329225055	0.677176467843624	0	0	0	0.66566093045714	2.28113100459213	2.01242643772348
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	4	1	0	1	0	1	0	4	3	4	1	0	1	0	1	0	4	3	4	1	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	1	1	6	16	1	0	1	1	1	2	4	0	6	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	0	0	0	0	0	0	0	0	0	13.0162952312483	0	0	12	3	5	9	1	5	17	1	9	12	3	6	11	1	5	18	2	10	12	3	5	10	1	5	17	2	9	3.04591020546585	1.34485902414317	2.03152940353087	2.36348718634335	0.333941421356715	1.01426884732069	4.32679604797141	0.325875857798875	3.01863965658522
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	4	0	3	3	0	0	0	3	1	4	0	3	3	0	0	0	3	1	4	0	3	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	1492000	1492000	1492000	55206.9204457749	55939.2372354249	7645.87975421084	26833.6414176221	27726.3398128608	12751.0239970158	35890.8745082422	25333.3179661306	41096.5855961392	46286	46801	6303	22502	23466	10784	30060	21025	34250	55184	55918	7633	26801	27733	12737	35877	25324	41091	55117	55861	7624	26750	27701	12723	35828	25305	41052	22451.7425589561	22623.5547188925	3132.61834024461	10899.7276213623	11049.453749851	5147.75248976826	14368.6240143826	10005.6923378567	16650.1455369115
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	1	2	0	0	1	3	0	0	1	1	2	0	0	1	3	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	unassigned	Chroococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	0	0	0	1054.29775055104	719.485830202482	65.2065946899446	579.867859524932	644.562476864574	424.255954137027	910.259204806346	292.062328091788	715.10523296885	413	349	42	378	366	189	311	192	258	1050	693	79	630	662	429	929	321	707	709	532	61	500	523	305	576	258	451	694.467526846214	325.119669086611	37.921882199243	242.426257113503	264.147664293162	257.624287219454	715.585500241426	127.091584541561	506.460653493743
Bacteria	Firmicutes	Bacilli	Lactobacillales	963090	963090	963090	23553.8767100536	24167.16503934	2867.97766062686	22344.4307842584	24800.2029830402	9851.42713278181	15112.9238720955	11158.1291016132	15276.8973198355	9220	9340	1113	8943	9925	4023	5623	3888	5538	23546	24172	2871	22304	24756	9820	15105	11152	15283	23466	24102	2861	22244	24690	9783	15031	11131	15246	15537.5263925486	15880.4315718386	1905.91316874588	14451.3735803831	15759.6974980875	6303.68088609806	10051.4800499028	7359.9062483876	10309.9960448637
Bacteria	Firmicutes	Clostridia	Clostridiales	3014020	3014020	3014020	165508.794830357	164849.423381896	20171.0311606176	152416.481961907	156993.675173064	66119.5319696348	91004.8360431553	61388.1533313054	91510.7061435	99510	98524	11785	91991	93442	39925	53679	35286	54082	165613	164955	20192	152498	157146	66198	91093	61487	91602	146076	143734	17824	134516	136273	58708	79139	52486	80000	152733.782908412	152919.212628735	19009.6978053062	140936.766767814	146921.869564365	60820.6314295849	84049.0117232403	57351.2180898818	85174.2719546148
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	0	0	0	11.0079827589998	0	0	0	0	0	14.0175487175775	0	0	11	7	0	5	7	11	11	0	7	11	7	0	6	7	11	11	0	7	11	7	0	5	7	11	11	0	7	8.1224272145756	9.75022792503799	1.69294116960906	11.4797949050963	6.01094558442088	4.05707538928275	16.6415232614285	0.977627573396626	7.71430134460667
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	0	0	0	72.0522994195071	41.0228371874839	0	37.0257618704111	32.0203895257542	27.3816574441425	78.0078236366955	0	47.0632063582135	63	36	1	33	32	21	58	8	43	74	46	2	40	35	27	79	8	48	63	36	1	33	32	21	60	8	43	36.2124879983162	22.8626034104339	1.69294116960906	19.5831795439877	14.3594811183388	14.8759430940367	44.5992823406284	2.607006862391	19.7888599709476
