superkingdom	phylum	class	order	family	genus	species	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	878000	878000	878000	32480.1111489765	35361.0469901976	4142.19553787242	34.989052560211	38.0240534601716	30.0506894927121	23800.9055930094	19486.1110224206	23785.2491346409	6198	6959	761	12	11	7	4661	3805	4665	32282	35164	4103	33	33	28	23720	19393	23672	30820	33679	3891	29	30	27	22711	18538	22555	61198.4278482199	66058.8028364005	7757.05643914872	48.6203078333488	47.7536232540103	45.3040085136573	44059.4313260276	35334.0675094164	44312.6239454522
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	994000	994000	994000	35056.7896359854	35705.7855128069	4801.84960020668	16507.7359918541	16883.6253103152	8013.30006689261	23126.9980086644	16465.1007717307	26875.0761431171	26137	26555	3457	12171	12575	5978	17279	12151	20016	34953	35608	4779	16401	16803	7911	23038	16421	26805	34925	35582	4775	16387	16791	7905	23025	16410	26788	15547.3409920995	15747.9629579605	2161.54728535685	7338.96535462271	7368.41746223592	3502.27032979833	10040.8294750155	7085.19290026314	11828.0363877198
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella corporis	498000	498000	498000	19992.439853681	20177.7833161777	2844.03015400416	10174.7962449282	10823.7045748967	4712.68170433591	12645.3497375783	8868.21719439993	14132.3838978345	19994	20178	2837	10178	10843	4742	12651	8855	14120	20031	20212	2841	10207	10862	4751	12667	8869	14141	20019	20202	2839	10202	10859	4749	12660	8866	14133	6788.99541351611	6807.67638021273	962.606349039712	3454.74298438073	3634.95237146785	1610.32083992948	4219.29180770258	2894.42936896961	4748.32017980855
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	963000	963000	963000	22960.9389217665	23874.8839117617	2832.9045589403	22115.9025103596	24566.2257871941	9582.63194469705	14412.8637593433	11065.3188647412	14841.325641473	8750	9068	1083	8737	9718	3791	5076	3800	5155	22909	23821	2826	22028	24483	9510	14370	11027	14793	22879	23782	2821	21989	24441	9496	14350	11015	14786	15173.0324712945	15677.0216444369	1877.13316886253	14292.6822978715	15593.7286116732	6132.26945090087	9624.79139347979	7289.51706310304	10056.7657181168
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia hominis	989000	989000	989000	33283.9117623806	37038.2821409097	4020.37952628446	29657.5369664355	34147.5132314214	12521.2076195516	18322.0590349647	13996.3262910998	17971.7063638531	12651	14536	1490	10758	12235	4664	5849	4420	5816	13964	15941	1657	11854	13446	5149	6579	5020	6486	13957	15936	1657	11851	13441	5146	6578	5018	6484	25290.5308704502	27626.094073949	3069.64092873515	22828.9227328904	26115.2209743592	9560.49815484479	14416.8844318407	10807.0210721841	14182.5753198562
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21447.2690600869	23291.2772243795	2635.90940108131	19902.5879551707	22905.0420908571	8219.63473868684	12738.0875652278	9482.33571023167	12486.0998328553
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	262000	262000	262000	27878.257018632	26639.9414642214	3475.95729092388	24133.7612503164	23277.9118738035	10927.037152838	14791.9168416783	9653.82803601484	15234.9039404519	14706	13983	1722	13267	12866	6089	7573	4886	7940	27804	26557	3461	24006	23199	10825	14738	9624	15186	27790	26545	3460	23984	23180	10811	14726	9617	15180	17062.1736676179	16250.94023299	2170.01199120489	14030.672861214	13453.1641007766	6273.59091029422	8954.80366697468	5746.49487642536	9251.79514302741
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	1763000	1763000	1763000	102113.390783178	100114.543405063	12613.5635205805	97661.969137295	98722.1603436695	41813.1100892149	55405.4283315649	37507.6697448985	56592.3986358299	70014	68846	8456	66864	67360	28248	38012	25590	38675	121273	121039	14927	115302	119291	49121	67014	46368	67927	101956	99976	12573	97485	98576	41734	55302	37420	56475	87562.4728488632	84950.7099780517	11037.2992493832	83438.5257805058	83754.8460662137	36174.2365293081	46525.3722429061	31048.1482276456	48209.0169332911
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica	0	0	0	14.3760498422714	20.3962309098065	0	14.8386545560117	18.9858679570803	0	11.4454939666178	0	0	19	10	3	19	24	13	9	3	9	19	10	3	19	24	13	9	3	9	19	10	3	19	24	13	9	3	9	2040.08296872757	1929.20027013338	271.547763605293	1509.59303002016	1631.97172617027	695.788429261991	1110.98809293297	737.457066198854	1112.20101124851
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella dispar	0	0	0	11242.1119504039	10484.3642915466	1663.81229234424	10964.3625153455	11294.8331815782	5409.93510200708	6378.21276596177	4377.92766009464	6691.91075254616	3894	3848	558	3721	3714	1682	2080	1503	2220	3895	3851	558	3722	3714	1682	2082	1503	2221	3894	3848	558	3721	3714	1682	2080	1503	2220	27770.9170811013	27442.8570319095	3579.21622078748	28740.6794679883	29697.4106012527	12903.5282756138	15084.209514624	10217.1857695681	16376.7909457874
