source	primer	rank	R2_mean	R2_sd	p_value	significant
GMS	MONT	genus	0.644924146629596	0.0435510235217728	0.0291107171023652	TRUE
GMS	ONT	genus	0.629548426204492	0.046538136901015	0.0291107171023652	TRUE
GMS	PB	genus	0.678554547157176	0.057237440716206	0.0291107171023652	TRUE
GMS	MONT	order	0.792685716882792	0.0595902634401928	0.0158535161233499	TRUE
GMS	ONT	order	0.749877414981229	0.0625192882521185	0.0158535161233499	TRUE
GMS	PB	order	0.818225929769441	0.0652319948546796	0.0158535161233499	TRUE
GMS	MONT	phylum	0.953642047800675	0.0108084327669031	0.00653812539946114	TRUE
GMS	ONT	phylum	0.943439726111776	0.0112114335571409	0.00653812539946114	TRUE
GMS	PB	phylum	0.95924960544627	0.0163142994825521	0.00653812539946114	TRUE
GMS	MONT	species	0.112650652175064	0.0524172275191507	0.39882082757383	FALSE
GMS	ONT	species	0.106339376810498	0.0526818497040001	0.39882082757383	FALSE
GMS	PB	species	0.132677088240301	0.0594367304107288	0.39882082757383	FALSE
