superkingdom	phylum	class	order	family	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	6360.0572071895	7487.38127931786	4874.23637696345	161.306146683982	171.363546546415	193.514228699883	4755.28375528755	5009.63894427749	4090.01737124778	140.089265123865	78.5282541982728	48.2081361696012	2608.79210570379	5299.72276962083	2517.76167320484	2303.08527585741	6683.15003639692	4645.47949484791	22932.297258737	13719.8555306121	12542.556643024	252.080453803882	192.017932236821	175.638424005041	18516.1206655467	9603.58442324607	24855.0991644399
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	3882.1409821075	5202.19667497569	2105.82736885544	475.477536612704	584.743339688672	538.269540017431	1526.78837441141	1662.21500180377	1464.18597596901	1256.07384181791	772.397604734755	772.549065313356	7291.29374982359	13263.5612370685	8232.6600552205	13206.6555502121	35007.4243491766	28906.846891298	4490.52320810419	4137.57033123712	1957.64838236916	1065.29211136811	403.072305740818	510.262319024644	2709.23930208159	1724.16241947074	4214.08204536381
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	14175.9949711584	17108.6003789557	11296.695484384	11568.8878372859	15447.8410294544	15440.2068733675	10543.3689908385	10065.4029851356	8672.84019912962	3137.62841325479	1934.05553373845	2497.30183220744	3649.443016806	6358.20415887359	4849.81945120482	3385.27153588681	7983.38483080711	9429.29918579367	51722.324828411	31560.3929788756	37124.5480352113	74024.4250713214	27805.8875025689	48115.3502174637	43678.6226645411	22754.1377344652	79466.551315992
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	missing	28240.8611290979	35312.2423925066	21720.9370909318	20986.7966760773	28383.434659876	28412.45821943	19389.6690216423	18994.0634823355	16876.1579629719	445.805543596616	318.162635438647	324.847551609256	632.753184758508	965.171403848502	679.988253745859	473.571595452187	1437.98330748505	1328.93785081034	81639.0443998659	52294.7476293908	61775.2348818756	95457.0171416277	37259.4531227231	65430.0880623408	60788.9729130944	33573.4425080327	117466.901007444
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	449.676065473088	345.342831400543	376.035831183617	183.130422135718	303.986082106968	452.365621360587	375.959761238497	72.1394797591566	285.626066270945	16165.1730761462	11583.2621138262	10108.3194393169	12043.8994462594	24728.4324860489	12295.8249301114	9068.43660054051	28005.2674477565	19868.081335691	357.70141800355	198.171211575215	405.914758135909	585.158900312886	323.430085135896	328.111638064378	395.451692178315	171.214735040573	486.052704951994
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	2572.67142874412	3013.43957350297	2116.71020156848	3572.02322218019	4662.44404367905	5336.92053787179	1815.87645191323	1431.21199597945	1802.22065363452	68558.8473231962	50339.2072347523	47072.8208169019	53682.6310329378	108154.046302346	58248.7146253183	44702.789310017	130164.991347131	99616.4138681785	639.88085785648	304.920352308402	609.510776907068	959.588128677218	526.276638673185	444.228372584792	456.408290344276	228.676779259109	707.807600261062
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	2194.69961396756	2376.01439743168	1867.9791815341	2388.68823214194	3332.07623522558	3868.86643468339	1436.85712996751	841.685842336409	1373.99472585883	219819.155402224	166769.570791123	145056.270271193	168405.630402254	344469.635786199	170928.524916526	136627.079249397	407765.78948562	296977.050670519	1178.98256056123	564.474416386614	1065.87868464008	1870.28408265134	1047.77972152732	1124.72334582434	795.7570687368	381.478444726098	1044.08513706073
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	12346.6352147895	15204.2696500442	9953.80492248562	20021.458619606	25896.5203559806	28426.819323813	7064.40554852829	6407.59386802256	7089.98746963924	348.576995821459	186.334949899563	204.446778703011	243.444362830011	402.596160347746	243.536488767282	189.399408169061	481.389923181464	458.070562859351	596.935803940376	463.255328356952	436.388802543522	1132.5304472972	459.709396019892	721.188271039461	404.191548971463	287.400306442033	558.784698668677
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	13307.0555326023	16644.0869764048	10588.5951915968	21018.2172963116	27397.5557762185	30103.2452244001	8820.94148649971	8208.64295513274	8116.40126959756	10598.7134544844	7611.55508673976	7955.33149441156	8914.64732614472	18460.9063888421	10711.7146023321	7582.99561164299	20915.2812231023	17925.260226424	11382.2452890454	7551.21871831483	7172.89765196201	27981.413574121	10408.313953866	15694.3661060297	8847.07681823937	5180.45300792559	13427.7113099633
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	2320.88167667466	3102.38758803724	1871.72041704185	3216.31379699584	3972.99800430962	4180.5336002754	1476.24487959465	1200.57968521693	1398.68894794647	32470.0553519619	23336.610409347	25229.8017477934	28095.5859688514	54285.1868960676	33423.7863401692	22035.4563231894	61068.8933288293	55804.7151294235	1651.09126142119	1532.14585326972	1366.17420602001	3154.5161252074	1751.68676178666	1971.34904771101	1148.8265031403	871.222663319382	1824.62731528253
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	20146.3981975226	27627.5835014421	16952.5090642874	32887.2786590469	45026.2008376914	46256.5669100904	12321.2127404686	12608.3374426455	12950.3396305323	51.0845055428015	87.1599199220217	72.1579674564989	48.1520373886175	339.172140455656	30.0462688964495	0	377.408740617211	318.312301066119	8198.97711742615	6119.35392845843	5054.34359344259	21008.0034290561	7982.37815187505	10696.6270988377	5555.38941764604	3533.23987439787	7898.41777127392
Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	11803.8207516556	16032.2966618832	9850.14369812134	17854.3516089715	23444.6106190461	25238.1123430914	7127.09696283117	7014.4310755463	7925.02690217648	1660.98396936236	1165.60656614214	1394.75650439238	1638.28518965717	2780.64888826377	2051.16759233557	1384.94039376943	3476.96583784919	3172.59652956984	2354.99943383561	1370.58850346276	1542.75572199736	5569.5849458077	1968.23520740899	2897.40416532359	1535.79771458463	855.313337064501	2206.19602258815
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	522820.110316319	675740.631544502	427853.057720638	748501.646608297	998308.860301542	1080994.18758245	325564.285339512	323687.387099986	334933.555589647	303419.997137498	220157.37716445	220375.294098724	255406.874152895	501215.750903172	294784.489538341	210124.873182067	585800.913594991	490244.600343691	762547.714937987	537312.554098604	465153.909313554	1664777.9162117	641843.876131235	866630.947862774	517711.71445676	320342.675172089	739936.534158753
Bacteria	Firmicutes	Clostridia	Clostridiales	missing	16117.9201304923	20449.2487199124	13357.910931721	28456.6323764659	38316.8217502233	43932.2590968284	9621.86486689659	9112.85199541619	9981.23290884052	256.379053889017	154.901006299212	226.407352717102	140.226643353206	366.674071109904	174.677666803756	117.257835694973	344.234720844847	334.337353840015	8862.19227762293	5400.28742382152	5496.96632580362	24628.5678758599	7964.60793411735	12299.9520095355	5755.98891267011	3041.27438791039	8457.98960791379
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	23076.115386304	28831.2628081756	19188.5276994388	37411.2152614759	49142.3734663768	52393.8416834131	13076.8862079401	12445.4877344215	13473.7494614458	1710.99283144212	982.226447073749	1463.92436840821	1367.52416552021	2477.22285798884	1766.15820872962	1045.42130048472	2874.11662759253	3069.6655602584	4753.37349210313	2957.92686414926	3234.60636295586	12186.8783443687	4143.39895304125	7344.48623571282	3042.42273115604	1631.21924527829	4977.25773466481
