superkingdom	phylum	class	order	family	genus	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	14175.9949711584	17108.6003789557	11296.695484384	11568.8878372859	15447.8410294544	15440.2068733675	10543.3689908385	10065.4029851356	8672.84019912962	2868.70583382261	1788.59541691444	2333.91198861614	3569.68657091441	6163.60432253061	4764.874085449	3314.54158225803	7885.20906218132	9318.90820316603	51722.324828411	31560.3929788756	37124.5480352113	74024.4250713214	27805.8875025689	48115.3502174637	43678.6226645411	22754.1377344652	79466.551315992
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	missing	Phocaeicola	28240.8611290979	35312.2423925066	21720.9370909318	20986.7966760773	28383.434659876	28412.45821943	19389.6690216423	18994.0634823355	16876.1579629719	445.805543596616	318.162635438647	324.847551609256	632.753184758508	965.171403848502	679.988253745859	473.571595452187	1437.98330748505	1328.93785081034	81639.0443998659	52294.7476293908	61775.2348818756	95457.0171416277	37259.4531227231	65430.0880623408	60788.9729130944	33573.4425080327	117466.901007444
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	2089.0627734105	2689.14229701698	1718.38397498382	3325.62721715041	4260.0547129793	4856.71248739546	1482.23194559643	1356.06668261762	1534.63759900301	68258.3506478388	50162.6494828121	46898.0863864995	53304.4027789	107570.854362732	58111.6174214513	44607.884026702	129510.324252408	99247.0123832498	237.647600950234	139.777948297301	129.10816915453	377.6250123067	144.99616256263	93.0478346456693	114.102043446309	69.0866474700808	250.331266903268
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	2089.59604809055	2129.78996881381	1756.8298786199	2179.55239672032	2968.85982188006	3517.86282885106	1379.74688054295	715.441752750036	1271.77198587747	219819.155402224	166769.570791123	145056.270271193	168405.630402254	344469.635786199	170928.524916526	136627.079249397	407765.78948562	296977.050670519	1178.98256056123	564.474416386614	1065.87868464008	1825.27173991748	1047.77972152732	1124.72334582434	795.7570687368	381.478444726098	1044.08513706073
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum	15539.4863807243	20024.6327394407	13219.6060462516	21809.5318661934	29237.1594339308	32769.843376802	11279.939238254	10871.2529318951	11782.8522954836	1098.53151908252	765.505347019564	891.841644548901	1227.67358735566	2257.78453540373	1406.6232875421	916.662507992894	2291.76314628235	2378.17799297474	39662.0384363999	30529.5596062612	24097.2908465369	76194.1207789742	30810.4424464735	39796.1968964643	32172.3381158131	20320.3144484353	46962.8285074698
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	28613.8717765108	36361.3739838804	23369.8372365825	42580.9831713147	55874.565398762	61869.7285565271	17396.8735466204	16968.1864495642	17878.4031521795	66.2217202459404	72.1588456666726	69.763525974234	93.5436591792085	127.878796314846	56.1711665060444	31.6352765875033	157.403343791268	134.648955700389	19217.4526904356	16121.6782614218	11929.4788908429	43340.3502225013	20156.5005502892	23559.9836710257	12942.123301826	9907.93215810721	19242.4962144341
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	142140.825916149	187128.657054473	117179.069580184	216579.401496016	293877.486732987	317791.101921897	86500.2988167601	86310.3793188777	90444.7074494247	197903.408018194	145700.882868562	140927.414410532	164289.573724213	328799.483224476	186451.622093342	136779.190231491	386048.997676651	311679.941975593	531158.323952946	366206.734032358	322496.535656693	1149631.22247196	434874.311667521	591874.354378536	354077.819015657	215738.253418382	499436.314564641
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	20043.9584005688	26312.258278448	16202.4984910221	29339.4502895651	40446.7856674157	42645.3683139218	11638.901829203	11539.414754856	12080.1083841809	181.366518538419	105.550879055047	84.2653143658746	141.297307608004	216.270560009155	101.870047946023	33.0695398454518	274.553005309827	239.634776767742	36945.5313468672	31427.3140470129	22453.5885327545	83671.5080753873	39747.3364509178	45259.494433957	24332.2454733936	18561.768581225	36238.9936735567
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	43493.7427768089	54776.0028303161	35161.0842941808	65650.0617573539	86221.5216469048	94190.3256188927	25257.4833342953	25125.8582975779	25505.2666586571	117.976219855888	107.957502688059	71.7817347011054	147.8901638872	182.580280630534	67.2933208286306	44.1162385061527	241.214264539758	172.672258588037	18551.093303295	12632.8737658191	11214.1648113787	43008.4517523295	15638.5237929499	21979.6028902376	12095.857932091	7425.5340744448	17339.4202741829
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	26341.3259804128	35080.7874529376	22439.115960423	42344.0088861321	57751.5850546357	61016.5709987459	19214.1404710047	19552.4364233399	19554.4034238663	8927.22621086603	5995.9281169164	6925.61252872691	7478.79740319505	13347.3710808511	9442.55313970526	5765.82871144594	14433.8693892774	14437.0665487701	3548.49889283602	1984.50334149308	1846.33590768073	9145.56541760331	2992.96496506992	4209.64804404021	2707.23553580909	1412.5815098255	3602.8022150061
