superkingdom	phylum	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Actinobacteria	11528.8573787554	14426.3159986955	7959.85943749633	1692.6358477436	1985.42817122219	1906.66540843925	7253.1334982897	7707.56925723611	6384.38891564246	1606.5150712937	1022.31588374361	971.030522245998	10467.5593053213	19743.4264894204	11312.7802445064	16889.6596540237	45739.4792504698	36510.8469723833	28630.9509628117	18977.3953235311	15332.7018750621	2535.73639912343	1191.77104175729	1514.15631417309	22250.8037269101	12078.7962125779	30868.9753940696
Bacteria	Bacteroidetes	53177.8654661901	65745.2572145349	41789.1336467953	42949.1258134958	56692.6344654167	57405.6860295686	37500.3554421641	36388.0843868054	32392.6566949795	7655.06251983031	4957.66122541155	6040.43266221581	8998.64856013252	15455.8699700842	12464.7398463482	8753.80989580701	20883.37261142	23626.5310984289	155724.183669062	98219.8694374802	114771.076593827	195629.464299854	75044.8174739535	130930.369447398	121965.325690722	65666.2684601379	230084.355293952
Bacteria	Candidatus Melainabacteria	2243.52022160485	3003.71252040692	1889.38057258812	3856.37640106258	5167.9017960865	5299.42004248807	1357.61086208902	1277.57191531607	1401.04936183605	120.198836571298	108.195773425002	138.251478091844	150.273985068371	202.471095136532	174.268359411546	135.284423634119	252.329202849884	294.276304408432	276.15824960256	230.724120303161	168.033974513202	651.092558297706	279.205261189833	441.682310459415	111.099358092458	102.128087564467	261.178520631176
Bacteria	Cyanobacteria	0	0	0	42.5676395646799	83.9609295795893	106.464490927797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Deferribacteres	0	0	0	0	0	0	0	0	0	81.1342146856258	72.1305156172534	45.0820037256014	57.1041142822796	153.162250978789	129.198956115457	63.1327310292554	126.123719990538	168.188361099514	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	984356.20689892	1263337.53027132	811491.38269934	1517065.94304962	2027955.99601429	2192857.73858913	603518.462655655	582688.107708762	614263.532325707	1046310.06691096	740880.904015226	773445.663822056	843478.830879706	1616951.15693228	983084.95263914	679629.772224579	1873763.56099609	1638038.71293627	1056073.13529293	734697.738656421	659347.622368775	2397690.76080257	907697.592509538	1280087.10031253	713452.914388798	433877.605041398	1048942.97940648
Bacteria	Fusobacteria	162.195384414508	87.079750064211	78.1049155613339	63.0464325784502	96.0572326405618	129.068353333748	57.1102494245639	0	51.1113699906803	16828.6905318228	10850.6923657887	14350.067279019	5367.7946363724	10466.0899468845	8178.59014437627	3454.26413428499	8179.57954415955	8760.81159512254	171.098043372474	72.06213406955	126.105653592796	192.054408739813	111.081663054049	99.0509506898724	111.099358092458	39.0489746570022	141.068024021864
Bacteria	Lentisphaerae	372.448658281874	378.346500278986	291.391415748053	354.252308268493	462.275432082704	546.289309459121	132.255314456885	171.331264427997	159.347212323886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	3295.0679394934	5364.36820087576	2734.41512469529	3059.62383481279	4246.76423732592	4784.77075772187	2604.6173153597	1683.26900530612	1939.23371244743	8988.22927075617	5848.54154083944	6594.16995347918	9558.45375027012	16812.3119208248	12600.747844234	5462.61290068706	14640.2859522781	16148.9470822232	4928.34748081115	3609.1119492622	4825.16152235305	6820.74262933947	3017.38834843735	4745.50943709804	3978.53729984807	2454.0778780423	8324.46301362715
Bacteria	Synergistetes	248.697535568353	221.561665749258	169.005106770611	225.254045307102	367.46108817353	402.976457105124	63.1528249260889	111.210305878939	111.904286414089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Tenericutes	251.823738963964	375.888125709325	162.217901550463	659.34963320431	936.504240332111	867.074888027679	274.429661172093	279.53730527159	177.096689692344	339.561692722011	193.348238573539	234.426419373127	123.225336238585	255.426395126915	156.240601334169	54.1136226508956	159.156122854089	177.211987429239	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	2718.27448181529	3209.93975236695	2160.03358363429	1158.8249943431	1639.01639285318	1551.82182961823	1445.79105122185	1199.31885099598	1229.67943096636	0	0	0	33.0602766897408	0	0	0	45.0441857109064	0	0	0	30.0251556173325	30.0082284892425	0	36.0185166370333	36.0375734777106	0	30.0144731961414
