feature	Bacteria.Actinobacteria.Actinobacteria	Bacteria.Actinobacteria.Coriobacteriia	Bacteria.Bacteroidetes.Bacteroidia	Bacteria.Candidatus.Melainabacteria.unassigned	Bacteria.Cyanobacteria.Gloeobacteria	Bacteria.Cyanobacteria.unassigned	Bacteria.Deferribacteres.Deferribacteres	Bacteria.Firmicutes.Bacilli	Bacteria.Firmicutes.Clostridia	Bacteria.Firmicutes.Erysipelotrichia	Bacteria.Firmicutes.Negativicutes	Bacteria.Firmicutes.Tissierellia	Bacteria.Firmicutes.unassigned	Bacteria.Fusobacteria.Fusobacteriia	Bacteria.Lentisphaerae.Lentisphaeria	Bacteria.Proteobacteria.Alphaproteobacteria	Bacteria.Proteobacteria.Betaproteobacteria	Bacteria.Proteobacteria.Deltaproteobacteria	Bacteria.Proteobacteria.Epsilonproteobacteria	Bacteria.Proteobacteria.Gammaproteobacteria	Bacteria.Synergistetes.Synergistia	Bacteria.Tenericutes.Mollicutes	Bacteria.Verrucomicrobia.Verrucomicrobiae
PRMT_FM1_FR_MONT_20240807_bc25_D6323	6412.27315234734	5116.58422640804	53177.8654661901	2243.52022160485	0	0	0	7890.2221590675	952985.59994682	3038.79209822137	20299.585169193	66.9170628437256	75.0904627741625	162.195384414508	372.448658281874	591.712787751363	1384.66799610367	327.394385102615	0	991.292770535753	248.697535568353	251.823738963964	2718.27448181529
PRMT_FM2_FR_MONT_20240807_bc26_D6323	7487.38127931786	6938.93471937764	65745.2572145349	3003.71252040692	0	0	0	8343.38359663931	1225718.66817738	3697.43318302316	25464.1849435699	48.1119682811575	65.7484024218996	87.079750064211	378.346500278986	696.637997192811	2023.84768805344	586.987776745971	0	2056.89473888354	221.561665749258	375.888125709325	3209.93975236695
PRMT_FM3_FR_MONT_20240807_bc27_D6323	4874.23637696345	3085.62306053288	41789.1336467953	1889.38057258812	0	0	0	6474.17774498159	785616.78776922	2175.73688398524	17153.1254672423	0	71.5548339105972	78.1049155613339	291.391415748053	468.629493368003	1156.55355735052	283.114465858738	0	826.117608118025	169.005106770611	162.217901550463	2160.03358363429
PRMT_FO1_FR_ONT_20240807_bc10_D6323	223.721429624665	1468.91441811894	42949.1258134958	3856.37640106258	42.5676395646799	0	0	8855.24764101332	1466379.42397171	6469.46592322507	35154.7796207506	104.952942509123	102.07295041124	63.0464325784502	354.252308268493	585.416950104713	904.723926540096	350.347049895178	0	1219.1359082728	225.254045307102	659.34963320431	1158.8249943431
PRMT_FO2_FR_ONT_20240807_bc11_D6323	171.363546546415	1814.06462467578	56692.6344654167	5167.9017960865	41.9366718186847	42.0242577609046	0	11747.9565564415	1959679.89828757	8419.5601976808	47778.4427001946	174.170373654777	155.967898747732	96.0572326405618	462.275432082704	810.482899416523	1221.72792751465	383.45448535871	0	1831.09892503604	367.46108817353	936.504240332111	1639.01639285318
PRMT_FO3_FR_ONT_20240807_bc12_D6323	193.514228699883	1713.15117973937	57405.6860295686	5299.42004248807	58.439091998388	48.025398929409	0	13637.8288991204	2115265.30189911	8501.95171158237	55172.0731061163	136.618095981912	143.964877221026	129.068353333748	546.289309459121	861.456218762389	1408.05888016979	429.184061440506	0	2086.07159734918	402.976457105124	867.074888027679	1551.82182961823
PRMT_FP1_FR_PB_20240807_bc40_D6323	4755.28375528755	2497.84974300215	37500.3554421641	1357.61086208902	0	0	0	5451.12868173541	580212.409693137	4295.3478168351	13497.2811891973	62.2952747500293	0	57.1102494245639	132.255314456885	90.1740780387851	1496.88969544383	235.671755879664	0	781.881785997414	63.1528249260889	274.429661172093	1445.79105122185
PRMT_FP2_FR_PB_20240807_bc41_D6323	5009.63894427749	2697.93031295862	36388.0843868054	1277.57191531607	0	0	0	3378.7152308054	563145.238727728	4558.14966291939	11606.0040873092	0	0	0	171.331264427997	93.1801613555772	1124.17355958019	222.430062590733	0	243.48522177962	111.210305878939	279.53730527159	1199.31885099598
PRMT_FP3_FR_PB_20240807_bc42_D6323	4090.01737124778	2294.37154439468	32392.6566949795	1401.04936183605	0	0	0	5174.4249699722	591518.892192616	3325.47176299962	14196.6385813025	0	48.1048188158967	51.1113699906803	159.347212323886	99.2161888054383	1085.36497450798	150.327558796119	0	604.324990337895	111.904286414089	177.096689692344	1229.67943096636
PRMT_CO1_canis_ONT_20240807_bc01	173.143945180972	1433.37112611272	7655.06251983031	120.198836571298	0	0	81.1342146856258	306500.23777844	652268.085017144	14649.3249430464	72892.4191723319	0	0	16828.6905318228	0	360.596451889511	4107.93870513561	0	201.50923928499	4318.18487444606	0	339.561692722011	0
