feature	Bacteria.Actinobacteria.Actinobacteria	Bacteria.Actinobacteria.Coriobacteriia	Bacteria.Bacteroidetes.Bacteroidia	Bacteria.Candidatus.Melainabacteria.unassigned	Bacteria.Cyanobacteria.Gloeobacteria	Bacteria.Cyanobacteria.unassigned	Bacteria.Deferribacteres.Deferribacteres	Bacteria.Firmicutes.Bacilli	Bacteria.Firmicutes.Clostridia	Bacteria.Firmicutes.Erysipelotrichia	Bacteria.Firmicutes.Negativicutes	Bacteria.Firmicutes.Tissierellia	Bacteria.Firmicutes.unassigned	Bacteria.Fusobacteria.Fusobacteriia	Bacteria.Lentisphaerae.Lentisphaeria	Bacteria.Proteobacteria.Alphaproteobacteria	Bacteria.Proteobacteria.Betaproteobacteria	Bacteria.Proteobacteria.Deltaproteobacteria	Bacteria.Proteobacteria.Epsilonproteobacteria	Bacteria.Proteobacteria.Gammaproteobacteria	Bacteria.Synergistetes.Synergistia	Bacteria.Tenericutes.Mollicutes	Bacteria.Verrucomicrobia.Verrucomicrobiae
PRMT_FM1_FR_MONT_20240807_bc25_D6323	0.00605871697928086	0.00483446899281121	0.0502457753696869	0.00211981831357595	0	0	0	0.00745517569661555	0.90044043636761	0.00287124095380411	0.0191803184946862	6.32274289042831e-05	7.09501686816525e-05	0.000153252350011545	0.000351912801627408	0.000559087273550476	0.00130832098061652	0.000309342704656351	0	0.000936635448551459	0.000234984996062074	0.000237938828680191	0.00256839585058713
PRMT_FM2_FR_MONT_20240807_bc26_D6323	0.00552105687373658	0.00511664249484028	0.0484793402016996	0.00221488221834379	0	0	0	0.00615225719620936	0.903822341317246	0.00272641904142105	0.018776820369111	3.54768781338035e-05	4.84816594196067e-05	6.42110017801947e-05	0.00027898573187257	0.000513688011792804	0.00149234796154809	0.000432833961395105	0	0.00151671624737937	0.000163375486302591	0.000277172971802032	0.00236695037596649
PRMT_FM3_FR_MONT_20240807_bc27_D6323	0.00561079375074506	0.00355189885066228	0.0481039883544917	0.0021748893343701	0	0	0	0.00745250603857366	0.904333196504107	0.00250451762446839	0.0197451747790094	0	8.23676539034188e-05	8.9907533866261e-05	0.000335424260962589	0.000539445203197566	0.00133132309763502	0.000325896561622097	0	0.000950954191494646	0.000194543867711088	0.000186731031876081	0.00248644136130405
PRMT_FO1_FR_ONT_20240807_bc10_D6323	0.000142395509481198	0.000934943144710097	0.0273365080057156	0.00245452875614931	2.70936974316398e-05	0	0	0.00563623923528355	0.93332965697344	0.00411772308872872	0.0223755174602376	6.68010558720737e-05	6.49679818443958e-05	4.01281580537094e-05	0.000225476558081233	0.000372609566320682	0.000575843917480954	0.000222990916644663	0	0.000775962674101332	0.000143370997575054	0.000419666668069679	0.000737575634778793
PRMT_FO2_FR_ONT_20240807_bc11_D6323	8.16159133193762e-05	0.000863990878732091	0.027001198525751	0.00246133459264162	1.99733247883606e-05	2.00150396501984e-05	0	0.0055952401973113	0.93334357239765	0.00401001326787469	0.0227556053579789	8.29527306448539e-05	7.42833745060959e-05	4.57495128391719e-05	0.000220169530538515	0.000386011514109851	0.000581876616360113	0.000182629203641544	0	0.000872103864309705	0.000175011972645485	0.000446032137187772	0.000780620047519322
PRMT_FO3_FR_ONT_20240807_bc12_D6323	8.54043945985499e-05	0.000756071738726469	0.0253350768819859	0.00233881386135194	2.57911539970099e-05	2.11952379340595e-05	0	0.00601883659198176	0.93353834360254	0.00375219974113581	0.0243493077177412	6.02942008808927e-05	6.35365847003669e-05	5.69622433056116e-05	0.000241096006549333	0.000380189856481609	0.000621424155876998	0.000189413487498738	0	0.000920654171312337	0.000177847182544424	0.000382669565856343	0.000684871623000397
PRMT_FP1_FR_PB_20240807_bc40_D6323	0.00726877631234271	0.00381813409631692	0.0573218569847366	0.00207520101503072	0	0	0	0.00833242285347792	0.886894334121545	0.00656573278714805	0.0206315170319702	9.52225862379715e-05	0	8.72969205565634e-05	0.000202161289709936	0.000137837242984047	0.00228809823353519	0.000360240390433384	0	0.00119515976281978	9.65334103080297e-05	0.000419484498335962	0.00220999046251089
PRMT_FP2_FR_PB_20240807_bc41_D6323	0.00793284457198742	0.00427221643651624	0.0576211221853876	0.00202305586220254	0	0	0	0.00535025040269672	0.891749625067264	0.00721790396753062	0.0183782958314081	0	0	0	0.000271305837835265	0.000147552297770056	0.00178014707632262	0.000352221614031748	0	0.00038556280032117	0.00017610332424227	0.000442651859636473	0.00189914086484686
PRMT_FP3_FR_PB_20240807_bc42_D6323	0.00621479292405188	0.00348630402880169	0.0492207331524815	0.00212889845441652	0	0	0	0.00786255332690919	0.898814623987809	0.00505306371731112	0.0215718323400381	0	7.30954077827365e-05	7.76638707673191e-05	0.000242128538274583	0.000150759278548325	0.00164921513805895	0.000228423149315644	0	0.000918273526215823	0.000170038878628329	0.000269098919166012	0.00186850136142341
PRMT_CO1_canis_ONT_20240807_bc01	0.000160032563798771	0.00132482863288805	0.00707538042874025	0.0001110967407034	0	0	7.49902999747953e-05	0.283290407905105	0.602874872813513	0.0135400000624142	0.0673726170987406	0	0	0.0155543324854289	0	0.00033329016866459	0.003796863714893	0	0.000186249886810717	0.00399118892487048	0	0.000313848273454531	0
