feature	Bacteria.Actinobacteria.Actinobacteria	Bacteria.Actinobacteria.Coriobacteriia	Bacteria.Bacteroidetes.Bacteroidia	Bacteria.Candidatus.Melainabacteria.unassigned	Bacteria.Cyanobacteria.Gloeobacteria	Bacteria.Cyanobacteria.unassigned	Bacteria.Deferribacteres.Deferribacteres	Bacteria.Firmicutes.Bacilli	Bacteria.Firmicutes.Clostridia	Bacteria.Firmicutes.Erysipelotrichia	Bacteria.Firmicutes.Negativicutes	Bacteria.Firmicutes.Tissierellia	Bacteria.Firmicutes.unassigned	Bacteria.Fusobacteria.Fusobacteriia	Bacteria.Lentisphaerae.Lentisphaeria	Bacteria.Proteobacteria.Alphaproteobacteria	Bacteria.Proteobacteria.Betaproteobacteria	Bacteria.Proteobacteria.Deltaproteobacteria	Bacteria.Proteobacteria.Epsilonproteobacteria	Bacteria.Proteobacteria.Gammaproteobacteria	Bacteria.Synergistetes.Synergistia	Bacteria.Tenericutes.Mollicutes	Bacteria.Verrucomicrobia.Verrucomicrobiae
PRMT_FM1_FR_MONT_20240807_bc25_D6323	-7.3667719701064	-7.69242684863293	-4.31485388919302	-8.8818436657866	-16.6115659685739	-16.6085560007005	-15.1184375677754	-7.06754193166389	-0.151297249071398	-8.44410987843895	-5.70422951285511	-13.949089919838	-13.7828343601877	-12.6718031828014	-11.4724943831986	-10.8046388741362	-9.57806775274516	-11.6585063688085	-14.0116986106291	-10.0602247392472	-12.0551437367927	-12.0371216585498	-8.60491671161489
PRMT_FM2_FR_MONT_20240807_bc26_D6323	-7.5008398219066	-7.61058685040331	-4.36648612574549	-8.8185543025993	-16.6115659685739	-16.6085560007005	-15.1184375677754	-7.34466846797814	-0.145888875885493	-8.51877696810989	-5.73490340932247	-14.7827614123469	-14.3322013945314	-13.926819967527	-11.8075210391547	-10.9268199744044	-9.38820032556297	-11.1738986779493	-14.0116986106291	-9.36483307830541	-12.5795208492041	-11.816925797934	-8.7227548249341
PRMT_FM3_FR_MONT_20240807_bc27_D6323	-7.47757940344315	-8.13719378679325	-4.37769967539052	-8.84484229097305	-16.6115659685739	-16.6085560007005	-15.1184375677754	-7.06805864546654	-0.145073671386886	-8.64125152068309	-5.66235605156906	-16.944725427895	-13.5675625777419	-13.4411984619664	-11.5417253379204	-10.8562359612452	-9.55292354452522	-11.5832982485743	-14.0116986106291	-10.0383365329907	-12.3276168742438	-12.386750677944	-8.6517018767482
PRMT_FO1_FR_ONT_20240807_bc10_D6323	-12.7778087286901	-10.0628337443233	-5.19302722644287	-8.67033821589621	-15.1716831852788	-16.6085560007005	-15.1184375677754	-7.47105143521608	-0.0995413562758784	-7.92393747070708	-5.48193514298727	-13.8697695680045	-13.9099115842179	-14.6050255387965	-12.1147349296517	-11.3900476652639	-10.7620345574494	-12.1307274352272	-14.0116986106291	-10.3317251229928	-12.7679591678277	-11.2184684975032	-10.4049213812719
PRMT_FO2_FR_ONT_20240807_bc11_D6323	-13.5807900008106	-10.1766962978059	-5.21083274291413	-8.66634349426412	-15.6115659685739	-15.6085560007005	-15.1184375677754	-7.48158421887031	-0.0995198466584643	-7.96217727454914	-5.45763422353729	-13.5573510017192	-13.7166011196827	-14.4158840934063	-12.1490975527114	-11.3390684981146	-10.7469991092965	-12.418794899112	-14.0116986106291	-10.1632124147293	-12.480258758718	-11.1305647176301	-10.3230918656769
PRMT_FO3_FR_ONT_20240807_bc12_D6323	-13.5153301668579	-10.3691892506657	-5.30271998289605	-8.74000723784578	-15.242764148052	-15.525900312509	-15.1184375677754	-7.37629963574769	-0.0992188148149242	-8.05804765566914	-5.35997543456688	-14.0176212245951	-13.9420529318873	-14.0996345103279	-12.0181046248313	-11.3609923383544	-10.6521340568431	-12.3661733156136	-14.0116986106291	-10.0850530462812	-12.4570742601476	-11.35161321315	-10.5118787947143
PRMT_FP1_FR_PB_20240807_bc40_D6323	-7.10407177563528	-8.03291651227798	-4.124770842225	-8.91253319430282	-16.6115659685739	-16.6085560007005	-15.1184375677754	-6.9070482295927	-0.17316586490404	-7.25082824850401	-5.59900628352687	-13.3583366615263	-15.3322013945314	-13.4837097114885	-12.2722056062948	-12.8247466293236	-8.77163529286405	-11.4387524331439	-14.0116986106291	-9.70858080150056	-13.3386121274596	-11.2190948813684	-8.82174414116209
PRMT_FP2_FR_PB_20240807_bc41_D6323	-6.9779460020835	-7.87079954681758	-4.11725843216607	-8.94924812739077	-16.6115659685739	-16.6085560007005	-15.1184375677754	-7.54617787048009	-0.165289390770786	-7.1142043360084	-5.76585319407064	-16.944725427895	-15.3322013945314	-15.6050255387965	-11.8477922883419	-12.7264859921197	-9.13378784261896	-11.4712289368777	-14.0116986106291	-11.3407465146545	-12.471290236862	-11.1415398971012	-9.04043736628425
PRMT_FP3_FR_PB_20240807_bc42_D6323	-7.33007796296124	-8.16408589714955	-4.3445900425928	-8.87567714783739	-16.6115659685739	-16.6085560007005	-15.1184375677754	-6.99078638771543	-0.153904497090666	-7.62862591272736	-5.53470746364207	-16.944725427895	-13.7398597026939	-13.6523968614777	-12.0119392481648	-12.6954655833696	-9.24400467584084	-12.0960035129533	-14.0116986106291	-10.0887884261965	-12.5218477297075	-11.8595757831343	-9.06390266976971
PRMT_CO1_canis_ONT_20240807_bc01	-12.6093468816186	-9.55997852609687	-7.14297656386928	-13.135895887215	-16.6115659685739	-16.6085560007005	-13.7029364799389	-1.81964634139591	-0.730069494260686	-6.20662844421155	-3.89169384767025	-16.944725427895	-15.3322013945314	-6.00653970686805	-13.2722056062948	-11.550933617841	-8.04097606905422	-16.0709025380029	-12.3904728307407	-7.96896571352457	-14.3386121274596	-11.637645107176	-17.404762356635
