feature	Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae	Bacteria.Actinobacteria.Actinobacteria.Corynebacteriales.Segniliparaceae	Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Cellulomonadaceae	Bacteria.Actinobacteria.Actinobacteria.Propionibacteriales.Propionibacteriaceae	Bacteria.Actinobacteria.Actinobacteria.Streptomycetales.Streptomycetaceae	Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Atopobiaceae	Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae	Bacteria.Actinobacteria.Coriobacteriia.Eggerthellales.Eggerthellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Barnesiellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Muribaculaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Odoribacteraceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.missing	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.unassigned	Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales.unassigned	Bacteria.Cyanobacteria.Gloeobacteria.Gloeobacterales.Gloeobacteraceae	Bacteria.Cyanobacteria.unassigned.Oscillatoriales.Oscillatoriaceae	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales.Deferribacteraceae	Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Listeriaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae	Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae	Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae	Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Caldicoprobacteraceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Catabacteriaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales.Family.XII..Incertae.Sedis	Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales.Family.XIII..Incertae.Sedis	Bacteria.Firmicutes.Clostridia.Clostridiales.Defluviitaleaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Gracilibacteraceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Vallitaleaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.missing	Bacteria.Firmicutes.Clostridia.Clostridiales.unassigned	Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacterales.Family.IV..Incertae.Sedis	Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae	Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae	Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae	Bacteria.Firmicutes.Negativicutes.Selenomonadales.Sporomusaceae	Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae	Bacteria.Firmicutes.Tissierellia.Tissierellales.Gottschalkiaceae	Bacteria.Firmicutes.unassigned.unassigned.unassigned	Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales.Fusobacteriaceae	Bacteria.Lentisphaerae.Lentisphaeria.Victivallales.Victivallaceae	Bacteria.Lentisphaerae.Lentisphaeria.Victivallales.unassigned	Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae	Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales.Kiloniellaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Aurantimonadaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Cohaesibacteraceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Methylocystaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Sneathiellales.Sneathiellaceae	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae	Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales.unassigned	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales.Desulfobacteraceae	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae	Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae	Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae	Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae	Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae	Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae	Bacteria.Synergistetes.Synergistia.Synergistales.Synergistaceae	Bacteria.Tenericutes.Mollicutes.Acholeplasmatales.Acholeplasmataceae	Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales.Anaeroplasmataceae	Bacteria.Tenericutes.Mollicutes.Mycoplasmatales.Mycoplasmataceae	Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Akkermansiaceae
PRMT_FM1_FR_MONT_20240807_bc25_D6323	6360.0572071895	52.2159451578428	0	0	0	0	3882.1409821075	1234.44324430055	14175.9949711584	663.774248240936	0	2303.77531093571	30.0615587438203	186.224329141965	2746.73433665571	4830.43958221559	28240.8611290979	0	2243.52022160485	0	0	0	881.194852322229	360.431517858556	45.1197173973462	0	328.883857555719	1057.54510574888	449.676065473088	2572.67142874412	2194.69961396756	45.2655102222648	1119.99825423249	12346.6352147895	13307.0555326023	0	2320.88167667466	0	20146.3981975226	62.7950667721233	11803.8207516556	522820.110316319	23076.115386304	533.155661706097	6242.99840415157	313812.474407578	327.336727107931	16117.9201304923	8844.03473936198	58.6039693276387	3038.79209822137	5353.0743221738	12275.2488005817	0	2671.26204643751	66.9170628437256	75.0904627741625	162.195384414508	38.7117823250739	333.7368759568	64.0975065062672	242.070979654765	0	0	0	78.0940735107156	0	0	207.450228079615	0	141.170055961678	1243.49794014199	0	0	327.394385102615	0	0	991.292770535753	0	0	248.697535568353	251.823738963964	0	0	2718.27448181529
PRMT_FM2_FR_MONT_20240807_bc26_D6323	7487.38127931786	0	0	0	0	0	5202.19667497569	1736.73804440195	17108.6003789557	864.792000637682	0	2912.61037481714	0	144.132028467611	3221.94427897386	6180.93576017636	35312.2423925066	0	3003.71252040692	0	0	0	663.609680266281	237.217250274543	0	0	291.219789824994	1416.54007393831	345.342831400543	3013.43957350297	2376.01439743168	46.5108828644685	1329.45572677463	15204.2696500442	16644.0869764048	0	3102.38758803724	0	27627.5835014421	82.9492838082177	16032.2966618832	675740.631544502	28831.2628081756	744.184796902106	7857.04622685369	400364.093294769	441.356648920142	20449.2487199124	11160.0327034506	61.2711626375443	3697.43318302316	6630.00986833646	16077.6540795016	0	2756.52099573184	48.1119682811575	65.7484024218996	87.079750064211	66.1948823447141	312.151617934272	86.6565450161013	262.995775178044	0	0	0	96.0889201808077	0	0	250.896756817857	0	216.198000157775	1807.64968789567	0	95.8913686991435	491.096408046828	0	0	2056.89473888354	0	0	221.561665749258	293.331512330286	0	82.556613379039	3209.93975236695
PRMT_FM3_FR_MONT_20240807_bc27_D6323	4874.23637696345	0	0	0	0	0	2105.82736885544	979.795691677444	11296.695484384	510.687389179072	0	1751.35252970222	0	231.313766172114	2475.35136877285	3802.79601765338	21720.9370909318	0	1889.38057258812	0	0	0	715.428511066256	237.318793403386	0	0	336.348071049628	824.357155176123	376.035831183617	2116.71020156848	1867.9791815341	55.1196632932216	1069.77694830236	9953.80492248562	10588.5951915968	0	1871.72041704185	0	16952.5090642874	63.5740718649967	9850.14369812134	427853.057720638	19188.5276994388	535.705423840583	5490.95724965166	261636.386941755	249.190279152537	13357.910931721	6850.15774488592	49.6498011427078	2175.73688398524	4800.94299544928	10008.9752767017	0	2343.20719509133	0	71.5548339105972	78.1049155613339	43.0530001242364	248.338415623817	0	205.824060743639	0	0	0	60.0807042779528	0	0	202.724728346411	0	147.197725480975	1009.35583186955	48.7997191747369	0	234.314746684002	0	0	826.117608118025	0	0	169.005106770611	162.217901550463	0	0	2160.03358363429
PRMT_FO1_FR_ONT_20240807_bc10_D6323	161.306146683982	0	0	0	62.4152829406836	0	475.477536612704	993.436881506234	11568.8878372859	555.380864720766	0	3848.74021666821	30.036085419488	75.0534551515415	2209.66556115695	3674.56511701567	20986.7966760773	0	3856.37640106258	42.5676395646799	0	0	378.891594272461	195.138983418703	76.9820112720355	0	276.082724540442	1784.31045105183	183.130422135718	3572.02322218019	2388.68823214194	66.4057325828208	2218.3857757124	20021.458619606	21018.2172963116	0	3216.31379699584	0	32887.2786590469	108.043856808043	17854.3516089715	748501.646608297	37411.2152614759	1031.88348459582	10049.7898260356	530313.166300175	478.705874214041	28456.6323764659	12603.5023145348	142.426579877151	6469.46592322507	8921.57985461004	23472.9642907937	64.2573561262838	2695.97811922059	104.952942509123	102.07295041124	63.0464325784502	70.8388508464172	283.413457422076	70.8922008254579	172.406574912137	0	0	0	72.0513169361219	0	0	270.066857430996	0	189.134706956907	715.589219583189	73.2455351154346	163.020262964466	114.081251815277	0	0	1126.0696055449	93.0663027279024	0	225.254045307102	557.084715530619	0	102.264917673691	1158.8249943431
PRMT_FO2_FR_ONT_20240807_bc11_D6323	171.363546546415	0	0	0	0	0	584.743339688672	1229.3212849871	15447.8410294544	612.794785907678	0	4795.01230252994	0	162.096580475959	2677.58561526852	4613.86949190416	28383.434659876	0	5167.9017960865	41.9366718186847	42.0242577609046	0	663.46203385314	269.449408644651	88.9689603739271	0	419.498862665922	2008.07092989227	303.986082106968	4662.44404367905	3332.07623522558	75.7786510213582	2709.75078358885	25896.5203559806	27397.5557762185	49.3668743298522	3972.99800430962	0	45026.2008376914	143.003038742483	23444.6106190461	998308.860301542	49142.3734663768	1356.11389870017	13454.0925217422	712672.345470295	629.857075374345	38316.8217502233	16940.9809562222	142.667906161389	8419.5601976808	11683.7817189403	31975.6693871261	72.5310023256017	4046.46059180268	174.170373654777	155.967898747732	96.0572326405618	69.6167498302459	392.658682252458	79.4524933635519	301.048538777836	0	0	0	117.069762424843	99.0465589997434	0	213.865545850548	0	192.114465281124	1029.61346223352	93.621636726892	136.741634110922	153.091214520895	0	0	1690.01486459522	141.084060440825	0	367.46108817353	696.395769703007	0	240.108470629104	1639.01639285318
PRMT_FO3_FR_ONT_20240807_bc12_D6323	193.514228699883	0	0	0	0	0	538.269540017431	1174.88163972194	15440.2068733675	630.333818606678	0	5300.86144306591	0	234.128896219697	2764.45218656646	4623.24459231237	28412.45821943	0	5299.42004248807	58.439091998388	48.025398929409	0	933.507402759685	342.182154664292	103.649058299991	0	478.603304667716	2121.73438481292	452.365621360587	5336.92053787179	3868.86643468339	87.8559042493124	2892.77313665844	28426.819323813	30103.2452244001	66.9334025523854	4180.5336002754	39.1073803835872	46256.5669100904	198.058848951306	25238.1123430914	1080994.18758245	52393.8416834131	1498.19389804976	14653.7049964692	765690.472850949	749.467582913299	43932.2590968284	17714.1821342916	148.985999270461	8501.95171158237	13593.4815642428	36961.7916921432	83.3806673002018	4533.41918243011	136.618095981912	143.964877221026	129.068353333748	94.8675482756275	451.421761183494	130.116909901914	373.614483209324	0	0	0	99.0524572096209	93.7555415397126	0	164.916826901817	0	264.453237745294	1143.6056424245	85.8862564916718	184.213520224986	159.084284723848	0	0	1917.98257905407	168.089018295114	0	402.976457105124	675.319466877542	0	191.755421150137	1551.82182961823
PRMT_FP1_FR_PB_20240807_bc40_D6323	4755.28375528755	0	0	0	0	0	1526.78837441141	971.061368590737	10543.3689908385	447.864587592633	0	1480.66722197251	0	165.319143071106	2140.63801902288	3332.82845802416	19389.6690216423	0	1357.61086208902	0	0	0	655.584080153488	217.037913149842	0	0	291.744832176335	658.06851313651	375.959761238497	1815.87645191323	1436.85712996751	0	657.273124518315	7064.40554852829	8820.94148649971	0	1476.24487959465	0	12321.2127404686	41.4362964008772	7127.09696283117	325564.285339512	13076.8862079401	333.644857876599	4445.54059961478	184230.88552375	191.348295508439	9621.86486689659	5239.34296319577	0	4295.3478168351	3382.55827413236	8347.61974307467	0	1767.10317199026	62.2952747500293	0	57.1102494245639	0	132.255314456885	0	90.1740780387851	0	0	0	0	0	0	0	0	81.1566702349066	1415.73302520893	0	43.3003893969229	192.371366482741	0	0	781.881785997414	0	0	63.1528249260889	274.429661172093	0	0	1445.79105122185
PRMT_FP2_FR_PB_20240807_bc41_D6323	5009.63894427749	0	0	0	0	0	1662.21500180377	1035.71531115486	10065.4029851356	459.889183464623	0	1493.88838413502	0	51.0987981627359	1956.78338846713	3366.95816510477	18994.0634823355	0	1277.57191531607	0	0	0	159.203075442716	87.1683175789618	0	0	145.229557005459	642.076962703249	72.1394797591566	1431.21199597945	841.685842336409	0	643.446588624265	6407.59386802256	8208.64295513274	0	1200.57968521693	0	12608.3374426455	45.447472033003	7014.4310755463	323687.387099986	12445.4877344215	376.519703491801	3802.04596867845	172356.811546114	184.490208505802	9112.85199541619	5051.16538389179	0	4558.14966291939	2881.98862113102	7870.31627293873	0	853.699193239438	0	0	0	0	171.331264427997	0	93.1801613555772	0	0	0	0	0	0	0	0	84.1627263856827	1040.01083319451	0	0	222.430062590733	0	0	243.48522177962	0	0	111.210305878939	279.53730527159	0	0	1199.31885099598
PRMT_FP3_FR_PB_20240807_bc42_D6323	4090.01737124778	0	0	0	0	0	1464.18597596901	830.185568425673	8672.84019912962	408.89095992554	0	1476.21662724937	0	192.419254595816	1737.78657968313	3028.34511142419	16876.1579629719	0	1401.04936183605	0	0	0	562.225064525983	204.460860804052	0	0	222.484801870092	723.412797007777	285.626066270945	1802.22065363452	1373.99472585883	0	641.681553967104	7089.98746963924	8116.40126959756	0	1398.68894794647	0	12950.3396305323	74.7804729520756	7925.02690217648	334933.555589647	13473.7494614458	279.618546663496	4497.46334746013	185113.098943324	178.259399785184	9981.23290884052	4865.00774863912	0	3325.47176299962	3383.61798696788	9074.11256376367	0	1738.90803057091	0	48.1048188158967	51.1113699906803	37.2413438521971	122.105868471689	0	99.2161888054383	0	0	0	0	0	0	0	0	87.1899841017488	998.174990406228	0	0	150.327558796119	0	0	604.324990337895	0	0	111.904286414089	177.096689692344	0	0	1229.67943096636
PRMT_CO1_canis_ONT_20240807_bc01	140.089265123865	0	0	33.0546800571068	0	0	1256.07384181791	177.297284294812	3137.62841325479	0	0	0	0	467.376301019356	0	493.435113342682	445.805543596616	3110.81714861686	120.198836571298	0	0	81.1342146856258	441.739761340423	144.238600027355	0	0	219.362884802291	1151.72073070351	16165.1730761462	68558.8473231962	219819.155402224	0	0	348.576995821459	10598.7134544844	0	32470.0553519619	0	51.0845055428015	0	1660.98396936236	303419.997137498	1710.99283144212	4023.65559129693	235513.722991992	61354.5341177487	0	256.379053889017	859.38901610403	0	14649.3249430464	26193.7546331789	44872.2413329995	0	1826.42320615344	0	0	16828.6905318228	0	0	0	105.126446691172	0	0	0	0	0	57.094389545816	198.375615652523	0	0	4107.93870513561	0	0	0	201.50923928499	1694.80359533207	2623.38127911399	0	0	0	0	339.561692722011	0	0
