feature	Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae	Bacteria.Actinobacteria.Actinobacteria.Corynebacteriales.Segniliparaceae	Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Cellulomonadaceae	Bacteria.Actinobacteria.Actinobacteria.Propionibacteriales.Propionibacteriaceae	Bacteria.Actinobacteria.Actinobacteria.Streptomycetales.Streptomycetaceae	Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Atopobiaceae	Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae	Bacteria.Actinobacteria.Coriobacteriia.Eggerthellales.Eggerthellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Barnesiellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Muribaculaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Odoribacteraceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.missing	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.unassigned	Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales.unassigned	Bacteria.Cyanobacteria.Gloeobacteria.Gloeobacterales.Gloeobacteraceae	Bacteria.Cyanobacteria.unassigned.Oscillatoriales.Oscillatoriaceae	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales.Deferribacteraceae	Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Listeriaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae	Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae	Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae	Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae	Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Caldicoprobacteraceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Catabacteriaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales.Family.XII..Incertae.Sedis	Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales.Family.XIII..Incertae.Sedis	Bacteria.Firmicutes.Clostridia.Clostridiales.Defluviitaleaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Gracilibacteraceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.Vallitaleaceae	Bacteria.Firmicutes.Clostridia.Clostridiales.missing	Bacteria.Firmicutes.Clostridia.Clostridiales.unassigned	Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacterales.Family.IV..Incertae.Sedis	Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae	Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae	Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae	Bacteria.Firmicutes.Negativicutes.Selenomonadales.Sporomusaceae	Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae	Bacteria.Firmicutes.Tissierellia.Tissierellales.Gottschalkiaceae	Bacteria.Firmicutes.unassigned.unassigned.unassigned	Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales.Fusobacteriaceae	Bacteria.Lentisphaerae.Lentisphaeria.Victivallales.Victivallaceae	Bacteria.Lentisphaerae.Lentisphaeria.Victivallales.unassigned	Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae	Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales.Kiloniellaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Aurantimonadaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Cohaesibacteraceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Methylocystaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae	Bacteria.Proteobacteria.Alphaproteobacteria.Sneathiellales.Sneathiellaceae	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae	Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales.unassigned	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales.Desulfobacteraceae	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae	Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae	Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae	Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae	Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae	Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae	Bacteria.Synergistetes.Synergistia.Synergistales.Synergistaceae	Bacteria.Tenericutes.Mollicutes.Acholeplasmatales.Acholeplasmataceae	Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales.Anaeroplasmataceae	Bacteria.Tenericutes.Mollicutes.Mycoplasmatales.Mycoplasmataceae	Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Akkermansiaceae
PRMT_FM1_FR_MONT_20240807_bc25_D6323	-7.37856811109277	-14.3069736139718	-16.0709025380029	-16.2862175406447	-15.6195409490154	-15.7334853035543	-8.09075534208151	-9.74374734579334	-6.22222976125033	-10.638843288481	-15.9222780394834	-8.8436078369263	-15.1035442257043	-12.4724943831906	-8.58989047323915	-7.77545336942496	-5.22789567808483	-9.53780234576934	-8.8818436657866	-16.6115659685739	-16.6085560007005	-15.1184375677754	-10.2300748809752	-11.5198107754109	-14.5177060115367	-15.7338675507253	-11.6519577494226	-9.96688865577748	-11.2006498513001	-8.68434063973258	-8.91358436010866	-14.5130518269212	-9.88411136983463	-6.42156183571588	-6.3134883786887	-16.3762350357345	-8.8329348803624	-16.822257010324	-5.71515782378787	-14.0408128187749	-6.48642584064009	-1.01743702800407	-5.51927937610646	-10.9549791402412	-7.40536875634701	-1.75384896134529	-11.6587604667173	-6.03701416913307	-6.90290316128638	-14.1404656594504	-8.44410987843895	-7.62724017016257	-6.4299274924037	-16.3288987360055	-8.63008634441773	-13.949089919838	-13.7828343601877	-12.6718031828014	-14.7386913110024	-11.6308248436216	-14.0111958083001	-12.0941058140442	-16.5173560110749	-13.4020973461718	-14.263554822158	-13.7262509754444	-15.5607939450603	-15.7512468605103	-12.3167707048733	-15.8119528788744	-12.8721018419078	-9.73320373562851	-15.6872706204414	-14.906397673135	-11.6585063688085	-14.0116986106291	-13.2725385643932	-10.0602247392472	-15.0431813841332	-16.2672588328851	-12.0551437367927	-12.0371216585498	-14.6885387599858	-15.003773444218	-8.60491671161489
PRMT_FM2_FR_MONT_20240807_bc26_D6323	-7.5008398219066	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-15.7334853035543	-8.02618010142688	-9.60892087852836	-6.30865120897935	-10.6148759612123	-15.9222780394834	-8.86298832202134	-16.674743478413	-13.1998381780496	-8.7173695005005	-7.77747577359419	-5.26320451178029	-9.53780234576934	-8.8185543025993	-16.6115659685739	-16.6085560007005	-15.1184375677754	-10.9968942078999	-12.4810202138716	-15.5264762450567	-15.7338675507253	-12.1851207422259	-9.90292962831347	-11.9391998627472	-8.81388990879001	-9.15675746631047	-14.831588909043	-9.99446531076862	-6.47889643262585	-6.3483632170277	-16.3762350357345	-8.7719221078026	-16.822257010324	-5.61726356994884	-13.9969277093716	-6.40239184003643	-1.00497524929326	-5.55573892137944	-10.8315682216935	-7.43131399595287	-1.76013226300951	-11.5852842076536	-6.05132510827166	-6.92503169472355	-14.4339490071251	-8.51877696810989	-7.67629002677273	-6.39831603403376	-16.3288987360055	-8.94245245435089	-14.7827614123469	-14.3322013945314	-13.926819967527	-14.322437550464	-12.0849821958123	-13.9338485165301	-12.3321895154235	-16.5173560110749	-13.4020973461718	-14.263554822158	-13.7847871479045	-15.5607939450603	-15.7512468605103	-12.4001353172867	-15.8119528788744	-12.6148759612233	-9.55118592562331	-15.6872706204414	-13.7877562719242	-11.4312228688741	-14.0116986106291	-13.2725385643932	-9.36483307830541	-15.0431813841332	-16.2672588328851	-12.5795208492041	-12.1746970725561	-14.6885387599858	-14.003773444218	-8.7227548249341
PRMT_FM3_FR_MONT_20240807_bc27_D6323	-7.47757940344315	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-15.7334853035543	-8.688368447743	-9.79220276697419	-6.26492670866619	-10.732243280999	-15.9222780394834	-8.95428610690698	-16.674743478413	-11.8748325872281	-8.45512229395151	-7.83569506521228	-5.32174117941674	-9.53780234576934	-8.84484229097305	-16.6115659685739	-16.6085560007005	-15.1184375677754	-10.245876101465	-11.8378573619869	-15.5264762450567	-15.7338675507253	-11.33472873048	-10.0414141900972	-11.1738135768539	-8.6809318562203	-8.8612772435284	-13.9440447345804	-9.66544559820978	-6.44750750701237	-6.35831632804611	-16.3762350357345	-8.85839066744271	-16.822257010324	-5.67932870912647	-13.7381733149537	-6.46261084857791	-1.02178402910733	-5.50058350463365	-10.6632438118993	-7.30569794086241	-1.73133623334274	-11.7674359245376	-6.02313312534709	-6.98661840923256	-14.0948238702436	-8.64125152068309	-7.49943781386239	-6.43953324708666	-16.3288987360055	-8.5342710916542	-16.944725427895	-13.5675625777419	-13.4411984619664	-14.3004980352071	-11.7723762646718	-15.6896858446037	-12.0432720723256	-16.5173560110749	-13.4020973461718	-14.263554822158	-13.81971008522	-15.5607939450603	-15.7512468605103	-12.0651616354756	-15.8119528788744	-12.5269283359923	-9.74932075732872	-14.119738964121	-14.906397673135	-11.8562359612452	-14.0116986106291	-13.2725385643932	-10.0383365329907	-15.0431813841332	-16.2672588328851	-12.3276168742438	-12.386750677944	-14.6885387599858	-15.003773444218	-8.6517018767482
PRMT_FO1_FR_ONT_20240807_bc10_D6323	-13.2497107688169	-15.6533347876892	-16.0709025380029	-16.2862175406447	-14.6195409490154	-15.7334853035543	-11.6901349990313	-10.6270838752073	-7.08540581433082	-11.4660347123529	-15.9222780394834	-8.67319779337192	-15.674743478413	-14.3535217890482	-9.47375605802461	-8.74001057057866	-6.22617401610384	-9.53780234576934	-8.67033821589621	-15.1716831852788	-16.6085560007005	-15.1184375677754	-12.01772704932	-12.9750101656119	-14.3169189139112	-15.7338675507253	-12.4744115669786	-9.78221743767872	-13.0666407077032	-8.78084262874329	-9.36136552060059	-14.5301324882098	-9.46807381741766	-6.29410891109417	-6.22401568417336	-16.3762350357345	-8.9321759196458	-16.822257010324	-5.57812635982418	-13.8278951379493	-6.45938025091403	-1.06972240857078	-5.3921851625063	-10.5723040107232	-7.28849066324138	-1.5668833313048	-11.6803726737453	-5.78689105338458	-6.96183130185254	-13.4292937737689	-7.92393747070708	-7.46028487973561	-6.06465594892049	-14.5775786559175	-9.18677530084197	-13.8697695680045	-13.9099115842179	-14.6050255387965	-14.4368994693891	-12.4366039193809	-14.4358133594234	-13.1536973890457	-16.5173560110749	-13.4020973461718	-14.263554822158	-14.4124154782892	-15.5607939450603	-15.7512468605103	-12.5061955799003	-15.8119528788744	-13.0200980555136	-11.1003805300441	-14.3886994594117	-13.2344608846896	-13.7494504655699	-14.0116986106291	-13.2725385643932	-10.4462880811457	-14.0431813841332	-16.2672588328851	-12.7679591678277	-11.4616154492682	-14.6885387599858	-13.9072008747285	-10.4049213812719
PRMT_FO2_FR_ONT_20240807_bc11_D6323	-13.5807900008106	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-15.7334853035543	-11.8100467202255	-10.7380601339708	-7.08658883161607	-11.742446222548	-15.9222780394834	-8.77438763274309	-16.674743478413	-13.6609965877272	-9.61498944390335	-8.82994495303518	-6.2089448751213	-9.53780234576934	-8.66634349426412	-15.6115659685739	-15.6085560007005	-15.1184375677754	-11.6278363336398	-12.9278358239148	-14.5264762450567	-15.7338675507253	-12.289183345117	-10.0301119198584	-12.753844972482	-8.81483573853632	-9.29950074072014	-14.7579868814341	-9.59776197682281	-6.3412357946361	-6.25994686313949	-15.3762350357345	-9.04569408076289	-16.822257010324	-5.54322930165038	-13.8418044405196	-6.48473773642951	-1.07257972904748	-5.4170265163003	-10.596443795374	-7.28594897010681	-1.55882701659835	-11.702825749178	-5.77601615521658	-6.95347663923202	-13.845189414338	-7.96217727454914	-7.48948674408797	-6.03701949343371	-14.8211805532393	-9.01926160427658	-13.5573510017192	-13.7166011196827	-14.4158840934063	-14.8803438781795	-12.3845744468595	-14.6896858446037	-12.7678541294711	-16.5173560110749	-13.4020973461718	-14.263554822158	-14.1304817495338	-14.3716714843077	-15.7512468605103	-13.2611461641056	-15.8119528788744	-13.4158840934063	-10.9938193274192	-14.4529363522983	-13.906397673135	-13.7434587514348	-14.0116986106291	-13.2725385643932	-10.2788862136571	-13.8612952417287	-16.2672588328851	-12.480258758718	-11.5579428051114	-14.6885387599858	-13.094163944034	-10.3230918656769
PRMT_FO3_FR_ONT_20240807_bc12_D6323	-13.5153301668579	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-15.7334853035543	-12.0394410280957	-10.9133262969196	-7.19722154325176	-11.8116537473638	-15.9222780394834	-8.73961488949518	-16.674743478413	-13.240466812448	-9.67884810128491	-8.93693603037852	-6.31738996816797	-9.53780234576934	-8.74000723784578	-15.242764148052	-15.525900312509	-15.1184375677754	-11.2451083523622	-12.6930052925203	-14.4160628065518	-15.7338675507253	-12.2089394570473	-10.0605976608265	-12.2902805231705	-8.72983418960892	-9.1939307972988	-14.6545586663299	-9.61338853507639	-6.31666094079777	-6.2339946033009	-15.0469715549731	-9.082154622007	-15.822257010324	-5.61425543034485	-13.4818406555217	-6.4883096161634	-1.06769867011243	-5.4345163768445	-10.5626173694131	-7.27264814850297	-1.56522422423703	-11.561903737571	-5.68863293772382	-6.99900876811953	-13.8925930534863	-8.05804765566914	-7.38099861905603	-5.93787893383458	-14.7299849922265	-8.96524215448139	-14.0176212245951	-13.9420529318873	-14.0996345103279	-14.5437832472577	-12.2932938489109	-14.0879613496311	-12.5662194331275	-16.5173560110749	-13.4020973461718	-14.263554822158	-14.4815051456715	-14.5607939450603	-15.7512468605103	-13.7460312072098	-15.8119528788744	-13.0647571768573	-10.9522520774165	-14.6872706204414	-13.5863908645735	-13.7979784906486	-14.0116986106291	-13.2725385643932	-10.2062521041303	-13.7185443429724	-16.2672588328851	-12.4570742601476	-11.7121996700085	-14.6885387599858	-13.52850245052	-10.5118787947143
PRMT_FP1_FR_PB_20240807_bc40_D6323	-7.10407177563528	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-15.7334853035543	-8.74310310073976	-9.39596882891123	-5.95533917797871	-10.51246870447	-15.9222780394834	-8.78735577395132	-16.674743478413	-11.9502775114075	-8.25556234994905	-7.61685614389529	-5.07638693519713	-9.53780234576934	-8.91253319430282	-16.6115659685739	-16.6085560007005	-15.1184375677754	-9.96275048082474	-11.5575842209846	-15.5264762450567	-15.7338675507253	-11.1308242010948	-9.95729350774716	-10.7649530427395	-8.49293715888794	-8.83068658876292	-15.831588909043	-9.95903830669835	-6.53303504057298	-6.21267055985356	-16.3762350357345	-8.79167115158549	-16.822257010324	-5.73053084907213	-13.9465643370497	-6.52028865508135	-1.00680457391186	-5.64465605671316	-10.9372180328129	-7.20124433864007	-1.82823207401768	-11.7393302522367	-6.08728666937151	-6.96421730441963	-15.4339490071251	-7.25082824850401	-7.59548841826198	-6.292238323893	-16.3288987360055	-8.53221693334964	-13.3583366615263	-15.3322013945314	-13.4837097114885	-15.8803438781795	-12.2722056062948	-15.6896858446037	-12.8247466293236	-16.5173560110749	-13.4020973461718	-14.263554822158	-15.7407124661441	-15.5607939450603	-15.7512468605103	-14.7460312072098	-15.8119528788744	-12.9767497227687	-8.85205397531935	-15.6872706204414	-13.8830793979038	-11.7316372249321	-14.0116986106291	-13.2725385643932	-9.70858080150056	-15.0431813841332	-16.2672588328851	-13.3386121274596	-11.2190948813684	-14.6885387599858	-15.003773444218	-8.82174414116209
PRMT_FP2_FR_PB_20240807_bc41_D6323	-6.9779460020835	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-15.7334853035543	-8.56954562921043	-9.25202512958517	-5.97131960204233	-10.4232944598139	-15.9222780394834	-8.72358026983952	-16.674743478413	-13.5932194612563	-8.33416856934096	-7.55120683543625	-5.05517595564086	-9.53780234576934	-8.94924812739077	-16.6115659685739	-16.6085560007005	-15.1184375677754	-11.9537125201758	-12.8227049561931	-15.5264762450567	-15.7338675507253	-12.0862456265477	-9.94183448923973	-13.0957198017854	-8.7854152462588	-9.55129887538635	-15.831588909043	-9.93876032810167	-6.62286992261143	-6.26550889426371	-16.3762350357345	-9.03892146932623	-16.822257010324	-5.64634648422695	-13.7623087725301	-6.49232653614197	-0.964195291110263	-5.66510176599771	-10.7118553619954	-7.37587665602662	-1.87339812608296	-11.7410364761173	-6.11474999460508	-6.9660363521652	-15.4339490071251	-7.1142043360084	-7.77558799166426	-6.32623101865641	-16.3288987360055	-9.53085291002568	-16.944725427895	-15.3322013945314	-15.6050255387965	-15.8803438781795	-11.8477922883419	-15.6896858446037	-12.7264859921197	-16.5173560110749	-13.4020973461718	-14.263554822158	-15.7407124661441	-15.5607939450603	-15.7512468605103	-14.7460312072098	-15.8119528788744	-12.873327380449	-9.24605407486988	-15.6872706204414	-14.906397673135	-11.4712289368777	-14.0116986106291	-13.2725385643932	-11.3407465146545	-15.0431813841332	-16.2672588328851	-12.471290236862	-11.1415398971012	-14.6885387599858	-15.003773444218	-9.04043736628425
PRMT_FP3_FR_PB_20240807_bc42_D6323	-7.33007796296124	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-15.7334853035543	-8.81208612207665	-9.63067917549279	-6.24568040610562	-10.6523968614773	-15.9222780394834	-8.80028048853892	-16.674743478413	-11.7398598576539	-8.56493402022734	-7.7636553088018	-5.28527034217168	-9.53780234576934	-8.87567714783739	-16.6115659685739	-16.6085560007005	-15.1184375677754	-10.1929652566239	-11.6522883287341	-15.5264762450567	-15.7338675507253	-11.5304062407928	-9.82929390932103	-11.1699853825804	-8.51240927626892	-8.9038084672839	-15.831588909043	-10.0022555169521	-6.53640185585396	-6.34134474083823	-16.3762350357345	-8.87810977392096	-16.822257010324	-5.66726690474997	-13.1033795277677	-6.37576910098897	-0.974453822968336	-5.61010546031693	-11.2006529728812	-7.19307340946697	-1.82992175725039	-11.8501348751511	-6.04296690144338	-7.07974283076959	-15.4339490071251	-7.62862591272736	-7.60361823731044	-6.18042837726427	-16.3288987360055	-8.56400330190325	-16.944725427895	-13.7398597026939	-13.6523968614777	-14.109135989954	-12.3959804898202	-15.6896858446037	-12.6954655833696	-16.5173560110749	-13.4020973461718	-14.263554822158	-15.7407124661441	-15.5607939450603	-15.7512468605103	-14.7460312072098	-15.8119528788744	-12.8818787076004	-9.36482027138109	-15.6872706204414	-14.906397673135	-12.0960035129533	-14.0116986106291	-13.2725385643932	-10.0887884261965	-15.0431813841332	-16.2672588328851	-12.5218477297075	-11.8595757831343	-14.6885387599858	-15.003773444218	-9.06390266976971
PRMT_CO1_canis_ONT_20240807_bc01	-12.9149724112216	-15.6533347876892	-16.0709025380029	-14.9983923634651	-15.6195409490154	-15.7334853035543	-9.75046944471874	-12.5751483808978	-8.42971621907039	-12.8116537473638	-15.9222780394834	-15.6839257312618	-16.674743478413	-11.1767342371267	-16.7716443678149	-11.0984584362643	-11.2449042625592	-8.44209712742337	-13.135895887215	-16.6115659685739	-16.6085560007005	-13.7029364799389	-11.2581221228679	-12.8728615199715	-15.5264762450567	-15.7338675507253	-12.2679993702159	-9.87559978988367	-6.06457367532845	-3.9801197757339	-2.29921742395387	-15.831588909043	-15.0445803740856	-11.599841456587	-6.67357347835803	-16.3762350357345	-5.05835278542183	-16.822257010324	-14.370361140852	-15.0408128187749	-9.34735257480946	-1.83421836384586	-9.30455700893789	-8.07088390276216	-2.19972340881224	-4.14029266601463	-12.8501348751511	-12.0430404202851	-10.2980074811275	-15.4339490071251	-6.20662844421155	-5.36823975788032	-4.59163938213026	-16.3288987360055	-9.21036962893414	-16.944725427895	-15.3322013945314	-6.00653970686805	-15.8803438781795	-13.4366039193809	-15.6896858446037	-13.3291931650197	-16.5173560110749	-13.4020973461718	-14.263554822158	-15.7407124661441	-15.5607939450603	-14.2098979298285	-12.41308411877	-15.8119528788744	-14.4158840934063	-8.04097606905422	-15.6872706204414	-14.906397673135	-16.0709025380029	-12.3904728307407	-9.31827262997873	-8.68796322188653	-15.0431813841332	-16.2672588328851	-14.3386121274596	-13.386750677944	-11.637645107176	-15.003773444218	-17.404762356635
