feature	Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales	Bacteria.Actinobacteria.Actinobacteria.Corynebacteriales	Bacteria.Actinobacteria.Actinobacteria.Micrococcales	Bacteria.Actinobacteria.Actinobacteria.Propionibacteriales	Bacteria.Actinobacteria.Actinobacteria.Streptomycetales	Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales	Bacteria.Actinobacteria.Coriobacteriia.Eggerthellales	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales	Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales	Bacteria.Cyanobacteria.Gloeobacteria.Gloeobacterales	Bacteria.Cyanobacteria.unassigned.Oscillatoriales	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales	Bacteria.Firmicutes.Bacilli.Bacillales	Bacteria.Firmicutes.Bacilli.Lactobacillales	Bacteria.Firmicutes.Clostridia.Clostridiales	Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales	Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales	Bacteria.Firmicutes.Negativicutes.Acidaminococcales	Bacteria.Firmicutes.Negativicutes.Selenomonadales	Bacteria.Firmicutes.Negativicutes.Veillonellales	Bacteria.Firmicutes.Tissierellia.Tissierellales	Bacteria.Firmicutes.unassigned.unassigned	Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales	Bacteria.Lentisphaerae.Lentisphaeria.Victivallales	Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales	Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales	Bacteria.Proteobacteria.Alphaproteobacteria.Sneathiellales	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales	Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales	Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales	Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales	Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales	Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales	Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales	Bacteria.Synergistetes.Synergistia.Synergistales	Bacteria.Tenericutes.Mollicutes.Acholeplasmatales	Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales	Bacteria.Tenericutes.Mollicutes.Mycoplasmatales	Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales
PRMT_FM1_FR_MONT_20240807_bc25_D6323	6360.0572071895	52.2159451578428	0	0	0	3882.1409821075	1234.44324430055	53177.8654661901	2243.52022160485	0	0	0	2673.17505088273	5217.04710818476	952926.995977492	58.6039693276387	3038.79209822137	5353.0743221738	12275.2488005817	2671.26204643751	66.9170628437256	75.0904627741625	162.195384414508	372.448658281874	64.0975065062672	242.070979654765	78.0940735107156	0	207.450228079615	0	1384.66799610367	0	0	327.394385102615	0	0	991.292770535753	0	0	248.697535568353	251.823738963964	0	0	2718.27448181529
PRMT_FM2_FR_MONT_20240807_bc26_D6323	7487.38127931786	0	0	0	0	5202.19667497569	1736.73804440195	65745.2572145349	3003.71252040692	0	0	0	2608.58679430413	5734.79680233518	1225657.39701474	61.2711626375443	3697.43318302316	6630.00986833646	16077.6540795016	2756.52099573184	48.1119682811575	65.7484024218996	87.079750064211	378.346500278986	86.6565450161013	262.995775178044	96.0889201808077	0	250.896756817857	0	2023.84768805344	0	95.8913686991435	491.096408046828	0	0	2056.89473888354	0	0	221.561665749258	293.331512330286	0	82.556613379039	3209.93975236695
PRMT_FM3_FR_MONT_20240807_bc27_D6323	4874.23637696345	0	0	0	0	2105.82736885544	979.795691677444	41789.1336467953	1889.38057258812	0	0	0	2113.45253069539	4360.7252142862	785567.137968078	49.6498011427078	2175.73688398524	4800.94299544928	10008.9752767017	2343.20719509133	0	71.5548339105972	78.1049155613339	291.391415748053	0	205.824060743639	60.0807042779528	0	202.724728346411	0	1156.55355735052	48.7997191747369	0	234.314746684002	0	0	826.117608118025	0	0	169.005106770611	162.217901550463	0	0	2160.03358363429
PRMT_FO1_FR_ONT_20240807_bc10_D6323	161.306146683982	0	0	0	62.4152829406836	475.477536612704	993.436881506234	42949.1258134958	3856.37640106258	42.5676395646799	0	0	2711.40576455547	6143.84187645785	1466236.99739183	142.426579877151	6469.46592322507	8921.57985461004	23537.22164692	2695.97811922059	104.952942509123	102.07295041124	63.0464325784502	354.252308268493	70.8922008254579	172.406574912137	72.0513169361219	0	270.066857430996	0	904.723926540096	73.2455351154346	163.020262964466	114.081251815277	0	0	1126.0696055449	93.0663027279024	0	225.254045307102	557.084715530619	0	102.264917673691	1158.8249943431
PRMT_FO2_FR_ONT_20240807_bc11_D6323	171.363546546415	0	0	0	0	584.743339688672	1229.3212849871	56692.6344654167	5167.9017960865	41.9366718186847	42.0242577609046	0	3449.45019542991	8298.5063610116	1959537.23038141	142.667906161389	8419.5601976808	11683.7817189403	32048.2003894517	4046.46059180268	174.170373654777	155.967898747732	96.0572326405618	462.275432082704	79.4524933635519	301.048538777836	117.069762424843	99.0465589997434	213.865545850548	0	1221.72792751465	93.621636726892	136.741634110922	153.091214520895	0	0	1690.01486459522	141.084060440825	0	367.46108817353	696.395769703007	0	240.108470629104	1639.01639285318
PRMT_FO3_FR_ONT_20240807_bc12_D6323	193.514228699883	0	0	0	0	538.269540017431	1174.88163972194	57405.6860295686	5299.42004248807	58.439091998388	48.025398929409	0	3979.6763052046	9658.15259391577	2115116.31589983	148.985999270461	8501.95171158237	13593.4815642428	37045.1723594434	4533.41918243011	136.618095981912	143.964877221026	129.068353333748	546.289309459121	130.116909901914	373.614483209324	99.0524572096209	93.7555415397126	164.916826901817	0	1408.05888016979	85.8862564916718	184.213520224986	159.084284723848	0	0	1917.98257905407	168.089018295114	0	402.976457105124	675.319466877542	0	191.755421150137	1551.82182961823
PRMT_FP1_FR_PB_20240807_bc40_D6323	4755.28375528755	0	0	0	0	1526.78837441141	971.061368590737	37500.3554421641	1357.61086208902	0	0	0	1822.43533861618	3628.69334311924	580212.409693137	0	4295.3478168351	3382.55827413236	8347.61974307467	1767.10317199026	62.2952747500293	0	57.1102494245639	132.255314456885	0	90.1740780387851	0	0	0	0	1496.88969544383	0	43.3003893969229	192.371366482741	0	0	781.881785997414	0	0	63.1528249260889	274.429661172093	0	0	1445.79105122185
PRMT_FP2_FR_PB_20240807_bc41_D6323	5009.63894427749	0	0	0	0	1662.21500180377	1035.71531115486	36388.0843868054	1277.57191531607	0	0	0	1033.67791273039	2345.03731807501	563145.238727728	0	4558.14966291939	2881.98862113102	7870.31627293873	853.699193239438	0	0	0	171.331264427997	0	93.1801613555772	0	0	0	0	1124.17355958019	0	0	222.430062590733	0	0	243.48522177962	0	0	111.210305878939	279.53730527159	0	0	1199.31885099598
PRMT_FP3_FR_PB_20240807_bc42_D6323	4090.01737124778	0	0	0	0	1464.18597596901	830.185568425673	32392.6566949795	1401.04936183605	0	0	0	1712.5835242079	3461.8414457643	591518.892192616	0	3325.47176299962	3383.61798696788	9074.11256376367	1738.90803057091	0	48.1048188158967	51.1113699906803	159.347212323886	0	99.2161888054383	0	0	0	0	1085.36497450798	0	0	150.327558796119	0	0	604.324990337895	0	0	111.904286414089	177.096689692344	0	0	1229.67943096636
PRMT_CO1_canis_ONT_20240807_bc01	140.089265123865	0	0	33.0546800571068	0	1256.07384181791	177.297284294812	7655.06251983031	120.198836571298	0	0	81.1342146856258	1957.06197687358	304543.175801566	652268.085017144	0	14649.3249430464	26193.7546331789	44872.2413329995	1826.42320615344	0	0	16828.6905318228	0	0	105.126446691172	0	0	255.470005198339	0	4107.93870513561	0	0	0	201.50923928499	1694.80359533207	2623.38127911399	0	0	0	0	339.561692722011	0	0
