feature	Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales	Bacteria.Actinobacteria.Actinobacteria.Corynebacteriales	Bacteria.Actinobacteria.Actinobacteria.Micrococcales	Bacteria.Actinobacteria.Actinobacteria.Propionibacteriales	Bacteria.Actinobacteria.Actinobacteria.Streptomycetales	Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales	Bacteria.Actinobacteria.Coriobacteriia.Eggerthellales	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales	Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales	Bacteria.Cyanobacteria.Gloeobacteria.Gloeobacterales	Bacteria.Cyanobacteria.unassigned.Oscillatoriales	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales	Bacteria.Firmicutes.Bacilli.Bacillales	Bacteria.Firmicutes.Bacilli.Lactobacillales	Bacteria.Firmicutes.Clostridia.Clostridiales	Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales	Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales	Bacteria.Firmicutes.Negativicutes.Acidaminococcales	Bacteria.Firmicutes.Negativicutes.Selenomonadales	Bacteria.Firmicutes.Negativicutes.Veillonellales	Bacteria.Firmicutes.Tissierellia.Tissierellales	Bacteria.Firmicutes.unassigned.unassigned	Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales	Bacteria.Lentisphaerae.Lentisphaeria.Victivallales	Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales	Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales	Bacteria.Proteobacteria.Alphaproteobacteria.Sneathiellales	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales	Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales	Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales	Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales	Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales	Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales	Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales	Bacteria.Synergistetes.Synergistia.Synergistales	Bacteria.Tenericutes.Mollicutes.Acholeplasmatales	Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales	Bacteria.Tenericutes.Mollicutes.Mycoplasmatales	Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales
PRMT_FM1_FR_MONT_20240807_bc25_D6323	0.0060093800864192	4.93368928616538e-05	0	0	0	0.00366808975934634	0.00116637923346487	0.0502457753696869	0.00211981831357595	0	0	0	0.00252578308574461	0.00492939261087094	0.900385063669725	5.53726978846247e-05	0.00287124095380411	0.00505791963575883	0.0115984232995059	0.00252397555942152	6.32274289042831e-05	7.09501686816525e-05	0.000153252350011545	0.000351912801627408	6.05633356178726e-05	0.000228723811319326	7.37881680831662e-05	0	0.000196011958530111	0	0.00130832098061652	0	0	0.000309342704656351	0	0	0.000936635448551459	0	0	0.000234984996062074	0.000237938828680191	0	0	0.00256839585058713
PRMT_FM2_FR_MONT_20240807_bc26_D6323	0.00552105687373658	0	0	0	0	0.0038360038896698	0.00128063860517049	0.0484793402016996	0.00221488221834379	0	0	0	0.00192352379478976	0.0042287334014196	0.903777161091874	4.51802253714887e-05	0.00272641904142105	0.00488884700684767	0.0118553656155304	0.00203260774673291	3.54768781338035e-05	4.84816594196067e-05	6.42110017801947e-05	0.00027898573187257	6.38989381824293e-05	0.000193928234471146	7.08541976778438e-05	0	0.000185006641461385	0	0.00149234796154809	0	7.07085268584918e-05	0.000362125434536613	0	0	0.00151671624737937	0	0	0.000163375486302591	0.000216297247598191	0	6.08757242038411e-05	0.00236695037596649
PRMT_FM3_FR_MONT_20240807_bc27_D6323	0.00561079375074506	0	0	0	0	0.00242404391735362	0.00112785493330866	0.0481039883544917	0.0021748893343701	0	0	0	0.00243282133541284	0.00501968470316082	0.904276044004221	5.71524998856922e-05	0.00250451762446839	0.00552642483320256	0.0115214551758905	0.00269729476991631	0	8.23676539034188e-05	8.9907533866261e-05	0.000335424260962589	0	0.000236926620799795	6.91596414355896e-05	0	0.000233358940962182	0	0.00133132309763502	5.6173960023314e-05	0	0.000269722601598783	0	0	0.000950954191494646	0	0	0.000194543867711088	0.000186731031876081	0	0	0.00248644136130405
PRMT_FO1_FR_ONT_20240807_bc10_D6323	0.00010266906919936	0	0	0	3.97264402818383e-05	0.000302634692556811	0.000632308452153287	0.0273365080057156	0.00245452875614931	2.70936974316398e-05	0	0	0.0017257712231764	0.00391046801210714	0.933239004480117	9.06524933230421e-05	0.00411772308872872	0.00567845874624397	0.01498110696775	0.00171595174624368	6.68010558720737e-05	6.49679818443958e-05	4.01281580537094e-05	0.000225476558081233	4.51218780056979e-05	0.000109734333960359	4.58596389318763e-05	0	0.000171893715422748	0	0.000575843917480954	4.66197418257307e-05	0.00010376007984362	7.26110949753124e-05	0	0	0.000716727295466822	5.92353786345105e-05	0	0.000143370997575054	0.000354576501791784	0	6.50901662778955e-05	0.000737575634778793
PRMT_FO2_FR_ONT_20240807_bc11_D6323	8.16159133193762e-05	0	0	0	0	0.000278497747554418	0.000585493131177674	0.027001198525751	0.00246133459264162	1.99733247883606e-05	2.00150396501984e-05	0	0.00164288166196104	0.00395235853535026	0.933275623456948	6.79489407017552e-05	0.00401001326787469	0.00556467542387877	0.0152637080507611	0.00192722188333904	8.29527306448539e-05	7.42833745060959e-05	4.57495128391719e-05	0.000220169530538515	3.78411158152097e-05	0.000143381436373118	5.57572236041343e-05	4.71732497186383e-05	0.00010185848859875	0	0.000581876616360113	4.45895030881058e-05	6.5126414466008e-05	7.29132860874302e-05	0	0	0.000804909267327171	6.71945969825337e-05	0	0.000175011972645485	0.0003316748393782	0	0.000114357297809572	0.000780620047519322
PRMT_FO3_FR_ONT_20240807_bc12_D6323	8.540439459855e-05	0	0	0	0	0.000237556610203188	0.000518515128523282	0.0253350768819859	0.00233881386135194	2.57911539970099e-05	2.11952379340595e-05	0	0.00175636617435149	0.00426247041763027	0.933472591026325	6.57525762154014e-05	0.00375219974113581	0.00599926460850168	0.0163492914160017	0.00200075169323779	6.02942008808927e-05	6.35365847003669e-05	5.69622433056116e-05	0.000241096006549333	5.74250068941506e-05	0.000164888747282911	4.37152099787252e-05	4.13775013819601e-05	7.27833909438621e-05	0	0.000621424155876998	3.79045189043065e-05	8.12996763978634e-05	7.0209292196568e-05	0	0	0.000846470784681774	7.4183386630564e-05	0	0.000177847182544424	0.000298041392701615	0	8.46281731547286e-05	0.000684871623000397
PRMT_FP1_FR_PB_20240807_bc40_D6323	0.00726877631234271	0	0	0	0	0.00233380040834405	0.00148433368797287	0.0573218569847366	0.00207520101503072	0	0	0	0.00278571700487482	0.0055467058486031	0.886894334121545	0	0.00656573278714805	0.00517047156876664	0.0127599074577699	0.00270113800543366	9.52225862379715e-05	0	8.72969205565634e-05	0.000202161289709936	0	0.000137837242984047	0	0	0	0	0.00228809823353519	0	6.618760540075e-05	0.000294052785032634	0	0	0.00119515976281978	0	0	9.65334103080297e-05	0.000419484498335962	0	0	0.00220999046251089
PRMT_FP2_FR_PB_20240807_bc41_D6323	0.00793284457198742	0	0	0	0	0.00263214443220455	0.00164007200431169	0.0576211221853876	0.00202305586220254	0	0	0	0.00163684575084067	0.00371340465185606	0.891749625067264	0	0.00721790396753062	0.00456367575467378	0.0124627735491646	0.00135184652756971	0	0	0	0.000271305837835265	0	0.000147552297770056	0	0	0	0	0.00178014707632262	0	0	0.000352221614031748	0	0	0.00038556280032117	0	0	0.00017610332424227	0.000442651859636473	0	0	0.00189914086484686
PRMT_FP3_FR_PB_20240807_bc42_D6323	0.00621479292405188	0	0	0	0	0.00222483471755331	0.00126146931124838	0.0492207331524815	0.00212889845441652	0	0	0	0.00260227549225495	0.00526027783465424	0.898814623987809	0	0.00505306371731112	0.00514141706852636	0.0137881396176379	0.00264227565387384	0	7.30954077827365e-05	7.76638707673191e-05	0.000242128538274583	0	0.000150759278548325	0	0	0	0	0.00164921513805895	0	0	0.000228423149315644	0	0	0.000918273526215823	0	0	0.000170038878628329	0.000269098919166012	0	0	0.00186850136142341
PRMT_CO1_canis_ONT_20240807_bc01	0.000129480960105336	0	0	3.05516036934351e-05	0	0.00116095724292635	0.0001638713899617	0.00707538042874025	0.0001110967407034	0	0	7.49902999747953e-05	0.00180886282419415	0.28148154508091	0.602874872813513	0	0.0135400000624142	0.0242102240715503	0.0414742763104504	0.00168811671673996	0	0	0.0155543324854289	0	0	9.71657124334254e-05	0	0	0.000236124456231164	0	0.003796863714893	0	0	0	0.000186249886810717	0.0015664640436192	0.00242472488125128	0	0	0	0	0.000313848273454531	0	0
