feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.sp..SC05B48	source	Homo_sapiens	3.31836596101806	0.0238760570733541	27	27	2.15052416660839e-36	2.40858706660139e-33
Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.Eubacterium.xylanophilum	source	Canis_lupus	-5.71075061059381	0.0538011752189029	27	18	1.3726169557818e-33	7.68665495237805e-31
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.Blautia.wexlerae	source	Homo_sapiens	1.90281049736875	0.0182813534677658	27	27	2.19515496081807e-33	8.19524518705413e-31
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus.kitasatonis	source	Canis_lupus	8.60963916228946	0.0930721835868695	27	10	3.69701149875538e-32	1.03516321965151e-29
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.Roseburia.hominis	source	Canis_lupus	-3.52850124926015	0.0387013433068322	27	27	5.23187854857944e-32	1.1719407948818e-29
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium.saudiense	source	Homo_sapiens	-4.92180877815146	0.0552740637500766	27	18	9.20918303791597e-32	1.71904750041098e-29
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Butyricicoccus.Butyricicoccus.pullicaecorum	source	Canis_lupus	3.42484595219511	0.0391104138904991	27	18	1.37347397898317e-31	2.19755836637308e-29
Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Hungateiclostridium.Hungateiclostridium.aldrichii	source	Homo_sapiens	-5.83277052247991	0.0688029093343227	27	18	2.98336339702167e-31	4.17670875583033e-29
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoclostridium.Lachnoclostridium.pacaense	source	Homo_sapiens	5.42650802265082	0.0644645854502466	27	27	3.53281385381557e-31	4.39639057363715e-29
Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.Eubacterium.xylanophilum	source	Homo_sapiens	-4.46133378355861	0.0538011752189029	27	18	5.06099480537347e-31	5.66831418201828e-29
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus.crispatus	source	Canis_lupus	7.57237510357601	0.0940970391873055	27	10	1.03648328256515e-30	1.05532843315724e-28
