# Constructed from biom file
#OTU ID	DNA.profile
k__Archaea;p__Euryarchaeota;g__Methanobrevibacter	0.002779
k__Bacteria;p__Actinobacteria;g__Actinomyces	0.000141
k__Bacteria;p__Actinobacteria;g__Adlercreutzia	0.000889
k__Bacteria;p__Actinobacteria;g__Asaccharobacter	0.001606
k__Bacteria;p__Actinobacteria;g__Bifidobacterium	0.005718
k__Bacteria;p__Actinobacteria;g__Collinsella	0.007232
k__Bacteria;p__Actinobacteria;g__Cryptobacterium	0.000113
k__Bacteria;p__Actinobacteria;g__Eggerthella	0.001421
k__Bacteria;p__Actinobacteria;g__Enorma	0.000387
k__Bacteria;p__Actinobacteria;g__Gordonibacter	0.000274
k__Bacteria;p__Actinobacteria;g__unknown	0.000730
k__Bacteria;p__Bacteroidetes;g__Alistipes	0.024579
k__Bacteria;p__Bacteroidetes;g__Bacteroides	0.184449
k__Bacteria;p__Bacteroidetes;g__Barnesiella	0.002612
k__Bacteria;p__Bacteroidetes;g__Butyricimonas	0.001891
k__Bacteria;p__Bacteroidetes;g__Gabonia	0.000112
k__Bacteria;p__Bacteroidetes;g__Odoribacter	0.004473
k__Bacteria;p__Bacteroidetes;g__Parabacteroides	0.017473
k__Bacteria;p__Bacteroidetes;g__Tidjanibacter	0.000249
k__Bacteria;p__Candidatus Melainabacteria;g__unknown	0.003698
k__Bacteria;p__Firmicutes;g__Agathobaculum	0.004286
k__Bacteria;p__Firmicutes;g__Anaerobutyricum	0.006126
k__Bacteria;p__Firmicutes;g__Anaeromassilibacillus	0.001725
k__Bacteria;p__Firmicutes;g__Anaerostipes	0.010302
k__Bacteria;p__Firmicutes;g__Anaerotignum	0.000728
k__Bacteria;p__Firmicutes;g__Anaerotruncus	0.000820
k__Bacteria;p__Firmicutes;g__Bittarella	0.000215
k__Bacteria;p__Firmicutes;g__Blautia	0.061707
k__Bacteria;p__Firmicutes;g__Butyricicoccus	0.000204
k__Bacteria;p__Firmicutes;g__Candidatus Cibiobacter	0.003788
k__Bacteria;p__Firmicutes;g__Candidatus Stoquefichus	0.000106
k__Bacteria;p__Firmicutes;g__Catabacter	0.000227
k__Bacteria;p__Firmicutes;g__Clostridium	0.049777
k__Bacteria;p__Firmicutes;g__Coprococcus	0.008192
k__Bacteria;p__Firmicutes;g__Dialister	0.001429
k__Bacteria;p__Firmicutes;g__Dorea	0.012231
k__Bacteria;p__Firmicutes;g__Dysosmobacter	0.002243
k__Bacteria;p__Firmicutes;g__Eisenbergiella	0.001405
k__Bacteria;p__Firmicutes;g__Erysipelatoclostridium	0.000274
k__Bacteria;p__Firmicutes;g__Eubacterium	0.026082
k__Bacteria;p__Firmicutes;g__Evtepia	0.000691
k__Bacteria;p__Firmicutes;g__Faecalibacterium	0.080883
k__Bacteria;p__Firmicutes;g__Faecalicatena	0.000221
k__Bacteria;p__Firmicutes;g__Flavonifractor	0.000722
k__Bacteria;p__Firmicutes;g__Frisingicoccus	0.000297
k__Bacteria;p__Firmicutes;g__Fusicatenibacter	0.026716
k__Bacteria;p__Firmicutes;g__Gemmiger	0.007234
k__Bacteria;p__Firmicutes;g__Holdemania	0.000490
k__Bacteria;p__Firmicutes;g__Hungatella	0.000119
k__Bacteria;p__Firmicutes;g__Intestinimonas	0.000770
k__Bacteria;p__Firmicutes;g__Lachnobacterium	0.006603
k__Bacteria;p__Firmicutes;g__Lachnoclostridium	0.004477
k__Bacteria;p__Firmicutes;g__Lachnotalea	0.000208
k__Bacteria;p__Firmicutes;g__Lactobacillus	0.001122
k__Bacteria;p__Firmicutes;g__Lactococcus	0.000225
k__Bacteria;p__Firmicutes;g__Lawsonibacter	0.001641
k__Bacteria;p__Firmicutes;g__Longibaculum	0.000104
k__Bacteria;p__Firmicutes;g__Marvinbryantia	0.001354
k__Bacteria;p__Firmicutes;g__Massilioclostridium	0.000125
k__Bacteria;p__Firmicutes;g__Mediterraneibacter	0.000562
k__Bacteria;p__Firmicutes;g__Megamonas	0.006414
k__Bacteria;p__Firmicutes;g__Merdibacter	0.000223
k__Bacteria;p__Firmicutes;g__Monoglobus	0.001430
k__Bacteria;p__Firmicutes;g__Mordavella	0.000177
k__Bacteria;p__Firmicutes;g__Negativibacillus	0.000732
k__Bacteria;p__Firmicutes;g__Neglecta	0.000691
k__Bacteria;p__Firmicutes;g__Oscillibacter	0.013145
k__Bacteria;p__Firmicutes;g__Phascolarctobacterium	0.002858
k__Bacteria;p__Firmicutes;g__Phocea	0.000104
k__Bacteria;p__Firmicutes;g__Pseudoflavonifractor	0.000817
k__Bacteria;p__Firmicutes;g__Pseudoruminoccoccus	0.006136
k__Bacteria;p__Firmicutes;g__Romboutsia	0.000625
k__Bacteria;p__Firmicutes;g__Roseburia	0.034407
k__Bacteria;p__Firmicutes;g__Ruminococcus	0.092725
k__Bacteria;p__Firmicutes;g__Ruthenibacterium	0.001817
k__Bacteria;p__Firmicutes;g__Solobacterium	0.001011
k__Bacteria;p__Firmicutes;g__Staphylococcus	0.000076
k__Bacteria;p__Firmicutes;g__Streptococcus	0.000368
k__Bacteria;p__Firmicutes;g__Subdoligranulum	0.026203
k__Bacteria;p__Firmicutes;g__Turicibacter	0.000163
k__Bacteria;p__Firmicutes;g__Tyzzerella	0.001913
k__Bacteria;p__Firmicutes;g__unknown	0.192359
k__Bacteria;p__Lentisphaerae;g__unknown	0.000570
k__Bacteria;p__Proteobacteria;g__Acetobacter	0.001516
k__Bacteria;p__Proteobacteria;g__Acinetobacter	0.000588
k__Bacteria;p__Proteobacteria;g__Bilophila	0.001312
k__Bacteria;p__Proteobacteria;g__Desulfovibrio	0.000609
k__Bacteria;p__Proteobacteria;g__Escherichia	0.000555
k__Bacteria;p__Proteobacteria;g__Klebsiella	0.000213
k__Bacteria;p__Proteobacteria;g__Oxalobacter	0.000133
k__Bacteria;p__Proteobacteria;g__Parasutterella	0.001251
k__Bacteria;p__Proteobacteria;g__Sutterella	0.002623
k__Bacteria;p__Proteobacteria;g__unknown	0.000582
k__Bacteria;p__Tenericutes;g__Mycoplasma	0.000172
k__Bacteria;p__Tenericutes;g__unknown	0.001442
k__Bacteria;p__Verrucomicrobia;g__Akkermansia	0.011171
k__Bacteria;p__unknown;g__unknown	0.004137
k__Eukaryota;p__unknown;g__Blastocystis	0.001268
k__Viruses;p__unknown;g__unknown	0.000210
