# Constructed from biom file
#OTU ID	DNA.profile
k__Archaea;p__Euryarchaeota;g__Methanobrevibacter;s__Methanobrevibacter smithii;x__unknown;y__unknown;z__unknown	9367
k__Bacteria;p__Actinobacteria;g__Actinomyces;s__unknown;x__unknown;y__unknown;z__HMSC035G02	475
k__Bacteria;p__Actinobacteria;g__Adlercreutzia;s__Adlercreutzia equolifaciens;x__unknown;y__unknown;z__Adlercreutzia equolifaciens DSM 19450	2997
k__Bacteria;p__Actinobacteria;g__Asaccharobacter;s__Asaccharobacter celatus;x__unknown;y__unknown;z__unknown	5414
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium bifidum;x__unknown;y__unknown;z__Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456	4895
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium bifidum;x__unknown;y__unknown;z__Bifidobacterium bifidum PRL2010	1577
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium longum;x__unknown;y__unknown;z__unknown	5090
k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum;x__unknown;y__unknown;z__Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	7709
k__Bacteria;p__Actinobacteria;g__Collinsella;s__Collinsella intestinalis;x__unknown;y__unknown;z__Collinsella intestinalis DSM 13280	1248
k__Bacteria;p__Actinobacteria;g__Collinsella;s__uncultured Collinsella sp.;x__unknown;y__unknown;z__unknown	11350
k__Bacteria;p__Actinobacteria;g__Collinsella;s__unknown;x__unknown;y__unknown;z__AM34-10	5848
k__Bacteria;p__Actinobacteria;g__Collinsella;s__unknown;x__unknown;y__unknown;z__TF05-9AC	5929
k__Bacteria;p__Actinobacteria;g__Cryptobacterium;s__unknown;x__unknown;y__unknown;z__CAG:338	380
k__Bacteria;p__Actinobacteria;g__Eggerthella;s__Eggerthella lenta;x__unknown;y__unknown;z__Eggerthella lenta DSM 2243	1807
k__Bacteria;p__Actinobacteria;g__Eggerthella;s__uncultured Eggerthella sp.;x__unknown;y__unknown;z__unknown	896
k__Bacteria;p__Actinobacteria;g__Eggerthella;s__unknown;x__unknown;y__unknown;z__CAG:298	2086
k__Bacteria;p__Actinobacteria;g__Enorma;s__Enorma massiliensis;x__unknown;y__unknown;z__Enorma massiliensis phI	1303
k__Bacteria;p__Actinobacteria;g__Gordonibacter;s__Gordonibacter pamelaeae;x__unknown;y__unknown;z__Gordonibacter pamelaeae 7-10-1-b	922
k__Bacteria;p__Actinobacteria;g__unknown;s__Coriobacteriia bacterium;x__unknown;y__unknown;z__unknown	811
k__Bacteria;p__Actinobacteria;g__unknown;s__uncultured Coriobacteriaceae bacterium;x__unknown;y__unknown;z__unknown	1648
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes communis;x__unknown;y__unknown;z__unknown	5276
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes finegoldii;x__unknown;y__unknown;z__Alistipes finegoldii DSM 17242	4311
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes ihumii;x__unknown;y__unknown;z__Alistipes ihumii AP11	3618
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes indistinctus;x__unknown;y__unknown;z__Alistipes indistinctus YIT 12060	410
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes onderdonkii;x__Alistipes onderdonkii subsp. vulgaris;y__unknown;z__unknown	8727
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes onderdonkii;x__unknown;y__unknown;z__Alistipes onderdonkii WAL 8169 = DSM 19147	4194
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes putredinis;x__unknown;y__unknown;z__Alistipes putredinis DSM 17216	24238
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes shahii;x__unknown;y__unknown;z__Alistipes shahii WAL 8301	28165
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes timonensis;x__unknown;y__unknown;z__Alistipes timonensis JC136	1093
k__Bacteria;p__Bacteroidetes;g__Alistipes;s__uncultured Alistipes sp.;x__unknown;y__unknown;z__unknown	2808
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides caccae CAG:21;x__unknown;y__unknown;z__unknown	5755
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus CAG:158;x__unknown;y__unknown;z__unknown	13073
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus;x__unknown;y__unknown;z__Bacteroides cellulosilyticus DSM 14838	12889
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus;x__unknown;y__unknown;z__unknown	9647
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei CAG:222;x__unknown;y__unknown;z__unknown	7721
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei;x__unknown;y__unknown;z__Bacteroides dorei DSM 17855	23337
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei;x__unknown;y__unknown;z__unknown	10685
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides eggerthii;x__unknown;y__unknown;z__Bacteroides eggerthii DSM 20697	690
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides faecis;x__unknown;y__unknown;z__Bacteroides faecis MAJ27	20184
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides finegoldii CAG:203;x__unknown;y__unknown;z__unknown	4136
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides finegoldii;x__unknown;y__unknown;z__Bacteroides finegoldii DSM 17565	5304
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides fragilis;x__unknown;y__unknown;z__unknown	3482
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides massiliensis;x__unknown;y__unknown;z__Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	23620
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides ovatus;x__unknown;y__unknown;z__unknown	46373
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides salyersiae;x__unknown;y__unknown;z__Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	15236
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides stercoris;x__unknown;y__unknown;z__Bacteroides stercoris ATCC 43183	21817
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides thetaiotaomicron;x__unknown;y__unknown;z__unknown	28007
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides timonensis;x__unknown;y__unknown;z__unknown	4212
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides uniformis;x__unknown;y__unknown;z__unknown	80352
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides vulgatus;x__unknown;y__unknown;z__Bacteroides vulgatus ATCC 8482	25276
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides vulgatus;x__unknown;y__unknown;z__unknown	216794
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides xylanisolvens;x__unknown;y__unknown;z__Bacteroides xylanisolvens XB1A	7281
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides xylanisolvens;x__unknown;y__unknown;z__unknown	4951
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__uncultured Bacteroides sp.;x__unknown;y__unknown;z__unknown	18776
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown;x__unknown;y__unknown;z__43_108	3372
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown;x__unknown;y__unknown;z__CAG:144	656
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown;x__unknown;y__unknown;z__HF-5092	2951
k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown;x__unknown;y__unknown;z__OF02-3LB	5083
k__Bacteria;p__Bacteroidetes;g__Barnesiella;s__Barnesiella intestinihominis;x__unknown;y__unknown;z__Barnesiella intestinihominis YIT 11860	8802
k__Bacteria;p__Bacteroidetes;g__Butyricimonas;s__Butyricimonas faecalis;x__unknown;y__unknown;z__unknown	4450
k__Bacteria;p__Bacteroidetes;g__Butyricimonas;s__Butyricimonas virosa;x__unknown;y__unknown;z__Butyricimonas virosa DSM 23226	1924
k__Bacteria;p__Bacteroidetes;g__Gabonia;s__Gabonia massiliensis;x__unknown;y__unknown;z__unknown	378
k__Bacteria;p__Bacteroidetes;g__Odoribacter;s__Odoribacter laneus;x__unknown;y__unknown;z__Odoribacter laneus YIT 12061	3236
k__Bacteria;p__Bacteroidetes;g__Odoribacter;s__Odoribacter splanchnicus;x__unknown;y__unknown;z__unknown	11540
k__Bacteria;p__Bacteroidetes;g__Odoribacter;s__uncultured Odoribacter sp.;x__unknown;y__unknown;z__unknown	298
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides distasonis;x__unknown;y__unknown;z__Parabacteroides distasonis ATCC 8503	36416
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides distasonis;x__unknown;y__unknown;z__unknown	4108
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides goldsteinii;x__unknown;y__unknown;z__Parabacteroides goldsteinii CL02T12C30	2924
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides johnsonii;x__unknown;y__unknown;z__Parabacteroides johnsonii CL02T12C29	2614
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides johnsonii;x__unknown;y__unknown;z__Parabacteroides johnsonii DSM 18315	5266
k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides merdae;x__unknown;y__unknown;z__Parabacteroides merdae ATCC 43184	7561
k__Bacteria;p__Bacteroidetes;g__Tidjanibacter;s__Tidjanibacter massiliensis;x__unknown;y__unknown;z__unknown	840
k__Bacteria;p__Candidatus Melainabacteria;g__unknown;s__Candidatus Gastranaerophilales bacterium;x__unknown;y__unknown;z__unknown	12465
