# for formatting consistency
#OTU ID	DNA.profile
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	199.371
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	5.29895
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_faecis	3.7522
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	3.81299
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	7.80814
ANAEROFRUCAT-PWY: homolactic fermentation	90.2833
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	283.067
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_shahii	5.24368
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_ovatus	3.15917
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_xylanisolvens	2.1975
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	18.1764
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	64.6516
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	3.38934
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_faecis	3.3481
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	2.78531
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	3.41048
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	1.80242
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	2.92969
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	8.69316
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	1.43619
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	79.9899
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	35.4703
ARO-PWY: chorismate biosynthesis I	330.284
ARO-PWY: chorismate biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	4.25067
ARO-PWY: chorismate biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	6.28411
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	17.3875
