# for formatting consistency
#OTU ID	DNA.profile
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.1005014748
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000000
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.9303733244
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0000000000
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.0000000000
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.0000000000
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.0000000000
ARO-PWY: chorismate biosynthesis I	0.9999998787
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0000000031
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.1670434932
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.9124292827
CITRULBIO-PWY: L-citrulline biosynthesis	0.0000000000
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.9999633147
COA-PWY: coenzyme A biosynthesis I	0.0000003940
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.0000009656
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.0000000000
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.9999734603
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.0000000000
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.0000000000
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.9999891390
FAO-PWY: fatty acid &beta;-oxidation I	0.0000000000
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.0000000000
FUCCAT-PWY: fucose degradation	0.0000000000
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.0000000000
GALACTUROCAT-PWY: D-galacturonate degradation I	0.0000002641
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.0000219591
GLUCONEO-PWY: gluconeogenesis I	0.0000000000
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.0000000000
GLUDEG-I-PWY: GABA shunt	0.0000000000
GLUTORN-PWY: L-ornithine biosynthesis	0.0000000000
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.0000000000
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.0000001019
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.0000000000
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.0000000000
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.0000000000
