# Constructed from biom file
#OTU ID	DNA.profile
k__Archaea;p__Euryarchaeota;g__Methanobrevibacter	0.002783
k__Bacteria;p__Actinobacteria;g__Actinomyces	0.000141
k__Bacteria;p__Actinobacteria;g__Adlercreutzia	0.000891
k__Bacteria;p__Actinobacteria;g__Asaccharobacter	0.001609
k__Bacteria;p__Actinobacteria;g__Bifidobacterium	0.005726
k__Bacteria;p__Actinobacteria;g__Collinsella	0.007243
k__Bacteria;p__Actinobacteria;g__Cryptobacterium	0.000113
k__Bacteria;p__Actinobacteria;g__Eggerthella	0.001423
k__Bacteria;p__Actinobacteria;g__Enorma	0.000387
k__Bacteria;p__Actinobacteria;g__Gordonibacter	0.000274
k__Bacteria;p__Actinobacteria;g__unknown	0.000731
k__Bacteria;p__Bacteroidetes;g__Alistipes	0.024615
k__Bacteria;p__Bacteroidetes;g__Bacteroides	0.184722
k__Bacteria;p__Bacteroidetes;g__Barnesiella	0.002615
k__Bacteria;p__Bacteroidetes;g__Butyricimonas	0.001894
k__Bacteria;p__Bacteroidetes;g__Gabonia	0.000112
k__Bacteria;p__Bacteroidetes;g__Odoribacter	0.004479
k__Bacteria;p__Bacteroidetes;g__Parabacteroides	0.017498
k__Bacteria;p__Bacteroidetes;g__Tidjanibacter	0.000250
k__Bacteria;p__Candidatus Melainabacteria;g__unknown	0.003704
k__Bacteria;p__Firmicutes;g__Agathobaculum	0.004293
k__Bacteria;p__Firmicutes;g__Anaerobutyricum	0.006135
k__Bacteria;p__Firmicutes;g__Anaeromassilibacillus	0.001727
k__Bacteria;p__Firmicutes;g__Anaerostipes	0.010318
k__Bacteria;p__Firmicutes;g__Anaerotignum	0.000729
k__Bacteria;p__Firmicutes;g__Anaerotruncus	0.000822
k__Bacteria;p__Firmicutes;g__Bittarella	0.000215
k__Bacteria;p__Firmicutes;g__Blautia	0.061798
k__Bacteria;p__Firmicutes;g__Butyricicoccus	0.000204
k__Bacteria;p__Firmicutes;g__Candidatus Cibiobacter	0.003793
k__Bacteria;p__Firmicutes;g__Candidatus Stoquefichus	0.000106
k__Bacteria;p__Firmicutes;g__Catabacter	0.000227
k__Bacteria;p__Firmicutes;g__Clostridium	0.049851
k__Bacteria;p__Firmicutes;g__Coprococcus	0.008204
k__Bacteria;p__Firmicutes;g__Dialister	0.001431
k__Bacteria;p__Firmicutes;g__Dorea	0.012249
k__Bacteria;p__Firmicutes;g__Dysosmobacter	0.002246
k__Bacteria;p__Firmicutes;g__Eisenbergiella	0.001407
k__Bacteria;p__Firmicutes;g__Erysipelatoclostridium	0.000274
k__Bacteria;p__Firmicutes;g__Eubacterium	0.026121
k__Bacteria;p__Firmicutes;g__Evtepia	0.000692
k__Bacteria;p__Firmicutes;g__Faecalibacterium	0.081002
